"","date","INTC"
"1","2007-01-03",20.35
"2","2007-01-04",21.17
"3","2007-01-05",21.1
"4","2007-01-08",21.01
"5","2007-01-09",21.030001
"6","2007-01-10",21.52
"7","2007-01-11",21.92
"8","2007-01-12",22.129999
"9","2007-01-16",22.299999
"10","2007-01-17",21.040001
"11","2007-01-18",20.65
"12","2007-01-19",20.82
"13","2007-01-22",20.790001
"14","2007-01-23",20.549999
"15","2007-01-24",20.84
"16","2007-01-25",20.6
"17","2007-01-26",20.530001
"18","2007-01-29",20.889999
"19","2007-01-30",20.93
"20","2007-01-31",20.959999
"21","2007-02-01",21.110001
"22","2007-02-02",21.23
"23","2007-02-05",21.280001
"24","2007-02-06",21.309999
"25","2007-02-07",21.51
"26","2007-02-08",21.360001
"27","2007-02-09",21.030001
"28","2007-02-12",20.799999
"29","2007-02-13",20.870001
"30","2007-02-14",21.139999
"31","2007-02-15",21.309999
"32","2007-02-16",21.23
"33","2007-02-20",21.18
"34","2007-02-21",20.879999
"35","2007-02-22",20.969999
"36","2007-02-23",20.76
"37","2007-02-26",20.85
"38","2007-02-27",20.030001
"39","2007-02-28",19.860001
"40","2007-03-01",19.59
"41","2007-03-02",19.219999
"42","2007-03-05",19.110001
"43","2007-03-06",19.4
"44","2007-03-07",19.120001
"45","2007-03-08",19.23
"46","2007-03-09",19.1
"47","2007-03-12",19.48
"48","2007-03-13",19.120001
"49","2007-03-14",19.23
"50","2007-03-15",19.139999
"51","2007-03-16",19.15
"52","2007-03-19",19.110001
"53","2007-03-20",18.99
"54","2007-03-21",19.34
"55","2007-03-22",19.16
"56","2007-03-23",19.27
"57","2007-03-26",19.290001
"58","2007-03-27",19.059999
"59","2007-03-28",18.860001
"60","2007-03-29",19.09
"61","2007-03-30",19.129999
"62","2007-04-02",19.129999
"63","2007-04-03",19.309999
"64","2007-04-04",19.379999
"65","2007-04-05",19.58
"66","2007-04-09",20.1
"67","2007-04-10",20.68
"68","2007-04-11",20.469999
"69","2007-04-12",20.5
"70","2007-04-13",20.459999
"71","2007-04-16",20.690001
"72","2007-04-17",20.98
"73","2007-04-18",21.35
"74","2007-04-19",21.809999
"75","2007-04-20",22.16
"76","2007-04-23",21.91
"77","2007-04-24",21.940001
"78","2007-04-25",22.26
"79","2007-04-26",22.09
"80","2007-04-27",21.870001
"81","2007-04-30",21.5
"82","2007-05-01",21.799999
"83","2007-05-02",21.93
"84","2007-05-03",21.74
"85","2007-05-04",21.9
"86","2007-05-07",21.959999
"87","2007-05-08",22.15
"88","2007-05-09",22.469999
"89","2007-05-10",22.209999
"90","2007-05-11",22.280001
"91","2007-05-14",22.120001
"92","2007-05-15",22.01
"93","2007-05-16",22.18
"94","2007-05-17",22.23
"95","2007-05-18",22.700001
"96","2007-05-21",22.629999
"97","2007-05-22",22.99
"98","2007-05-23",22.67
"99","2007-05-24",21.969999
"100","2007-05-25",22.16
"101","2007-05-29",22.299999
"102","2007-05-30",22.08
"103","2007-05-31",22.18
"104","2007-06-01",22.360001
"105","2007-06-04",22.16
"106","2007-06-05",21.959999
"107","2007-06-06",21.49
"108","2007-06-07",21.309999
"109","2007-06-08",21.83
"110","2007-06-11",21.93
"111","2007-06-12",22.200001
"112","2007-06-13",22.67
"113","2007-06-14",23.23
"114","2007-06-15",24.24
