"","date","OFED"
"1","2011-01-14",11.96
"2","2011-01-18",11.9
"3","2011-01-19",11.91
"4","2011-01-20",11.9
"5","2011-01-21",11.9
"6","2011-01-24",11.9
"7","2011-01-25",12.01
"8","2011-01-26",11.99
"9","2011-01-27",12
"10","2011-01-28",12
"11","2011-01-31",11.8
"12","2011-02-01",12.05
"13","2011-02-02",12.05
"14","2011-02-03",12.05
"15","2011-02-04",12.09
"16","2011-02-07",12.09
"17","2011-02-08",12.19
"18","2011-02-09",12.11
"19","2011-02-10",12.1
"20","2011-02-11",12
"21","2011-02-14",12.5
"22","2011-02-15",12.5
"23","2011-02-16",13.44
"24","2011-02-17",13.32
"25","2011-02-18",12.75
"26","2011-02-22",12.79
"27","2011-02-23",12.33
"28","2011-02-24",12.26
"29","2011-02-25",12.46
"30","2011-02-28",12.64
"31","2011-03-01",13.32
"32","2011-03-02",12.4
"33","2011-03-03",12.4
"34","2011-03-04",12.94
"35","2011-03-07",12.94
"36","2011-03-08",12.23
"37","2011-03-09",12.74
"38","2011-03-10",12.5
"39","2011-03-11",12.25
"40","2011-03-14",12.25
"41","2011-03-15",12.24
"42","2011-03-16",12.35
"43","2011-03-17",12.35
"44","2011-03-18",11.56
"45","2011-03-21",11.56
"46","2011-03-22",12.12
"47","2011-03-23",12.12
"48","2011-03-24",12.12
"49","2011-03-25",11.99
"50","2011-03-28",11.99
"51","2011-03-29",11.79
"52","2011-03-30",11.8
"53","2011-03-31",11.49
"54","2011-04-01",11.5
"55","2011-04-04",12
"56","2011-04-05",12.08
"57","2011-04-06",11.9
"58","2011-04-07",12.08
"59","2011-04-08",12.08
"60","2011-04-11",11.91
"61","2011-04-12",12
"62","2011-04-13",12
"63","2011-04-14",12.08
"64","2011-04-15",12.1
"65","2011-04-18",12.1
"66","2011-04-19",12.1
"67","2011-04-20",12
"68","2011-04-21",12
"69","2011-04-25",12.1
"70","2011-04-26",12.15
"71","2011-04-27",12.73
"72","2011-04-28",12.52
"73","2011-04-29",12.52
"74","2011-05-02",12.21
"75","2011-05-03",12.21
"76","2011-05-04",12.27
"77","2011-05-05",12.05
"78","2011-05-06",12.05
"79","2011-05-09",12.4
"80","2011-05-10",12.4
"81","2011-05-11",12.4
"82","2011-05-12",12.4
"83","2011-05-13",12.25
"84","2011-05-16",12.25
"85","2011-05-17",12.19
"86","2011-05-18",12.19
"87","2011-05-19",12.3
"88","2011-05-20",12.2
"89","2011-05-23",12.55
"90","2011-05-24",12.31
"91","2011-05-25",12.25
"92","2011-05-26",12.25
"93","2011-05-27",12.25
"94","2011-05-31",12.25
"95","2011-06-01",12.25
"96","2011-06-02",12.01
"97","2011-06-03",12.01
"98","2011-06-06",12.01
"99","2011-06-07",12.01
"100","2011-06-08",12.04
"101","2011-06-09",12.01
"102","2011-06-10",12.01
"103","2011-06-13",11.97
"104","2011-06-14",11.9
"105","2011-06-15",11.9
"106","2011-06-16",11.9
"107","2011-06-17",11.83
"108","2011-06-20",12.05
"109","2011-06-21",11.85
"110","2011-06-22",11.85
"111","2011-06-23",12.03
"112","2011-06-24",12.03
"113","2011-06-27",12.03
"114","2011-06-28",12.03
"115","2011-06-29",12.03
"116","2011-06-30",12.03
"117","2011-07-01",12.03
"118","2011-07-05",11.9
"119","2011-07-06",11.9
"120","2011-07-07",11.83
"121","2011-07-08",11.83
"122","2011-07-11",11.83
"123","2011-07-12",11.3
"124","2011-07-13",11.3
"125","2011-07-14",11.45
"126","2011-07-15",11.44
"127","2011-07-18",11.24
"128","2011-07-19",11.24
"129","2011-07-20",11.24
"130","2011-07-21",11.4
"131","2011-07-22",11.4
"132","2011-07-25",11.4
"133","2011-07-26",11.4
"134","2011-07-27",11.21
"135","2011-07-28",11.21
"136","2011-07-29",11.21
"137","2011-08-01",11.29
"138","2011-08-02",11.28
"139","2011-08-03",11.18
"140","2011-08-04",11.18
"141","2011-08-05",11.05
"142","2011-08-08",11
"143","2011-08-09",11
"144","2011-08-10",11
"145","2011-08-11",11
"146","2011-08-12",11
"147","2011-08-15",11
"148","2011-08-16",11
"149","2011-08-17",11
"150","2011-08-18",11
"151","2011-08-19",10.92
"152","2011-08-22",10.94
"153","2011-08-23",10.97
"154","2011-08-24",10.99
"155","2011-08-25",11.05
"156","2011-08-26",10.95
"157","2011-08-29",10.95
"158","2011-08-30",10.95
"159","2011-08-31",11.09
"160","2011-09-01",11.09
"161","2011-09-02",10.95
