"","date","BCEL"
"1","2019-06-20",18.049999
"2","2019-06-21",17.07
"3","2019-06-24",17.525
"4","2019-06-25",18.1
"5","2019-06-26",18.26
"6","2019-06-27",18.48
"7","2019-06-28",18.84
"8","2019-07-01",17.299999
"9","2019-07-02",14.93
"10","2019-07-03",16.32
"11","2019-07-05",16.219999
"12","2019-07-08",16.73
"13","2019-07-09",19.049999
"14","2019-07-10",16.440001
"15","2019-07-11",16.74
"16","2019-07-12",16.629999
"17","2019-07-15",16.450001
"18","2019-07-16",15.48
"19","2019-07-17",15.84
"20","2019-07-18",16
"21","2019-07-19",16.01
"22","2019-07-22",15.93
"23","2019-07-23",15.69
"24","2019-07-24",15.53
"25","2019-07-25",15.02
"26","2019-07-26",13.73
"27","2019-07-29",13.43
"28","2019-07-30",13.56
"29","2019-07-31",12.65
"30","2019-08-01",12.8
"31","2019-08-02",12.43
"32","2019-08-05",11.12
"33","2019-08-06",11.68
"34","2019-08-07",10.75
"35","2019-08-08",10.42
"36","2019-08-09",12.93
"37","2019-08-12",11.52
"38","2019-08-13",14.49
"39","2019-08-14",13.42
"40","2019-08-15",16.1
"41","2019-08-16",16.65
"42","2019-08-19",17.6
"43","2019-08-20",20.59
"44","2019-08-21",19.969999
"45","2019-08-22",22.040001
"46","2019-08-23",21.870001
"47","2019-08-26",20.450001
"48","2019-08-27",19.200001
"49","2019-08-28",19.389999
"50","2019-08-29",18.969999
"51","2019-08-30",19.41
"52","2019-09-03",18.66
"53","2019-09-04",17.799999
"54","2019-09-05",17.57
"55","2019-09-06",16.43
"56","2019-09-09",14.63
"57","2019-09-10",13.22
"58","2019-09-11",12.96
"59","2019-09-12",13.84
"60","2019-09-13",13.31
"61","2019-09-16",12.47
"62","2019-09-17",11.82
"63","2019-09-18",11.28
"64","2019-09-19",11.3
"65","2019-09-20",11.66
"66","2019-09-23",13.78
"67","2019-09-24",13.84
"68","2019-09-25",12.51
"69","2019-09-26",13
"70","2019-09-27",11.12
"71","2019-09-30",12.24
"72","2019-10-01",11.47
"73","2019-10-02",11.81
"74","2019-10-03",11.45
"75","2019-10-04",11.5
"76","2019-10-07",11.16
"77","2019-10-08",11.23
"78","2019-10-09",10.98
"79","2019-10-10",10.42
"80","2019-10-11",10.34
"81","2019-10-14",10.02
"82","2019-10-15",10.73
"83","2019-10-16",10.23
"84","2019-10-17",10.71
"85","2019-10-18",10.37
"86","2019-10-21",10.87
"87","2019-10-22",10.57
"88","2019-10-23",10.06
"89","2019-10-24",10.05
"90","2019-10-25",10.86
"91","2019-10-28",10.05
"92","2019-10-29",10.2
"93","2019-10-30",10.39
"94","2019-10-31",11.25
"95","2019-11-01",11.77
"96","2019-11-04",11.79
"97","2019-11-05",12.34
"98","2019-11-06",13.09
"99","2019-11-07",12.71
"100","2019-11-08",12.23
"101","2019-11-11",11.58
"102","2019-11-12",11.52
"103","2019-11-13",11.11
"104","2019-11-14",10.69
"105","2019-11-15",10.78
"106","2019-11-18",10.44
"107","2019-11-19",10.26
"108","2019-11-20",10.27
"109","2019-11-21",9.94
"110","2019-11-22",9.83
"111","2019-11-25",9.87
"112","2019-11-26",9.68
"113","2019-11-27",9.95
"114","2019-11-29",9.94
"115","2019-12-02",10.08
"116","2019-12-03",13.34
"117","2019-12-04",12.95
"118","2019-12-05",14.47
"119","2019-12-06",14.31
"120","2019-12-09",14.08
"121","2019-12-10",15.29
"122","2019-12-11",13.71
"123","2019-12-12",13.35
"124","2019-12-13",12.58
"125","2019-12-16",13.12
"126","2019-12-17",14.7
"127","2019-12-18",15.85
"128","2019-12-19",14.42
"129","2019-12-20",14.855
"130","2019-12-23",16.1
"131","2019-12-24",15.97
"132","2019-12-26",18.67
"133","2019-12-27",17.27
"134","2019-12-30",15.79
"135","2019-12-31",15.47
"136","2020-01-02",14.24
"137","2020-01-03",13.55
"138","2020-01-06",13.75
"139","2020-01-07",13.56
"140","2020-01-08",14.24
"141","2020-01-09",16.18
"142","2020-01-10",14.61
"143","2020-01-13",14.63
"144","2020-01-14",14.45
