"","date","CTMX"
"1","2015-10-08",12.9
"2","2015-10-09",12.4
"3","2015-10-12",12.58
"4","2015-10-13",12.33
"5","2015-10-14",13.26
"6","2015-10-15",13.22
"7","2015-10-16",12.66
"8","2015-10-19",10.85
"9","2015-10-20",10.64
"10","2015-10-21",9.58
"11","2015-10-22",9.3
"12","2015-10-23",9.7
"13","2015-10-26",10.81
"14","2015-10-27",10
"15","2015-10-28",10.5
"16","2015-10-29",10.2
"17","2015-10-30",10.4
"18","2015-11-02",11.19
"19","2015-11-03",12.3
"20","2015-11-04",11.44
"21","2015-11-05",10.62
"22","2015-11-06",11.42
"23","2015-11-09",12.26
"24","2015-11-10",12.39
"25","2015-11-11",12.07
"26","2015-11-12",12.48
"27","2015-11-13",12.45
"28","2015-11-16",12.74
"29","2015-11-17",13.89
"30","2015-11-18",14.64
"31","2015-11-19",15.19
"32","2015-11-20",14.81
"33","2015-11-23",16
"34","2015-11-24",17.83
"35","2015-11-25",18.74
"36","2015-11-27",19.200001
"37","2015-11-30",19.209999
"38","2015-12-01",21.889999
"39","2015-12-02",22.1
"40","2015-12-03",21.67
"41","2015-12-04",23.66
"42","2015-12-07",22.219999
"43","2015-12-08",21.940001
"44","2015-12-09",21.51
"45","2015-12-10",19.43
"46","2015-12-11",19.129999
"47","2015-12-14",17.139999
"48","2015-12-15",18.299999
"49","2015-12-16",20.58
"50","2015-12-17",20.690001
"51","2015-12-18",20.65
"52","2015-12-21",20.24
"53","2015-12-22",19.959999
"54","2015-12-23",22.49
"55","2015-12-24",22.540001
"56","2015-12-28",21.889999
"57","2015-12-29",21.67
"58","2015-12-30",20.799999
"59","2015-12-31",20.870001
"60","2016-01-04",20.459999
"61","2016-01-05",19.43
"62","2016-01-06",16.969999
"63","2016-01-07",15.52
"64","2016-01-08",14.21
"65","2016-01-11",14.32
"66","2016-01-12",15.5
"67","2016-01-13",14.36
"68","2016-01-14",14.05
"69","2016-01-15",13.25
"70","2016-01-19",12.61
"71","2016-01-20",14.84
"72","2016-01-21",14.46
"73","2016-01-22",14
"74","2016-01-25",14.65
"75","2016-01-26",16.23
"76","2016-01-27",15.1
"77","2016-01-28",15.18
"78","2016-01-29",15.71
"79","2016-02-01",15.86
"80","2016-02-02",16
"81","2016-02-03",15.68
"82","2016-02-04",15.45
"83","2016-02-05",14.72
"84","2016-02-08",13.45
"85","2016-02-09",13.4
"86","2016-02-10",13.03
"87","2016-02-11",11.98
"88","2016-02-12",12.05
"89","2016-02-16",12.5
"90","2016-02-17",12.72
"91","2016-02-18",12.73
"92","2016-02-19",12.91
"93","2016-02-22",13.17
"94","2016-02-23",12.69
"95","2016-02-24",12.75
"96","2016-02-25",13.35
"97","2016-02-26",14.44
"98","2016-02-29",12.9
"99","2016-03-01",14.06
"100","2016-03-02",14.27
"101","2016-03-03",13.75
"102","2016-03-04",13.66
"103","2016-03-07",13.22
"104","2016-03-08",12.82
"105","2016-03-09",12.67
"106","2016-03-10",12.49
"107","2016-03-11",13.17
"108","2016-03-14",12.84
"109","2016-03-15",12.89
"110","2016-03-16",12.87
"111","2016-03-17",11.94
"112","2016-03-18",12.44
"113","2016-03-21",12.7
"114","2016-03-22",12.8
"115","2016-03-23",12.36
"116","2016-03-24",12.75
"117","2016-03-28",12.51
"118","2016-03-29",12.62
"119","2016-03-30",12.71
"120","2016-03-31",12.9
"121","2016-04-01",13.35
"122","2016-04-04",13.6
"123","2016-04-05",13.22
"124","2016-04-06",13.2
"125","2016-04-07",13.3
"126","2016-04-08",13.58
"127","2016-04-11",13.36
"128","2016-04-12",13.15
"129","2016-04-13",13.7
"130","2016-04-14",13.65
"131","2016-04-15",13.52
"132","2016-04-18",13.44
"133","2016-04-19",13.37
"134","2016-04-20",13.39
"135","2016-04-21",13.45
"136","2016-04-22",13.47
"137","2016-04-25",13.7
"138","2016-04-26",12.82
"139","2016-04-27",13.22
"140","2016-04-28",12.81
"141","2016-04-29",12.92
"142","2016-05-02",13.06
"143","2016-05-03",13.06
"144","2016-05-04",12.56
"145","2016-05-05",12.1
"146","2016-05-06",12.11
"147","2016-05-09",12.08
"148","2016-05-10",12.15
"149","2016-05-11",11.32
"150","2016-05-12",10.11
"151","2016-05-13",10
"152","2016-05-16",10
"153","2016-05-17",9.8
"154","2016-05-18",10.18
"155","2016-05-19",9.88
"156","2016-05-20",10.1
"157","2016-05-23",9.98
"158","2016-05-24",9.88
"159","2016-05-25",10.03
"160","2016-05-26",10.62
"161","2016-05-27",10.62
"162","2016-05-31",10.8
"163","2016-06-01",10.7
"164","2016-06-02",10.78
"165","2016-06-03",10.85
"166","2016-06-06",10
"167","2016-06-07",9.99
"168","2016-06-08",10.16
"169","2016-06-09",10.04
"170","2016-06-10",10.17
"171","2016-06-13",10.03
"172","2016-06-14",10.08
"173","2016-06-15",10.06
"174","2016-06-16",10.05
"175","2016-06-17",9.25
"176","2016-06-20",9.44
"177","2016-06-21",9.63
"178","2016-06-22",9.5
"179","2016-06-23",9.64
"180","2016-06-24",9.83
"181","2016-06-27",9.3
"182","2016-06-28",9.71
"183","2016-06-29",9.84
"184","2016-06-30",10.215
"185","2016-07-01",10.38
"186","2016-07-05",10.02
"187","2016-07-06",10.16
"188","2016-07-07",10.2
"189","2016-07-08",10.71
"190","2016-07-11",10.61
"191","2016-07-12",11.1
"192","2016-07-13",10.55
"193","2016-07-14",10.43
"194","2016-07-15",10.69
"195","2016-07-18",10.65
"196","2016-07-19",10.33
"197","2016-07-20",10.75
"198","2016-07-21",10.55
"199","2016-07-22",10.5
"200","2016-07-25",10.34
"201","2016-07-26",10
"202","2016-07-27",10.42
"203","2016-07-28",10.02
"204","2016-07-29",10.06
"205","2016-08-01",10.25
"206","2016-08-02",10.14
"207","2016-08-03",10.46
"208","2016-08-04",10.58
"209","2016-08-05",11.37
"210","2016-08-08",11.24
"211","2016-08-09",11.07
"212","2016-08-10",10.78
"213","2016-08-11",11
"214","2016-08-12",11.15
"215","2016-08-15",11.26
"216","2016-08-16",11.09
"217","2016-08-17",10.95
"218","2016-08-18",10.89
"219","2016-08-19",10.65
"220","2016-08-22",11.14
"221","2016-08-23",11.82
"222","2016-08-24",11.23
"223","2016-08-25",10.94
"224","2016-08-26",11.36
"225","2016-08-29",11.71
"226","2016-08-30",11.64
"227","2016-08-31",11.73
"228","2016-09-01",11.72
"229","2016-09-02",12.07
"230","2016-09-06",12.82
"231","2016-09-07",12.74
"232","2016-09-08",12.84
"233","2016-09-09",12.99
"234","2016-09-12",13.76
"235","2016-09-13",14.01
"236","2016-09-14",15.6
"237","2016-09-15",15.11
"238","2016-09-16",15.48
"239","2016-09-19",16.129999
"240","2016-09-20",17.190001
"241","2016-09-21",17.379999
"242","2016-09-22",16.66
"243","2016-09-23",15.64
"244","2016-09-26",15.86
