"","date","ALXO"
"1","2020-07-17",30
"2","2020-07-20",30.33
"3","2020-07-21",30.77
"4","2020-07-22",29.360001
"5","2020-07-23",29.700001
"6","2020-07-24",30.25
"7","2020-07-27",29.9
"8","2020-07-28",32.599998
"9","2020-07-29",31.65
"10","2020-07-30",32.459999
"11","2020-07-31",32.700001
"12","2020-08-03",36.419998
"13","2020-08-04",38
"14","2020-08-05",43.259998
"15","2020-08-06",43.959999
"16","2020-08-07",44.189999
"17","2020-08-10",43.360001
"18","2020-08-11",41.02
"19","2020-08-12",42.880001
"20","2020-08-13",44.009998
"21","2020-08-14",45.439999
"22","2020-08-17",47.099998
"23","2020-08-18",42.849998
"24","2020-08-19",44.459999
"25","2020-08-20",43.759998
"26","2020-08-21",45.07
"27","2020-08-24",43.630001
"28","2020-08-25",43.970001
"29","2020-08-26",43.389999
"30","2020-08-27",44.080002
"31","2020-08-28",44.25
"32","2020-08-31",40.439999
"33","2020-09-01",41.75
"34","2020-09-02",44.16
"35","2020-09-03",41.700001
"36","2020-09-04",42.990002
"37","2020-09-08",43.84
"38","2020-09-09",42.560001
"39","2020-09-10",40.349998
"40","2020-09-11",39.43
"41","2020-09-14",39.240002
"42","2020-09-15",39.060001
"43","2020-09-16",39.740002
"44","2020-09-17",38.220001
"45","2020-09-18",37.360001
"46","2020-09-21",37.139999
"47","2020-09-22",37.080002
"48","2020-09-23",39.290001
"49","2020-09-24",39.220001
"50","2020-09-25",39.07
"51","2020-09-28",39.779999
"52","2020-09-29",38.259998
"53","2020-09-30",37.740002
"54","2020-10-01",34.110001
"55","2020-10-02",34.630001
"56","2020-10-05",34.790001
"57","2020-10-06",36.200001
"58","2020-10-07",36.150002
"59","2020-10-08",36.25
"60","2020-10-09",35.66
"61","2020-10-12",36.400002
"62","2020-10-13",36.200001
"63","2020-10-14",37.43
"64","2020-10-15",39.099998
"65","2020-10-16",43.099998
"66","2020-10-19",41.57
"67","2020-10-20",43.18
"68","2020-10-21",42.689999
"69","2020-10-22",41
"70","2020-10-23",41.759998
"71","2020-10-26",41.560001
"72","2020-10-27",40.810001
"73","2020-10-28",40.139999
"74","2020-10-29",39.93
"75","2020-10-30",39.509998
"76","2020-11-02",40.220001
"77","2020-11-03",42
"78","2020-11-04",43.790001
"79","2020-11-05",45.220001
"80","2020-11-06",46
"81","2020-11-09",46.59
"82","2020-11-10",47.68
"83","2020-11-11",48.709999
"84","2020-11-12",51.810001
"85","2020-11-13",50.779999
"86","2020-11-16",53.32
"87","2020-11-17",65.580002
"88","2020-11-18",64.5
"89","2020-11-19",70.639999
"90","2020-11-20",73.940002
"91","2020-11-23",82.279999
"92","2020-11-24",75.209999
"93","2020-11-25",67.870003
"94","2020-11-27",68.510002
