"","date","LILA"
"187","2016-03-30",33.600376
"188","2016-03-31",33.044296
"189","2016-04-01",32.931198
"190","2016-04-04",32.233742
"191","2016-04-05",31.737041
"192","2016-04-06",31.621113
"193","2016-04-07",31.903864
"194","2016-04-08",32.280869
"195","2016-04-11",32.224316
"196","2016-04-12",32.58247
"197","2016-04-13",32.723846
"198","2016-04-14",32.67672
"199","2016-04-15",32.639019
"200","2016-04-18",32.902924
"201","2016-04-19",32.327991
"202","2016-04-20",32.846371
"203","2016-04-21",33.873703
"204","2016-04-22",34.335533
"205","2016-04-25",34.47691
"206","2016-04-26",34.825638
"207","2016-04-27",35.796417
"208","2016-04-28",36.258247
"209","2016-04-29",35.372292
"210","2016-05-02",35.475967
"211","2016-05-03",35.051838
"212","2016-05-04",35.136665
"213","2016-05-05",35.221489
"214","2016-05-06",35.815269
"215","2016-05-09",36.569275
"216","2016-05-10",37.078228
"217","2016-05-11",37.181904
"218","2016-05-12",37.653156
"219","2016-05-13",37.295006
"220","2016-05-16",37.756832
"221","2016-05-17",38.444862
"222","2016-05-18",38.114986
"223","2016-05-19",37.455231
"224","2016-05-20",37.615456
"225","2016-05-23",37.502357
"226","2016-05-24",38.171535
"227","2016-05-25",38.322338
"228","2016-05-26",38.294064
"229","2016-05-27",38.746464
"230","2016-05-31",38.718189
"231","2016-06-01",38.803017
"232","2016-06-02",36.965126
"233","2016-06-03",34.910461
"234","2016-06-06",34.674835
"235","2016-06-07",35.183788
"236","2016-06-08",35.344013
"237","2016-06-09",35.146088
"238","2016-06-10",34.910461
"239","2016-06-13",34.495758
"240","2016-06-14",34.495758
"241","2016-06-15",34.693684
"242","2016-06-16",34.816212
"243","2016-06-17",34.769085
"244","2016-06-20",33.628651
"245","2016-06-21",32.80867
"246","2016-06-22",31.215834
"247","2016-06-23",32.233742
"248","2016-06-24",31.517437
"249","2016-06-27",31.055609
"250","2016-06-28",30.216776
"251","2016-06-29",30.593779
"252","2016-06-30",30.405277
"253","2016-07-01",31.196983
"254","2016-07-05",30.150801
"255","2016-07-06",31.272385
"256","2016-07-07",32.12064
"257","2016-07-08",33.242226
"258","2016-07-11",32.516495
"259","2016-07-12",32.271442
"260","2016-07-13",31.451462
"261","2016-07-14",32.045238
"262","2016-07-15",32.045238
"263","2016-07-18",32.478794
"264","2016-07-19",32.733269
"265","2016-07-20",33.572102
"266","2016-07-21",34.071632
"267","2016-07-22",34.184731
"268","2016-07-25",33.524975
"269","2016-07-26",33.883129
"270","2016-07-27",33.204525
"271","2016-07-28",32.789822
"272","2016-07-29",32.375118
"273","2016-08-01",32.846371
"274","2016-08-02",32.648445
"275","2016-08-03",33.147972
"276","2016-08-04",32.874645
"277","2016-08-05",30.593779
"278","2016-08-08",27.511782
"279","2016-08-09",27.935909
"280","2016-08-10",27.634308
"281","2016-08-11",27.681433
"282","2016-08-12",27.30443
"283","2016-08-15",27.521206
"284","2016-08-16",27.596607
"285","2016-08-17",26.908577
"286","2016-08-18",26.126295
"287","2016-08-19",25.721018
"288","2016-08-22",26.295948
"289","2016-08-23",25.636192
"290","2016-08-24",25.014137
"291","2016-08-25",25.551367
"292","2016-08-26",25.268614
"293","2016-08-29",25.984921
"294","2016-08-30",26.154572
"295","2016-08-31",26.512724
"296","2016-09-01",26.258247
"297","2016-09-02",26.804901
"298","2016-09-06",27.266729
"299","2016-09-07",27.624882
"300","2016-09-08",27.530632
"301","2016-09-09",27.408106
"302","2016-09-12",27.615458
"303","2016-09-13",27.200754
"304","2016-09-14",27.238455
"305","2016-09-15",27.577757
"306","2016-09-16",26.993402
"307","2016-09-19",27.238455
"308","2016-09-20",27.247879
"309","2016-09-21",26.965128
"310","2016-09-22",26.823751
"311","2016-09-23",26.6164
"312","2016-09-26",26.437323
"313","2016-09-27",26.163996
"314","2016-09-28",26.475023
"315","2016-09-29",26.220547
"316","2016-09-30",26.003771
"317","2016-10-03",26.446749
"318","2016-10-04",26.6164
"319","2016-10-05",26.74835
"320","2016-10-06",26.343073
"321","2016-10-07",26.418472
"322","2016-10-10",26.456173
"323","2016-10-11",26.305372
"324","2016-10-12",26.380774
"325","2016-10-13",26.258247
"326","2016-10-14",26.116871
"327","2016-10-17",26.069746
"328","2016-10-18",26.126295
"329","2016-10-19",26.314796
"330","2016-10-20",26.003771
"331","2016-10-21",26.032045
"332","2016-10-24",25.96607
"333","2016-10-25",25.702168
"334","2016-10-26",25.485392
"335","2016-10-27",25.29689
"336","2016-10-28",25.598492
"337","2016-10-31",26.050896
"338","2016-11-01",25.824694
"339","2016-11-02",25.494816
"340","2016-11-03",24.995287
"341","2016-11-04",18.001884
"342","2016-11-07",18.765316
"343","2016-11-08",19.104618
"344","2016-11-09",19.245995
"345","2016-11-10",19.038643
"346","2016-11-11",19.048067
"347","2016-11-14",19.189444
"348","2016-11-15",19.010368
"349","2016-11-16",18.934967
"350","2016-11-17",19.038643
"351","2016-11-18",19.773798
"352","2016-11-21",20.593779
"353","2016-11-22",20.442978
"354","2016-11-23",20.68803
"355","2016-11-25",21.253534
"356","2016-11-28",21.187559
"357","2016-11-29",20.829407
"358","2016-11-30",20.339302
"359","2016-12-01",19.811499
"360","2016-12-02",19.877474
"361","2016-12-05",20.103676
"362","2016-12-06",19.811499
"363","2016-12-07",19.962299
"364","2016-12-08",19.934025
"365","2016-12-09",19.651272
"366","2016-12-12",18.991518
"367","2016-12-13",20.433554
"368","2016-12-14",20.876532
"369","2016-12-15",20.772856
"370","2016-12-16",20.791706
"371","2016-12-19",20.923656
"372","2016-12-20",20.68803
"373","2016-12-21",21.017908
"374","2016-12-22",21.159285
"375","2016-12-23",21.35721
"376","2016-12-27",21.347786
"377","2016-12-28",21.300659
"378","2016-12-29",20.980207
"379","2016-12-30",20.697454
"380","2017-01-03",21.969839
"381","2017-01-04",22.233742
"382","2017-01-05",22.262016
"383","2017-01-06",22.00754
"384","2017-01-09",21.639963
"385","2017-01-10",21.234684
"386","2017-01-11",20.904806
"387","2017-01-12",21.093307
"388","2017-01-13",21.347786
"389","2017-01-17",21.611687
"390","2017-01-18",21.215834
"391","2017-01-19",21.215834
"392","2017-01-20",21.291235
"393","2017-01-23",21.33836
"394","2017-01-24",21.413761
"395","2017-01-25",21.771914
"396","2017-01-26",22.016966
"397","2017-01-27",22.00754
"398","2017-01-30",21.753063
