"","date","HLT"
"1","2013-12-12",44.118
"2","2013-12-13",45.349201
"3","2013-12-16",44.159039
"4","2013-12-17",44.75412
"5","2013-12-18",44.795158
"6","2013-12-19",45.718559
"7","2013-12-20",45.000359
"8","2013-12-23",44.241119
"9","2013-12-24",44.138519
"10","2013-12-26",44.5284
"11","2013-12-27",44.3232
"12","2013-12-30",44.918282
"13","2013-12-31",45.657001
"14","2014-01-02",44.85672
"15","2014-01-03",45.16452
"16","2014-01-06",45.144001
"17","2014-01-07",45.144001
"18","2014-01-08",45.205559
"19","2014-01-09",44.877239
"20","2014-01-10",44.507881
"21","2014-01-13",44.569439
"22","2014-01-14",45.349201
"23","2014-01-15",44.95932
"24","2014-01-16",45.06192
"25","2014-01-17",45.657001
"26","2014-01-21",44.979839
"27","2014-01-22",46.087921
"28","2014-01-23",46.498322
"29","2014-01-24",46.067402
"30","2014-01-27",45.123482
"31","2014-01-28",44.938801
"32","2014-01-29",44.44632
"33","2014-01-30",44.44632
"34","2014-01-31",44.4258
"35","2014-02-03",42.989399
"36","2014-02-04",43.153561
"37","2014-02-05",42.681599
"38","2014-02-06",43.502399
"39","2014-02-07",44.4258
"40","2014-02-10",43.933319
"41","2014-02-11",44.507881
"42","2014-02-12",44.918282
"43","2014-02-13",45.041401
"44","2014-02-14",45.144001
"45","2014-02-18",44.65152
"46","2014-02-19",44.179562
"47","2014-02-20",44.097481
"48","2014-02-21",45.451801
"49","2014-02-24",45.677521
"50","2014-02-25",45.90324
"51","2014-02-26",46.252079
"52","2014-02-27",46.149479
"53","2014-02-28",45.882721
"54","2014-03-03",46.149479
"55","2014-03-04",46.293121
"56","2014-03-05",46.724041
"57","2014-03-06",46.12896
"58","2014-03-07",46.600922
"59","2014-03-10",45.923759
"60","2014-03-11",45.36972
"61","2014-03-12",45.862202
"62","2014-03-13",45.246601
"63","2014-03-14",45.205559
"64","2014-03-17",45.39024
"65","2014-03-18",46.313641
"66","2014-03-19",45.677521
"67","2014-03-20",45.49284
"68","2014-03-21",47.17548
"69","2014-03-24",46.703522
"70","2014-03-25",46.12896
"71","2014-03-26",45.841679
"72","2014-03-27",45.615959
"73","2014-03-28",45.657001
"74","2014-03-31",45.636478
"75","2014-04-01",46.272598
"76","2014-04-02",46.10844
"77","2014-04-03",45.18504
"78","2014-04-04",44.302681
"79","2014-04-07",43.851238
"80","2014-04-08",43.830719
"81","2014-04-09",44.138519
"82","2014-04-10",43.461361
"83","2014-04-11",43.605
"84","2014-04-14",43.8102
"85","2014-04-15",43.871761
"86","2014-04-16",44.3232
"87","2014-04-17",44.672039
"88","2014-04-21",44.035919
"89","2014-04-22",44.138519
"90","2014-04-23",44.097481
"91","2014-04-24",44.118
"92","2014-04-25",43.769161
"93","2014-04-28",43.851238
"94","2014-04-29",43.27668
"95","2014-04-30",44.795158
"96","2014-05-01",45.308159
