"","date","HROW"
"1","2007-09-28",120
"2","2007-10-01",120
"3","2007-10-02",120
"4","2007-10-03",120
"5","2007-10-04",138
"6","2007-10-05",138
"7","2007-10-08",138
"8","2007-10-09",138
"9","2007-10-10",138
"10","2007-10-11",120.400002
"11","2007-10-12",120.400002
"12","2007-10-15",120
"13","2007-10-16",120
"14","2007-10-17",134
"15","2007-10-18",116
"16","2007-10-19",116
"17","2007-10-22",110.400002
"18","2007-10-23",110
"19","2007-10-24",110
"20","2007-10-25",110
"21","2007-10-26",110
"22","2007-10-29",110
"23","2007-10-30",110
"24","2007-10-31",110
"25","2007-11-01",110
"26","2007-11-02",120
"27","2007-11-05",110
"28","2007-11-06",110
"29","2007-11-07",110
"30","2007-11-08",102
"31","2007-11-09",100.400002
"32","2007-11-12",110.400002
"33","2007-11-13",110.400002
"34","2007-11-14",131.600006
"35","2007-11-15",110.400002
"36","2007-11-16",120
"37","2007-11-19",116
"38","2007-11-20",116
"39","2007-11-21",114
"40","2007-11-23",98
"41","2007-11-26",90
"42","2007-11-27",88.400002
"43","2007-11-28",88.400002
"44","2007-11-29",88.400002
"45","2007-11-30",90
"46","2007-12-03",104
"47","2007-12-04",103.199997
"48","2007-12-05",104.400002
"49","2007-12-06",104.800003
"50","2007-12-07",108
"51","2007-12-10",108.400002
"52","2007-12-11",110
"53","2007-12-12",110
"54","2007-12-13",110
"55","2007-12-14",110
"56","2007-12-17",104
"57","2007-12-18",108
"58","2007-12-19",108
"59","2007-12-20",110
"60","2007-12-21",110
"61","2007-12-24",114
"62","2007-12-26",108.800003
"63","2007-12-27",106.800003
"64","2007-12-28",110
"65","2007-12-31",110
"66","2008-01-02",110
"67","2008-01-03",110
"68","2008-01-04",108
"69","2008-01-07",117.599998
"70","2008-01-08",112
"71","2008-01-09",104
"72","2008-01-10",103.199997
"73","2008-01-11",103.199997
"74","2008-01-14",105.599998
"75","2008-01-15",100
"76","2008-01-16",96
"77","2008-01-17",92
"78","2008-01-18",90
"79","2008-01-22",86.400002
"80","2008-01-23",81.599998
"81","2008-01-24",82
"82","2008-01-25",66.400002
"83","2008-01-28",78
"84","2008-01-29",67.199997
"85","2008-01-30",68
"86","2008-01-31",64
"87","2008-02-01",58.400002
"88","2008-02-04",58.400002
"89","2008-02-05",64
"90","2008-02-06",58
"91","2008-02-07",58
"92","2008-02-08",58
"93","2008-02-11",58
"94","2008-02-12",58
"95","2008-02-13",58
"96","2008-02-14",54
"97","2008-02-15",48
"98","2008-02-19",50.799999
"99","2008-02-20",54
"100","2008-02-21",54
"101","2008-02-22",46
"102","2008-02-25",46
"103","2008-02-26",52
"104","2008-02-27",48
"105","2008-02-28",60
"106","2008-02-29",74
"107","2008-03-03",74
"108","2008-03-04",66
"109","2008-03-05",64
"110","2008-03-06",61.599998
"111","2008-03-07",61.599998
"112","2008-03-10",74
"113","2008-03-11",74
"114","2008-03-12",74
"115","2008-03-13",54.400002
"116","2008-03-14",54
"117","2008-03-17",51.200001
"118","2008-03-18",50
"119","2008-03-19",50
"120","2008-03-20",50
"121","2008-03-24",50
"122","2008-03-25",50
"123","2008-03-26",48
"124","2008-03-27",50
"125","2008-03-28",59.599998
"126","2008-03-31",70
"127","2008-04-01",58.400002
"128","2008-04-02",58.400002
"129","2008-04-03",58.400002
"130","2008-04-04",44
"131","2008-04-07",68
"132","2008-04-08",50.400002
"133","2008-04-09",50.400002
"134","2008-04-10",51.599998
"135","2008-04-11",56
"136","2008-04-14",50
"137","2008-04-15",49.200001
"138","2008-04-16",49.200001
"139","2008-04-17",49.200001
"140","2008-04-18",49.200001
"141","2008-04-21",49.200001
"142","2008-04-22",49.200001
"143","2008-04-23",46
"144","2008-04-24",44
"145","2008-04-25",48
"146","2008-04-28",48
"147","2008-04-29",52
"148","2008-04-30",56
"149","2008-05-01",52.799999
"150","2008-05-02",53.200001
"151","2008-05-05",54
"152","2008-05-06",58.799999
"153","2008-05-07",58
"154","2008-05-08",56
"155","2008-05-09",56
"156","2008-05-12",56
"157","2008-05-13",56
"158","2008-05-14",60
"159","2008-05-15",65.599998
"160","2008-05-16",70
"161","2008-05-19",76
"162","2008-05-20",62.799999
"163","2008-05-21",60
"164","2008-05-22",62
"165","2008-05-23",62
"166","2008-05-27",64
"167","2008-05-28",64
"168","2008-05-29",68
"169","2008-05-30",66
"170","2008-06-02",64
"171","2008-06-03",66
"172","2008-06-04",72
"173","2008-06-05",68
"174","2008-06-06",68
"175","2008-06-09",62
"176","2008-06-10",65.599998
"177","2008-06-11",63.599998
"178","2008-06-12",63.599998
"179","2008-06-13",61.599998
"180","2008-06-16",62
"181","2008-06-17",64.800003
"182","2008-06-18",60.799999
"183","2008-06-19",64.800003
"184","2008-06-20",64.800003
"185","2008-06-23",60
"186","2008-06-24",60
"187","2008-06-25",60
"188","2008-06-26",60
"189","2008-06-27",70
"190","2008-06-30",74
"191","2008-07-01",62
"192","2008-07-02",68
"193","2008-07-03",64
"194","2008-07-07",64
"195","2008-07-08",64
"196","2008-07-09",68
"197","2008-07-10",68
"198","2008-07-11",68
"199","2008-07-14",68
"200","2008-07-15",68
"201","2008-07-16",60
"202","2008-07-17",60
"203","2008-07-18",60
"204","2008-07-21",60
"205","2008-07-22",60
"206","2008-07-23",60
"207","2008-07-24",60
"208","2008-07-25",60
"209","2008-07-28",60
"210","2008-07-29",60
"211","2008-07-30",68
"212","2008-07-31",70
"213","2008-08-01",66
"214","2008-08-04",66
"215","2008-08-05",66
"216","2008-08-06",64
"217","2008-08-07",65.199997
"218","2008-08-08",64
"219","2008-08-11",66
"220","2008-08-12",64
"221","2008-08-13",60
"222","2008-08-14",60
"223","2008-08-15",60
"224","2008-08-18",60
"225","2008-08-19",60
"226","2008-08-20",60
"227","2008-08-21",64
"228","2008-08-22",64
"229","2008-08-25",64
"230","2008-08-26",64
"231","2008-08-27",66
"232","2008-08-28",66
"233","2008-08-29",64
"234","2008-09-02",60
"235","2008-09-03",60
"236","2008-09-04",58
"237","2008-09-05",58
"238","2008-09-08",58
"239","2008-09-09",58
"240","2008-09-10",54
"241","2008-09-11",54
