"","date","CINR"
"1","2013-09-13",18
"2","2013-09-16",18.059999
"3","2013-09-17",18.200001
"4","2013-09-18",18.389999
"5","2013-09-19",18.299999
"6","2013-09-20",18.1
"7","2013-09-23",18.16
"8","2013-09-24",18.110001
"9","2013-09-25",18.110001
"10","2013-09-26",18.219999
"11","2013-09-27",18.17
"12","2013-09-30",18.35
"13","2013-10-01",18.35
"14","2013-10-02",18.610001
"15","2013-10-03",18.9
"16","2013-10-04",19.09
"17","2013-10-07",19.440001
"18","2013-10-08",20.01
"19","2013-10-09",19.99
"20","2013-10-10",20
"21","2013-10-11",19.91
"22","2013-10-14",20.200001
"23","2013-10-15",20.41
"24","2013-10-16",20.75
"25","2013-10-17",20.799999
"26","2013-10-18",21.200001
"27","2013-10-21",22.049999
"28","2013-10-22",22.1
"29","2013-10-23",22.049999
"30","2013-10-24",22.1
"31","2013-10-25",22.07
"32","2013-10-28",22.1
"33","2013-10-29",22.040001
"34","2013-10-30",21.889999
"35","2013-10-31",21.99
"36","2013-11-01",22.17
"37","2013-11-04",22.33
"38","2013-11-05",22
"39","2013-11-06",21.18
"40","2013-11-07",20.9
"41","2013-11-08",21.15
"42","2013-11-11",21.27
"43","2013-11-12",20.780001
"44","2013-11-13",20.85
"45","2013-11-14",21.5
"46","2013-11-15",21.76
"47","2013-11-18",21.799999
"48","2013-11-19",21.440001
"49","2013-11-20",21.17
"50","2013-11-21",21.17
"51","2013-11-22",21.280001
"52","2013-11-25",21.040001
"53","2013-11-26",21
"54","2013-11-27",21.049999
"55","2013-11-29",21.469999
"56","2013-12-02",20.790001
"57","2013-12-03",20.41
"58","2013-12-04",20.620001
"59","2013-12-05",20.940001
"60","2013-12-06",21.209999
"61","2013-12-09",21.4
"62","2013-12-10",21.32
"63","2013-12-11",20.969999
"64","2013-12-12",20.860001
"65","2013-12-13",20.51
"66","2013-12-16",20.549999
"67","2013-12-17",20.549999
"68","2013-12-18",20.370001
"69","2013-12-19",20.049999
"70","2013-12-20",20.110001
"71","2013-12-23",20.49
"72","2013-12-24",21.049999
"73","2013-12-26",20.91
"74","2013-12-27",20.6
"75","2013-12-30",20.65
"76","2013-12-31",20.49
"77","2014-01-02",20.799999
"78","2014-01-03",20.42
"79","2014-01-06",20.75
"80","2014-01-07",21.1
"81","2014-01-08",21.6
"82","2014-01-09",21.15
"83","2014-01-10",21.15
"84","2014-01-13",20.559999
"85","2014-01-14",20.65
"86","2014-01-15",20.68
"87","2014-01-16",20.549999
"88","2014-01-17",20.99
"89","2014-01-21",21.34
"90","2014-01-22",21.370001
"91","2014-01-23",21.1
"92","2014-01-24",20.66
"93","2014-01-27",20.68
"94","2014-01-28",20.59
"95","2014-01-29",21
"96","2014-01-30",21.200001
"97","2014-01-31",21.5
"98","2014-02-03",21.17
"99","2014-02-04",20.92
"100","2014-02-05",21.049999
"101","2014-02-06",20.93
"102","2014-02-07",20.959999
"103","2014-02-10",21.469999
"104","2014-02-11",21.459999
"105","2014-02-12",21.110001
