"","date","MX"
"1","2011-03-11",14.01
"2","2011-03-14",14.02
"3","2011-03-15",14
"4","2011-03-16",14
"5","2011-03-17",13.92
"6","2011-03-18",13.8
"7","2011-03-21",13.83
"8","2011-03-22",13.7
"9","2011-03-23",13.62
"10","2011-03-24",13.65
"11","2011-03-25",13.5
"12","2011-03-28",13.94
"13","2011-03-29",13.76
"14","2011-03-30",13.7
"15","2011-03-31",13.75
"16","2011-04-01",13.81
"17","2011-04-04",13.93
"18","2011-04-05",13.95
"19","2011-04-06",13.9
"20","2011-04-07",13.91
"21","2011-04-08",14.77
"22","2011-04-11",14.62
"23","2011-04-12",14.89
"24","2011-04-13",14.61
"25","2011-04-14",14.36
"26","2011-04-15",13.95
"27","2011-04-18",13.9
"28","2011-04-19",13.97
"29","2011-04-20",14.2
"30","2011-04-21",14.11
"31","2011-04-25",14.05
"32","2011-04-26",14.02
"33","2011-04-27",13.96
"34","2011-04-28",13.95
"35","2011-04-29",13.95
"36","2011-05-02",13.87
"37","2011-05-03",13.92
"38","2011-05-04",13.73
"39","2011-05-05",14.15
"40","2011-05-06",14.6
"41","2011-05-09",14.68
"42","2011-05-10",15.03
"43","2011-05-11",14.81
"44","2011-05-12",14.73
"45","2011-05-13",14.7
"46","2011-05-16",14.48
"47","2011-05-17",14.29
"48","2011-05-18",14.65
"49","2011-05-19",14.54
"50","2011-05-20",14.28
"51","2011-05-23",14.11
"52","2011-05-24",14.28
"53","2011-05-25",14.06
"54","2011-05-26",13.91
"55","2011-05-27",13.86
"56","2011-05-31",13.89
"57","2011-06-01",13.9
"58","2011-06-02",14.03
"59","2011-06-03",14
"60","2011-06-06",13.79
"61","2011-06-07",13.51
"62","2011-06-08",12.94
"63","2011-06-09",12.55
"64","2011-06-10",11.85
"65","2011-06-13",11.36
"66","2011-06-14",11.85
"67","2011-06-15",11.72
"68","2011-06-16",11.52
"69","2011-06-17",11.62
"70","2011-06-20",11.52
"71","2011-06-21",11.74
"72","2011-06-22",11.94
"73","2011-06-23",12.28
"74","2011-06-24",11.57
"75","2011-06-27",11.66
"76","2011-06-28",11.65
"77","2011-06-29",11.53
"78","2011-06-30",11.52
"79","2011-07-01",11.42
"80","2011-07-05",11.45
"81","2011-07-06",11.17
"82","2011-07-07",11.32
"83","2011-07-08",11.47
"84","2011-07-11",11.13
"85","2011-07-12",11.07
"86","2011-07-13",10.92
"87","2011-07-14",11.1
"88","2011-07-15",10.99
"89","2011-07-18",10.79
"90","2011-07-19",11.1
"91","2011-07-20",10.97
"92","2011-07-21",11.38
"93","2011-07-22",11.46
"94","2011-07-25",11.68
"95","2011-07-26",11.28
"96","2011-07-27",11.08
"97","2011-07-28",10.93
"98","2011-07-29",10.64
"99","2011-08-01",10.86
"100","2011-08-02",10.83
"101","2011-08-03",10.3
"102","2011-08-04",10.4
"103","2011-08-05",10.66
"104","2011-08-08",9.93
"105","2011-08-09",9.26
"106","2011-08-10",8.82
"107","2011-08-11",9.79
"108","2011-08-12",10.04
"109","2011-08-15",10.43
"110","2011-08-16",10.3
"111","2011-08-17",9.99
"112","2011-08-18",9.51
"113","2011-08-19",9.38
"114","2011-08-22",9.39
"115","2011-08-23",9.7
"116","2011-08-24",9.5
"117","2011-08-25",9
"118","2011-08-26",9.12
"119","2011-08-29",9.06
"120","2011-08-30",9.13
"121","2011-08-31",8.96
"122","2011-09-01",8.76
"123","2011-09-02",8.71
"124","2011-09-06",8.65
"125","2011-09-07",8.67
"126","2011-09-08",8.5
"127","2011-09-09",8.44
"128","2011-09-12",8.15
"129","2011-09-13",8.1
"130","2011-09-14",8.11
"131","2011-09-15",8.14
"132","2011-09-16",8.06
"133","2011-09-19",7.85
"134","2011-09-20",7.94
"135","2011-09-21",7.85
"136","2011-09-22",7.5
"137","2011-09-23",7.48
"138","2011-09-26",7.28
"139","2011-09-27",7.33
"140","2011-09-28",7.2
"141","2011-09-29",6.9
"142","2011-09-30",6.72
"143","2011-10-03",6.4
"144","2011-10-04",5.9
"145","2011-10-05",5.81
"146","2011-10-06",5.86
"147","2011-10-07",5.94
"148","2011-10-10",6.19
"149","2011-10-11",6.56
"150","2011-10-12",6.5
"151","2011-10-13",6.6
"152","2011-10-14",6.58
"153","2011-10-17",6.43
"154","2011-10-18",6.36
"155","2011-10-19",6.24
"156","2011-10-20",6.01
"157","2011-10-21",6.01
