"","date","PLD"
"1","2007-01-03",58.419998
"2","2007-01-04",57.98
"3","2007-01-05",56.75
"4","2007-01-08",56.580002
"5","2007-01-09",57.279999
"6","2007-01-10",58.119999
"7","2007-01-11",58.970001
"8","2007-01-12",59.240002
"9","2007-01-16",59.91
"10","2007-01-17",59.759998
"11","2007-01-18",59.349998
"12","2007-01-19",60
"13","2007-01-22",58.869999
"14","2007-01-23",59.459999
"15","2007-01-24",60.549999
"16","2007-01-25",60.619999
"17","2007-01-26",60.349998
"18","2007-01-29",60.580002
"19","2007-01-30",60.490002
"20","2007-01-31",60.849998
"21","2007-02-01",61.400002
"22","2007-02-02",61.610001
"23","2007-02-05",61.560001
"24","2007-02-06",61.889999
"25","2007-02-07",64.620003
"26","2007-02-08",64.699997
"27","2007-02-09",64.730003
"28","2007-02-12",63.549999
"29","2007-02-13",64.870003
"30","2007-02-14",63.990002
"31","2007-02-15",64.18
"32","2007-02-16",64.139999
"33","2007-02-20",64.089996
"34","2007-02-21",63.84
"35","2007-02-22",63.57
"36","2007-02-23",62.41
"37","2007-02-26",61.490002
"38","2007-02-27",59.68
"39","2007-02-28",58.799999
"40","2007-03-01",58.43
"41","2007-03-02",58.130001
"42","2007-03-05",56.450001
"43","2007-03-06",57.639999
"44","2007-03-07",56.919998
"45","2007-03-08",57.419998
"46","2007-03-09",58.099998
"47","2007-03-12",58.389999
"48","2007-03-13",56.970001
"49","2007-03-14",57.310001
"50","2007-03-15",58.459999
"51","2007-03-16",58.470001
"52","2007-03-19",58.619999
"53","2007-03-20",58.93
"54","2007-03-21",59.220001
"55","2007-03-22",59.060001
"56","2007-03-23",59.09
"57","2007-03-26",58.57
"58","2007-03-27",58.040001
"59","2007-03-28",58.169998
"60","2007-03-29",58.07
"61","2007-03-30",58.790001
"62","2007-04-02",59.470001
"63","2007-04-03",59.880001
"64","2007-04-04",59.57
"65","2007-04-05",59.59
"66","2007-04-09",59.610001
"67","2007-04-10",59.860001
"68","2007-04-11",59.75
"69","2007-04-12",59.400002
"70","2007-04-13",60.459999
"71","2007-04-16",60.66
"72","2007-04-17",61.880001
"73","2007-04-18",61.580002
"74","2007-04-19",61.299999
"75","2007-04-20",62.139999
"76","2007-04-23",62.669998
"77","2007-04-24",62.119999
"78","2007-04-25",62.049999
"79","2007-04-26",61.950001
"80","2007-04-27",62.07
"81","2007-04-30",60.91
"82","2007-05-01",60.639999
"83","2007-05-02",61.099998
"84","2007-05-03",60.939999
"85","2007-05-04",60.150002
"86","2007-05-07",60.5
"87","2007-05-08",59.990002
"88","2007-05-09",60.700001
"89","2007-05-10",59.59
"90","2007-05-11",60.400002
"91","2007-05-14",59.610001
"92","2007-05-15",58.610001
"93","2007-05-16",57.73
"94","2007-05-17",56.740002
"95","2007-05-18",55.77
"96","2007-05-21",56.07
"97","2007-05-22",56.599998
"98","2007-05-23",56.009998
"99","2007-05-24",55.16
"100","2007-05-25",54.720001
"101","2007-05-29",56.360001
"102","2007-05-30",58.099998
"103","2007-05-31",57.849998
"104","2007-06-01",58.689999
"105","2007-06-04",59.389999
"106","2007-06-05",58.400002
"107","2007-06-06",58.740002
"108","2007-06-07",57.25
"109","2007-06-08",57.810001
"110","2007-06-11",56.209999
"111","2007-06-12",54.970001
"112","2007-06-13",56.23
"113","2007-06-14",55.919998
"114","2007-06-15",56.330002
"115","2007-06-18",54.91
"116","2007-06-19",55.220001
"117","2007-06-20",53.959999
"118","2007-06-21",54.110001
"119","2007-06-22",53.650002
"120","2007-06-25",52.549999
"121","2007-06-26",52.16
"122","2007-06-27",53.549999
"123","2007-06-28",53.380001
"124","2007-06-29",53.220001
"125","2007-07-02",55.799999
"126","2007-07-03",54.869999
"127","2007-07-05",55.73
"128","2007-07-06",56.119999
"129","2007-07-09",56.41
"130","2007-07-10",54.48
"131","2007-07-11",54.139999
"132","2007-07-12",55.490002
"133","2007-07-13",56.509998
"134","2007-07-16",56.450001
"135","2007-07-17",55.330002
"136","2007-07-18",55.959999
"137","2007-07-19",56.34
"138","2007-07-20",55.709999
"139","2007-07-23",55.75
"140","2007-07-24",55.119999
"141","2007-07-25",55.119999
