"","date","ZUMZ"
"1","2007-01-03",31.049999
"2","2007-01-04",32.439999
"3","2007-01-05",32.57
"4","2007-01-08",32.950001
"5","2007-01-09",33.939999
"6","2007-01-10",35.290001
"7","2007-01-11",34.549999
"8","2007-01-12",35.810001
"9","2007-01-16",35.43
"10","2007-01-17",34.810001
"11","2007-01-18",33.950001
"12","2007-01-19",33.900002
"13","2007-01-22",33.299999
"14","2007-01-23",33.450001
"15","2007-01-24",33.540001
"16","2007-01-25",33.279999
"17","2007-01-26",33.119999
"18","2007-01-29",32.959999
"19","2007-01-30",31.469999
"20","2007-01-31",32.900002
"21","2007-02-01",33.380001
"22","2007-02-02",33.68
"23","2007-02-05",33.970001
"24","2007-02-06",35.490002
"25","2007-02-07",35.450001
"26","2007-02-08",36.490002
"27","2007-02-09",36.18
"28","2007-02-12",35.52
"29","2007-02-13",35.25
"30","2007-02-14",35.060001
"31","2007-02-15",34.889999
"32","2007-02-16",35.049999
"33","2007-02-20",35.700001
"34","2007-02-21",36.369999
"35","2007-02-22",36.639999
"36","2007-02-23",36.77
"37","2007-02-26",35.740002
"38","2007-02-27",34
"39","2007-02-28",34.009998
"40","2007-03-01",33.400002
"41","2007-03-02",33.220001
"42","2007-03-05",31.57
"43","2007-03-06",32.509998
"44","2007-03-07",32.290001
"45","2007-03-08",36.650002
"46","2007-03-09",36.950001
"47","2007-03-12",36.75
"48","2007-03-13",35.849998
"49","2007-03-14",37.400002
"50","2007-03-15",39.560001
"51","2007-03-16",39.240002
"52","2007-03-19",39.299999
"53","2007-03-20",39.880001
"54","2007-03-21",41.150002
"55","2007-03-22",41.830002
"56","2007-03-23",41.509998
"57","2007-03-26",41.09
"58","2007-03-27",40.75
"59","2007-03-28",40.75
"60","2007-03-29",40.220001
"61","2007-03-30",40.119999
"62","2007-04-02",40.93
"63","2007-04-03",41.830002
"64","2007-04-04",41.950001
"65","2007-04-05",42
"66","2007-04-09",41.540001
"67","2007-04-10",40.790001
"68","2007-04-11",40.66
"69","2007-04-12",40.91
"70","2007-04-13",39.75
"71","2007-04-16",39.610001
"72","2007-04-17",39.290001
"73","2007-04-18",38.759998
"74","2007-04-19",39.360001
"75","2007-04-20",39.349998
"76","2007-04-23",40.509998
"77","2007-04-24",39.990002
"78","2007-04-25",39.459999
"79","2007-04-26",39.540001
"80","2007-04-27",39.290001
"81","2007-04-30",39.459999
"82","2007-05-01",39.029999
"83","2007-05-02",39.330002
"84","2007-05-03",39.099998
"85","2007-05-04",39.779999
"86","2007-05-07",41.200001
"87","2007-05-08",41.32
