"","date","ESTE"
"1","2007-01-03",18.6
"2","2007-01-04",18.5
"3","2007-01-05",18.4
"4","2007-01-08",18.6
"5","2007-01-09",18.200001
"6","2007-01-10",18.6
"7","2007-01-11",18.299999
"8","2007-01-12",18.5
"9","2007-01-16",18.4
"10","2007-01-17",18
"11","2007-01-18",18
"12","2007-01-19",19
"13","2007-01-22",18.700001
"14","2007-01-23",18.110001
"15","2007-01-24",18.299999
"16","2007-01-25",18.01
"17","2007-01-26",18
"18","2007-01-29",18.5
"19","2007-01-30",18.799999
"20","2007-01-31",18.790001
"21","2007-02-01",18.5
"22","2007-02-02",18.4
"23","2007-02-05",18.950001
"24","2007-02-06",18.700001
"25","2007-02-07",19
"26","2007-02-08",18.65
"27","2007-02-09",18.6
"28","2007-02-12",18.299999
"29","2007-02-13",18.299999
"30","2007-02-14",18.700001
"31","2007-02-15",18.700001
"32","2007-02-16",18
"33","2007-02-20",18.299999
"34","2007-02-21",18
"35","2007-02-22",18.5
"36","2007-02-23",18.4
"37","2007-02-26",17.5
"38","2007-02-27",16.5
"39","2007-02-28",16.799999
"40","2007-03-01",17.5
"41","2007-03-02",18
"42","2007-03-05",17.4
"43","2007-03-06",17.4
"44","2007-03-07",17.1
"45","2007-03-08",17.200001
"46","2007-03-09",17.1
"47","2007-03-12",17
"48","2007-03-13",15.8
"49","2007-03-14",15.2
"50","2007-03-15",15.6
"51","2007-03-16",16.9
"52","2007-03-19",15.9
"53","2007-03-20",16.299999
"54","2007-03-21",16
"55","2007-03-22",15.9
"56","2007-03-23",15.5
"57","2007-03-26",15.5
"58","2007-03-27",15.5
"59","2007-03-28",15.4
"60","2007-03-29",16.200001
"61","2007-03-30",16.299999
"62","2007-04-02",16.15
"63","2007-04-03",15.4
"64","2007-04-04",15.5
"65","2007-04-05",15.2
"66","2007-04-09",15.4
"67","2007-04-10",14.8
"68","2007-04-11",15
"69","2007-04-12",14.9
"70","2007-04-13",14.9
"71","2007-04-16",14.6
"72","2007-04-17",14.8
"73","2007-04-18",14.9
"74","2007-04-19",14.8
"75","2007-04-20",14.7
"76","2007-04-23",14.8
"77","2007-04-24",14.8
"78","2007-04-25",14.6
"79","2007-04-26",14.4
"80","2007-04-27",14.2
"81","2007-04-30",14.2
"82","2007-05-01",14.5
"83","2007-05-02",14.5
"84","2007-05-03",14.4
"85","2007-05-04",14.5
"86","2007-05-07",14.8
"87","2007-05-08",14.8
"88","2007-05-09",15.9
"89","2007-05-10",15.8
"90","2007-05-11",16
"91","2007-05-14",16.200001
"92","2007-05-15",16
"93","2007-05-16",15.5
"94","2007-05-17",15.1
