"","date","DRIO"
"1","2016-03-14",3.51
"2","2016-03-15",3.36
"3","2016-03-16",3.44
"4","2016-03-17",3.51
"5","2016-03-18",3.8
"6","2016-03-21",4.2
"7","2016-03-22",4.09
"8","2016-03-23",4.01
"9","2016-03-24",4.25
"10","2016-03-28",4.13
"11","2016-03-29",4.32
"12","2016-03-30",4.4
"13","2016-03-31",4.31
"14","2016-04-01",4.4
"15","2016-04-04",4.43
"16","2016-04-05",4.44
"17","2016-04-06",4.95
"18","2016-04-07",5.25
"19","2016-04-08",5.22
"20","2016-04-11",5.3
"21","2016-04-12",5.23
"22","2016-04-13",5.2
"23","2016-04-14",5.2
"24","2016-04-15",5.29
"25","2016-04-18",5.39
"26","2016-04-19",5.69
"27","2016-04-20",5.54
"28","2016-04-21",5.49
"29","2016-04-22",5.42
"30","2016-04-25",5.68
"31","2016-04-26",5.45
"32","2016-04-27",5.5
"33","2016-04-28",5.47
"34","2016-04-29",5.24
"35","2016-05-02",5.24
"36","2016-05-03",5.13
"37","2016-05-04",5.47
"38","2016-05-05",5.22
"39","2016-05-06",5.4
"40","2016-05-09",5.48
"41","2016-05-10",5.37
"42","2016-05-11",5.42
"43","2016-05-12",5.15
"44","2016-05-13",5.47
"45","2016-05-16",5.26
"46","2016-05-17",5.23
"47","2016-05-18",5.1
"48","2016-05-19",5.05
"49","2016-05-20",4.89
"50","2016-05-23",4.94
"51","2016-05-24",4.9
"52","2016-05-25",5.02
"53","2016-05-26",5.09
"54","2016-05-27",5.02
"55","2016-05-31",5.02
"56","2016-06-01",4.81
"57","2016-06-02",4.95
"58","2016-06-03",4.94
"59","2016-06-06",4.89
"60","2016-06-07",5
"61","2016-06-08",4.76
"62","2016-06-09",4.85
"63","2016-06-10",4.97
"64","2016-06-13",5.35
"65","2016-06-14",5.15
"66","2016-06-15",5.45
"67","2016-06-16",5.4
"68","2016-06-17",4.8
"69","2016-06-20",4.9
"70","2016-06-21",4.82
"71","2016-06-22",4.9
"72","2016-06-23",4.79
"73","2016-06-24",4.621
"74","2016-06-27",4.37
"75","2016-06-28",4.68
"76","2016-06-29",4.62
"77","2016-06-30",5.15
"78","2016-07-01",4.53
"79","2016-07-05",4.63
"80","2016-07-06",4.66
"81","2016-07-07",4.58
"82","2016-07-08",4.63
"83","2016-07-11",4.62
"84","2016-07-12",4.63
"85","2016-07-13",4.45
"86","2016-07-14",4.379
"87","2016-07-15",4.217
"88","2016-07-18",4.179
"89","2016-07-19",4.61
"90","2016-07-20",4.64
"91","2016-07-21",4.618
"92","2016-07-22",4.63
"93","2016-07-25",4.5
"94","2016-07-26",4.497
"95","2016-07-27",4.46
"96","2016-07-28",4.4
"97","2016-07-29",4.35
"98","2016-08-01",4.18
"99","2016-08-02",4.179
"100","2016-08-03",4.09
"101","2016-08-04",3.93
"102","2016-08-05",3.94
"103","2016-08-08",4.01
"104","2016-08-09",3.94
"105","2016-08-10",3.97
"106","2016-08-11",3.967
"107","2016-08-12",3.86
"108","2016-08-15",3.75
"109","2016-08-16",3.49
"110","2016-08-17",3.65
"111","2016-08-18",3.69
"112","2016-08-19",3.45
"113","2016-08-22",3.3
"114","2016-08-23",3.38
"115","2016-08-24",3.21
"116","2016-08-25",3.14
"117","2016-08-26",3.19
"118","2016-08-29",3.228
"119","2016-08-30",3.32
"120","2016-08-31",3.65
"121","2016-09-01",3.85
"122","2016-09-02",4.019
"123","2016-09-06",3.94
"124","2016-09-07",3.66
"125","2016-09-08",3.733
"126","2016-09-09",3.88
"127","2016-09-12",3.95
"128","2016-09-13",3.85
"129","2016-09-14",3.939
"130","2016-09-15",3.71
"131","2016-09-16",3.67
"132","2016-09-19",3.35
"133","2016-09-20",3.379
"134","2016-09-21",3.15
"135","2016-09-22",3.14
"136","2016-09-23",3.19
"137","2016-09-26",3.29
"138","2016-09-27",3.742
"139","2016-09-28",3.758
"140","2016-09-29",3.719
"141","2016-09-30",3.55
"142","2016-10-03",3.43
"143","2016-10-04",3.71
"144","2016-10-05",3.59
"145","2016-10-06",3.57
"146","2016-10-07",3.28
"147","2016-10-10",3.35
"148","2016-10-11",3.5
"149","2016-10-12",4.13
"150","2016-10-13",3.83
"151","2016-10-14",3.9
"152","2016-10-17",3.39
"153","2016-10-18",3.42
"154","2016-10-19",3.45
"155","2016-10-20",3.29
"156","2016-10-21",3.46
"157","2016-10-24",3.48
"158","2016-10-25",3.45
"159","2016-10-26",3.35
"160","2016-10-27",3.24
"161","2016-10-28",3.25
"162","2016-10-31",3.21
"163","2016-11-01",2.76
"164","2016-11-02",2.839
"165","2016-11-03",3.08
"166","2016-11-04",3.33
"167","2016-11-07",3.344
"168","2016-11-08",3.349
"169","2016-11-09",3.16
"170","2016-11-10",3.2
"171","2016-11-11",3.09
"172","2016-11-14",2.85
"173","2016-11-15",2.94
"174","2016-11-16",3.075
"175","2016-11-17",2.906
"176","2016-11-18",3.09
"177","2016-11-21",3.08
"178","2016-11-22",3.01
"179","2016-11-23",2.81
"180","2016-11-25",2.76
"181","2016-11-28",3.002
"182","2016-11-29",3.042
"183","2016-11-30",3.06
