"","date","VAC"
"195","2012-08-16",31.950001
"196","2012-08-17",31.65
"197","2012-08-20",31
"198","2012-08-21",30.440001
"199","2012-08-22",31.1
"200","2012-08-23",31.01
"201","2012-08-24",30.83
"202","2012-08-27",31.809999
"203","2012-08-28",31.75
"204","2012-08-29",32.580002
"205","2012-08-30",32.119999
"206","2012-08-31",32.119999
"207","2012-09-04",31.709999
"208","2012-09-05",31.530001
"209","2012-09-06",32.52
"210","2012-09-07",32.950001
"211","2012-09-10",32.93
"212","2012-09-11",33.360001
"213","2012-09-12",33.630001
"214","2012-09-13",35.18
"215","2012-09-14",35.82
"216","2012-09-17",36.110001
"217","2012-09-18",36.080002
"218","2012-09-19",35.439999
"219","2012-09-20",34.970001
"220","2012-09-21",35.369999
"221","2012-09-24",35.66
"222","2012-09-25",35.52
"223","2012-09-26",35.48
"224","2012-09-27",36.009998
"225","2012-09-28",36.02
"226","2012-10-01",36.310001
"227","2012-10-02",36.52
"228","2012-10-03",36.830002
"229","2012-10-04",37.959999
"230","2012-10-05",38.02
"231","2012-10-08",38.400002
"232","2012-10-09",38.560001
"233","2012-10-10",38.860001
"234","2012-10-11",39.029999
"235","2012-10-12",39.169998
"236","2012-10-15",39.950001
"237","2012-10-16",40
"238","2012-10-17",40.220001
"239","2012-10-18",39.560001
"240","2012-10-19",40.279999
"241","2012-10-22",39.950001
"242","2012-10-23",39.830002
"243","2012-10-24",39.369999
"244","2012-10-25",39.549999
"245","2012-10-26",38.84
"246","2012-10-31",39.34
"247","2012-11-01",39.029999
"248","2012-11-02",37.970001
"249","2012-11-05",38.23
"250","2012-11-06",38.700001
"251","2012-11-07",37.459999
"252","2012-11-08",38.27
"253","2012-11-09",38.209999
"254","2012-11-12",37.830002
"255","2012-11-13",38.709999
"256","2012-11-14",37.619999
"257","2012-11-15",38.080002
"258","2012-11-16",39.080002
"259","2012-11-19",40
"260","2012-11-20",39.98
"261","2012-11-21",39.529999
"262","2012-11-23",39.139999
"263","2012-11-26",39.580002
"264","2012-11-27",39.93
"265","2012-11-28",40.330002
"266","2012-11-29",40.43
"267","2012-11-30",39.810001
"268","2012-12-03",40.259998
"269","2012-12-04",40.080002
"270","2012-12-05",39.759998
"271","2012-12-06",39.830002
"272","2012-12-07",40.290001
"273","2012-12-10",40.299999
"274","2012-12-11",40.259998
"275","2012-12-12",40.029999
"276","2012-12-13",39.900002
"277","2012-12-14",39.84
"278","2012-12-17",40.509998
"279","2012-12-18",40.869999
"280","2012-12-19",41.169998
"281","2012-12-20",41.080002
"282","2012-12-21",41.66
"283","2012-12-24",40.330002
"284","2012-12-26",38.57
"285","2012-12-27",41.07
"286","2012-12-28",40.830002
"287","2012-12-31",41.669998
"288","2013-01-02",44.029999
"289","2013-01-03",43.900002
"290","2013-01-04",43.41
"291","2013-01-07",43.299999
"292","2013-01-08",44.09
"293","2013-01-09",43.93
"294","2013-01-10",43.759998
"295","2013-01-11",43.700001
"296","2013-01-14",43.700001
"297","2013-01-15",44
"298","2013-01-16",43.450001
"299","2013-01-17",44.389999
"300","2013-01-18",44.130001
"301","2013-01-22",44.27
"302","2013-01-23",44.040001
"303","2013-01-24",44.099998
