"","date","OSMT"
"1","2018-10-19",9.03
"2","2018-10-22",9.2
"3","2018-10-23",8.88
"4","2018-10-24",8
"5","2018-10-25",9.01
"6","2018-10-26",8.5
"7","2018-10-29",8.31
"8","2018-10-30",8.71
"9","2018-10-31",8.7
"10","2018-11-01",8.75
"11","2018-11-02",8.68
"12","2018-11-05",8.7
"13","2018-11-06",8.85
"14","2018-11-07",8.82
"15","2018-11-08",8.7
"16","2018-11-09",8.6
"17","2018-11-12",8.52
"18","2018-11-13",7.66
"19","2018-11-14",7.55
"20","2018-11-15",7.56
"21","2018-11-16",7.53
"22","2018-11-19",7
"23","2018-11-20",7.13
"24","2018-11-21",6.7
"25","2018-11-23",7.4
"26","2018-11-26",7.06
"27","2018-11-27",6.25
"28","2018-11-28",6.81
"29","2018-11-29",7
"30","2018-11-30",7.88
"31","2018-12-03",8.83
"32","2018-12-04",8.2
"33","2018-12-06",7.62
"34","2018-12-07",7.84
"35","2018-12-10",7.85
"36","2018-12-11",8.12
"37","2018-12-12",8.15
"38","2018-12-13",8.04
"39","2018-12-14",7.99
"40","2018-12-17",7.97
"41","2018-12-18",7.94
"42","2018-12-19",7.93
"43","2018-12-20",7.88
"44","2018-12-21",7.88
"45","2018-12-24",7.92
"46","2018-12-26",8.09
"47","2018-12-27",7.28
"48","2018-12-28",7.19
"49","2018-12-31",7.75
"50","2019-01-02",7.78
"51","2019-01-03",7.83
"52","2019-01-04",8.07
"53","2019-01-07",7.95
"54","2019-01-08",8.65
"55","2019-01-09",8.45
"56","2019-01-10",8.3
"57","2019-01-11",8.31
"58","2019-01-14",8.51
"59","2019-01-15",8.75
"60","2019-01-16",8.64
"61","2019-01-17",8.19
"62","2019-01-18",8.2
"63","2019-01-22",7.91
"64","2019-01-23",7.7
"65","2019-01-24",7.63
"66","2019-01-25",7.99
"67","2019-01-28",7.78
"68","2019-01-29",7.75
"69","2019-01-30",7.98
"70","2019-01-31",7.84
"71","2019-02-01",8
"72","2019-02-04",7.79
"73","2019-02-05",7.99
"74","2019-02-06",7.89
"75","2019-02-07",7.87
"76","2019-02-08",7.88
"77","2019-02-11",7.85
"78","2019-02-12",7.89
"79","2019-02-13",7.5
"80","2019-02-14",7.65
"81","2019-02-15",7.88
"82","2019-02-19",8
"83","2019-02-20",7.27
"84","2019-02-21",7.28
"85","2019-02-22",7.14
"86","2019-02-25",7.12
"87","2019-02-26",7.03
"88","2019-02-27",7.21
"89","2019-02-28",7.19
"90","2019-03-01",7.2
"91","2019-03-04",7.18
"92","2019-03-05",7.18
"93","2019-03-06",6.94
"94","2019-03-07",6.7
"95","2019-03-08",6.7
"96","2019-03-11",6.87
"97","2019-03-12",6.74
"98","2019-03-13",6.66
"99","2019-03-14",6.54
"100","2019-03-15",6.38
"101","2019-03-18",6.31
"102","2019-03-19",6.55
"103","2019-03-20",6.38
"104","2019-03-21",6.37
"105","2019-03-22",6.49
"106","2019-03-25",6.25
"107","2019-03-26",6.53
"108","2019-03-27",6.74
"109","2019-03-28",4
"110","2019-03-29",3.6
"111","2019-04-01",3.66
"112","2019-04-02",3.85
"113","2019-04-03",3.63
"114","2019-04-04",3.78
"115","2019-04-05",3.85
"116","2019-04-08",3.99
"117","2019-04-09",3.96
"118","2019-04-10",4
"119","2019-04-11",3.97
"120","2019-04-12",4.07
"121","2019-04-15",4.02
"122","2019-04-16",3.95
"123","2019-04-17",4.03
"124","2019-04-18",4.08
"125","2019-04-22",4.19
"126","2019-04-23",4.25
"127","2019-04-24",4.25
"128","2019-04-25",4.28
"129","2019-04-26",4.25
"130","2019-04-29",4.16
"131","2019-04-30",4.02
"132","2019-05-01",3.95
"133","2019-05-02",3.93
"134","2019-05-03",3.98
"135","2019-05-06",3.88
"136","2019-05-07",3.84
"137","2019-05-08",3.5
"138","2019-05-09",3.32
"139","2019-05-10",3
"140","2019-05-13",2.83
"141","2019-05-14",2.62
"142","2019-05-15",2.53
"143","2019-05-16",2.67
"144","2019-05-17",2.7
"145","2019-05-20",2.56
"146","2019-05-21",2.53
"147","2019-05-22",2.6
"148","2019-05-23",2.38
"149","2019-05-24",2.63
"150","2019-05-28",2.51
"151","2019-05-29",2.4
"152","2019-05-30",2.38
"153","2019-05-31",2.4
"154","2019-06-03",2.43
"155","2019-06-04",2.44
"156","2019-06-05",2.43
"157","2019-06-06",2.37
"158","2019-06-07",2.36
"159","2019-06-10",2.34
"160","2019-06-11",2.76
"161","2019-06-12",2.96
"162","2019-06-13",3.1
"163","2019-06-14",3.15
"164","2019-06-17",3.09
"165","2019-06-18",3.15
"166","2019-06-19",3.29
"167","2019-06-20",3.33
"168","2019-06-21",3.29
"169","2019-06-24",3.31
"170","2019-06-25",3.41
"171","2019-06-26",3.5
"172","2019-06-27",3.55
"173","2019-06-28",3.8
"174","2019-07-01",3.89
"175","2019-07-02",3.75
"176","2019-07-03",3.88
"177","2019-07-05",3.77
"178","2019-07-08",3.81
"179","2019-07-09",3.92
"180","2019-07-10",3.99
"181","2019-07-11",3.65
"182","2019-07-12",3.61
"183","2019-07-15",3.62
"184","2019-07-16",3.61
"185","2019-07-17",3.6
"186","2019-07-18",3.62
"187","2019-07-19",3.58
"188","2019-07-22",3.57
"189","2019-07-23",3.38
"190","2019-07-24",3.31
"191","2019-07-25",3.32
"192","2019-07-26",3.3
"193","2019-07-29",3.22
"194","2019-07-30",3.24
"195","2019-07-31",3.26
"196","2019-08-01",3.22
"197","2019-08-02",3.17
"198","2019-08-05",3.11
"199","2019-08-06",3.18
"200","2019-08-07",3.16
"201","2019-08-08",3.11
"202","2019-08-09",3.05
"203","2019-08-12",2.99
"204","2019-08-13",3.07
"205","2019-08-14",3
"206","2019-08-15",2.89
"207","2019-08-16",3
"208","2019-08-19",3.08
"209","2019-08-20",3
"210","2019-08-21",2.97
"211","2019-08-22",3.03
"212","2019-08-23",2.8
"213","2019-08-26",3.04
"214","2019-08-27",2.98
"215","2019-08-28",2.96
"216","2019-08-29",3.21
"217","2019-08-30",3.06
"218","2019-09-03",2.98
"219","2019-09-04",3
"220","2019-09-05",3
"221","2019-09-06",3
"222","2019-09-09",3
"223","2019-09-10",3.2
"224","2019-09-11",3.42
"225","2019-09-12",3.71
"226","2019-09-13",3.69
"227","2019-09-16",3.84
"228","2019-09-17",3.74
"229","2019-09-18",3.6
"230","2019-09-19",3.6
"231","2019-09-20",3.71
"232","2019-09-23",3.85
"233","2019-09-24",3.85
"234","2019-09-25",3.87
"235","2019-09-26",3.96
"236","2019-09-27",3.94
"237","2019-09-30",3.84
"238","2019-10-01",3.93
"239","2019-10-02",4
"240","2019-10-03",4.03
"241","2019-10-04",3.96
"242","2019-10-07",4.2
"243","2019-10-08",3.93
"244","2019-10-09",4.11
"245","2019-10-10",4.14
"246","2019-10-11",4.13
"247","2019-10-14",4.12
"248","2019-10-15",4.28
"249","2019-10-16",4.41
"250","2019-10-17",4.51
"251","2019-10-18",4.54
"252","2019-10-21",4.74
"253","2019-10-22",3.46
"254","2019-10-23",4.12
"255","2019-10-24",4.47
"256","2019-10-25",4.38
"257","2019-10-28",4.3
"258","2019-10-29",4.44
"259","2019-10-30",4.46
"260","2019-10-31",4.43
"261","2019-11-01",4.31
"262","2019-11-04",4.15
"263","2019-11-05",4.03
"264","2019-11-06",4
"265","2019-11-07",4.01
"266","2019-11-08",4
"267","2019-11-11",3.85
"268","2019-11-12",3.8
"269","2019-11-13",3.98
"270","2019-11-14",4.02
"271","2019-11-15",4.12
"272","2019-11-18",4.62
"273","2019-11-19",5
"274","2019-11-20",5.05
"275","2019-11-21",5.24
"276","2019-11-22",6.06
"277","2019-11-25",6.58
"278","2019-11-26",6.41
"279","2019-11-27",6.57
"280","2019-11-29",6.69
"281","2019-12-02",6.73
"282","2019-12-03",6.82
"283","2019-12-04",6.57
"284","2019-12-05",6.58
"285","2019-12-06",6.51
"286","2019-12-09",6.73
"287","2019-12-10",7.7
"288","2019-12-11",7.09
"289","2019-12-12",7.46
"290","2019-12-13",7.19
"291","2019-12-16",7.02
"292","2019-12-17",6.75
"293","2019-12-18",7.34
"294","2019-12-19",7.3
"295","2019-12-20",7.52
"296","2019-12-23",7.42
"297","2019-12-24",7.4
"298","2019-12-26",7.11
"299","2019-12-27",6.9
"300","2019-12-30",6.84
"301","2019-12-31",6.99
"302","2020-01-02",6.98
"303","2020-01-03",6.98
"304","2020-01-06",5.83
"305","2020-01-07",5.41
"306","2020-01-08",5.12
"307","2020-01-09",5.04
"308","2020-01-10",4.9
"309","2020-01-13",5
"310","2020-01-14",4.97
