"","date","THC"
"1","2007-01-03",28.559999
"2","2007-01-04",28.440001
"3","2007-01-05",28.4
"4","2007-01-08",28.76
"5","2007-01-09",28.719999
"6","2007-01-10",29.040001
"7","2007-01-11",29.120001
"8","2007-01-12",29.360001
"9","2007-01-16",29.959999
"10","2007-01-17",29.959999
"11","2007-01-18",30.040001
"12","2007-01-19",30.32
"13","2007-01-22",30.120001
"14","2007-01-23",30.120001
"15","2007-01-24",29.32
"16","2007-01-25",28.879999
"17","2007-01-26",28.280001
"18","2007-01-29",28.52
"19","2007-01-30",28.200001
"20","2007-01-31",28.24
"21","2007-02-01",28.639999
"22","2007-02-02",28.08
"23","2007-02-05",28.92
"24","2007-02-06",28.92
"25","2007-02-07",29.440001
"26","2007-02-08",29.16
"27","2007-02-09",28.76
"28","2007-02-12",28.6
"29","2007-02-13",28.280001
"30","2007-02-14",28.76
"31","2007-02-15",29.4
"32","2007-02-16",29.280001
"33","2007-02-20",30
"34","2007-02-21",29.92
"35","2007-02-22",30.08
"36","2007-02-23",29.76
"37","2007-02-26",30
"38","2007-02-27",27.639999
"39","2007-02-28",27.280001
"40","2007-03-01",26.4
"41","2007-03-02",25.719999
"42","2007-03-05",25.6
"43","2007-03-06",25.440001
"44","2007-03-07",25.84
"45","2007-03-08",25.76
"46","2007-03-09",25.440001
"47","2007-03-12",25.24
"48","2007-03-13",24.84
"49","2007-03-14",25.24
"50","2007-03-15",25.24
"51","2007-03-16",25.4
"52","2007-03-19",26
"53","2007-03-20",26.040001
"54","2007-03-21",26.48
"55","2007-03-22",27.24
"56","2007-03-23",26.84
"57","2007-03-26",26.68
"58","2007-03-27",26.08
"59","2007-03-28",25.92
"60","2007-03-29",25.76
"61","2007-03-30",25.719999
"62","2007-04-02",25.68
"63","2007-04-03",26.52
"64","2007-04-04",26.440001
"65","2007-04-05",26.92
"66","2007-04-09",27.719999
"67","2007-04-10",27.959999
"68","2007-04-11",27.48
"69","2007-04-12",28.280001
"70","2007-04-13",28.120001
"71","2007-04-16",28.440001
"72","2007-04-17",28.76
"73","2007-04-18",28.68
"74","2007-04-19",28.799999
"75","2007-04-20",29.639999
"76","2007-04-23",29.440001
"77","2007-04-24",29.76
"78","2007-04-25",30.16
"79","2007-04-26",30
"80","2007-04-27",30
"81","2007-04-30",29.68
"82","2007-05-01",29.6
"83","2007-05-02",29.639999
"84","2007-05-03",29.6
"85","2007-05-04",29.879999
"86","2007-05-07",30.52
"87","2007-05-08",29.040001
"88","2007-05-09",28.040001
"89","2007-05-10",28.24
"90","2007-05-11",27.879999
"91","2007-05-14",27.719999
"92","2007-05-15",27.879999
"93","2007-05-16",28.120001
"94","2007-05-17",27.84
"95","2007-05-18",27.52
"96","2007-05-21",27.040001
"97","2007-05-22",27.639999
"98","2007-05-23",27.799999
"99","2007-05-24",27.559999
"100","2007-05-25",27.48
"101","2007-05-29",27.48
"102","2007-05-30",27.799999
"103","2007-05-31",27.799999
"104","2007-06-01",28.08
"105","2007-06-04",28.639999
"106","2007-06-05",28.120001
"107","2007-06-06",27.6
"108","2007-06-07",27.120001
"109","2007-06-08",27.360001
