"","date","NVCN"
"1","2007-02-05",250
"2","2007-02-06",250
"3","2007-02-07",250
"4","2007-02-08",250
"5","2007-02-09",220
"6","2007-02-12",250
"7","2007-02-13",250
"8","2007-02-14",250
"9","2007-02-15",250
"10","2007-02-16",250
"11","2007-02-20",250
"12","2007-02-21",250
"13","2007-02-22",250
"14","2007-02-23",250
"15","2007-02-26",250
"16","2007-02-27",250
"17","2007-02-28",250
"18","2007-03-01",250
"19","2007-03-02",250
"20","2007-03-05",250
"21","2007-03-06",250
"22","2007-03-07",250
"23","2007-03-08",250
"24","2007-03-09",180
"25","2007-03-12",180
"26","2007-03-13",180
"27","2007-03-14",180
"28","2007-03-15",250
"29","2007-03-16",250
"30","2007-03-19",250
"31","2007-03-20",250
"32","2007-03-21",250
"33","2007-03-22",250
"34","2007-03-23",250
"35","2007-03-26",250
"36","2007-03-27",250
"37","2007-03-28",250
"38","2007-03-29",250
"39","2007-03-30",250
"40","2007-04-02",210
"41","2007-04-03",210
"42","2007-04-04",210
"43","2007-04-05",210
"44","2007-04-09",210
"45","2007-04-10",210
"46","2007-04-11",210
"47","2007-04-12",210
"48","2007-04-13",210
"49","2007-04-16",210
"50","2007-04-17",210
"51","2007-04-18",210
"52","2007-04-19",210
"53","2007-04-20",210
"54","2007-04-23",210
"55","2007-04-24",210
"56","2007-04-25",160
"57","2007-04-26",160
"58","2007-04-27",160
"59","2007-04-30",160
"60","2007-05-01",150
"61","2007-05-02",150
"62","2007-05-03",150
"63","2007-05-04",150
"64","2007-05-07",150
"65","2007-05-08",150
"66","2007-05-09",150
"67","2007-05-10",170
"68","2007-05-11",170
"69","2007-05-14",170
"70","2007-05-15",170
"71","2007-05-16",170
"72","2007-05-17",170
"73","2007-05-18",170
"74","2007-05-21",170
"75","2007-05-22",180
"76","2007-05-23",180
"77","2007-05-24",180
"78","2007-05-25",180
"79","2007-05-29",180
"80","2007-05-30",160
"81","2007-05-31",160
"82","2007-06-01",160
"83","2007-06-04",160
"84","2007-06-05",160
"85","2007-06-06",160
"86","2007-06-07",160
"87","2007-06-08",160
"88","2007-06-11",160
"89","2007-06-12",160
"90","2007-06-13",160
"91","2007-06-14",160
"92","2007-06-15",160
"93","2007-06-18",160
"94","2007-06-19",160
"95","2007-06-20",160
"96","2007-06-21",160
"97","2007-06-22",160
"98","2007-06-25",160
"99","2007-06-26",160
"100","2007-06-27",160
"101","2007-06-28",160
"102","2007-06-29",160
"103","2007-07-02",160
"104","2007-07-03",160
"105","2007-07-05",160
"106","2007-07-06",160
"107","2007-07-09",160
"108","2007-07-10",160
"109","2007-07-11",160
"110","2007-07-12",160
"111","2007-07-13",160
"112","2007-07-16",160
"113","2007-07-17",160
"114","2007-07-18",160
"115","2007-07-19",190
"116","2007-07-20",190
"117","2007-07-23",190
"118","2007-07-24",190
"119","2007-07-25",190
"120","2007-07-26",190
"121","2007-07-27",190
"122","2007-07-30",190
"123","2007-07-31",190
"124","2007-08-01",190
"125","2007-08-02",190
"126","2007-08-03",190
"127","2007-08-06",190
"128","2007-08-07",190
"129","2007-08-08",190
"130","2007-08-09",190
"131","2007-08-10",190
"132","2007-08-13",190
"133","2007-08-14",190
"134","2007-08-15",190
"135","2007-08-16",190
"136","2007-08-17",190
"137","2007-08-20",190
"138","2007-08-21",190
"139","2007-08-22",190
"140","2007-08-23",190
"141","2007-08-24",190
"142","2007-08-27",190
"143","2007-08-28",190
"144","2007-08-29",190
"145","2007-08-30",140
"146","2007-08-31",140
"147","2007-09-04",140
"148","2007-09-05",140
"149","2007-09-06",140
"150","2007-09-07",140
"151","2007-09-10",140
"152","2007-09-11",140
"153","2007-09-12",140
"154","2007-09-13",140
"155","2007-09-14",140
"156","2007-09-17",140
"157","2007-09-18",140
"158","2007-09-19",140
"159","2007-09-20",140
"160","2007-09-21",140
"161","2007-09-24",140
"162","2007-09-25",140
"163","2007-09-26",140
"164","2007-09-27",140
"165","2007-09-28",140
"166","2007-10-01",140
"167","2007-10-02",140
"168","2007-10-03",140
"169","2007-10-04",140
"170","2007-10-05",140
"171","2007-10-08",140
"172","2007-10-09",120
"173","2007-10-10",120
"174","2007-10-11",120
"175","2007-10-12",120
"176","2007-10-15",120
"177","2007-10-16",120
"178","2007-10-17",120
"179","2007-10-18",120
"180","2007-10-19",120
"181","2007-10-22",120
"182","2007-10-23",120
"183","2007-10-24",120
"184","2007-10-25",120
"185","2007-10-26",120
"186","2007-10-29",120
"187","2007-10-30",120
"188","2007-10-31",120
"189","2007-11-01",100
"190","2007-11-02",100
"191","2007-11-05",100
"192","2007-11-06",100
"193","2007-11-07",100
"194","2007-11-08",100
"195","2007-11-09",100
"196","2007-11-12",100
"197","2007-11-13",100
"198","2007-11-14",100
"199","2007-11-15",100
"200","2007-11-16",100
"201","2007-11-19",100
"202","2007-11-20",100
"203","2007-11-21",100
