"","date","VIRT"
"1","2015-04-16",22.18
"2","2015-04-17",22.66
"3","2015-04-20",22.959999
"4","2015-04-21",22.35
"5","2015-04-22",21.809999
"6","2015-04-23",22.6
"7","2015-04-24",22.155001
"8","2015-04-27",21.25
"9","2015-04-28",21.68
"10","2015-04-29",21.309999
"11","2015-04-30",21.389999
"12","2015-05-01",21.4
"13","2015-05-04",21.15
"14","2015-05-05",21.790001
"15","2015-05-06",22.139999
"16","2015-05-07",22.389999
"17","2015-05-08",22.299999
"18","2015-05-11",22.52
"19","2015-05-12",22.32
"20","2015-05-13",21.84
"21","2015-05-14",21.969999
"22","2015-05-15",22.25
"23","2015-05-18",22.040001
"24","2015-05-19",22.219999
"25","2015-05-20",22.290001
"26","2015-05-21",22.030001
"27","2015-05-22",22.110001
"28","2015-05-26",22.139999
"29","2015-05-27",22.41
"30","2015-05-28",22.110001
"31","2015-05-29",21.895
"32","2015-06-01",21.91
"33","2015-06-02",22.190001
"34","2015-06-03",23.120001
"35","2015-06-04",22.75
"36","2015-06-05",23.16
"37","2015-06-08",23.42
"38","2015-06-09",23.129999
"39","2015-06-10",23.469999
"40","2015-06-11",23.309999
"41","2015-06-12",23.219999
"42","2015-06-15",23.469999
"43","2015-06-16",24.219999
"44","2015-06-17",24.1
"45","2015-06-18",23.709999
"46","2015-06-19",23.17
"47","2015-06-22",23.33
"48","2015-06-23",23.16
"49","2015-06-24",23.27
"50","2015-06-25",22.82
"51","2015-06-26",22.639999
"52","2015-06-29",23.190001
"53","2015-06-30",23.48
"54","2015-07-01",23.450001
"55","2015-07-02",23.42
"56","2015-07-06",24.01
"57","2015-07-07",23.809999
"58","2015-07-08",24.290001
"59","2015-07-09",23.98
"60","2015-07-10",23.92
"61","2015-07-13",24.1
"62","2015-07-14",23.93
"63","2015-07-15",24.040001
"64","2015-07-16",24.059999
"65","2015-07-17",23.959999
"66","2015-07-20",23.700001
"67","2015-07-21",23.35
"68","2015-07-22",23.59
"69","2015-07-23",23.15
"70","2015-07-24",23.41
"71","2015-07-27",23.790001
"72","2015-07-28",23.65
"73","2015-07-29",23.75
"74","2015-07-30",23.57
"75","2015-07-31",23.5
"76","2015-08-03",23.4
"77","2015-08-04",23.26
"78","2015-08-05",20.76
"79","2015-08-06",20.23
"80","2015-08-07",20.99
"81","2015-08-10",21.16
"82","2015-08-11",20.879999
"83","2015-08-12",21.049999
"84","2015-08-13",20.74
"85","2015-08-14",21.1
"86","2015-08-17",21
"87","2015-08-18",20.9
"88","2015-08-19",21.32
"89","2015-08-20",21.1
"90","2015-08-21",20.700001
"91","2015-08-24",21.33
"92","2015-08-25",22.040001
"93","2015-08-26",22.82
"94","2015-08-27",22.959999
"95","2015-08-28",22.49
"96","2015-08-31",23.540001
"97","2015-09-01",23.690001
