"","date","SUI"
"1","2007-01-03",32.639999
"2","2007-01-04",32.240002
"3","2007-01-05",31.9
"4","2007-01-08",31.75
"5","2007-01-09",32.200001
"6","2007-01-10",31.25
"7","2007-01-11",31.5
"8","2007-01-12",31.700001
"9","2007-01-16",31.52
"10","2007-01-17",31.77
"11","2007-01-18",31.57
"12","2007-01-19",31.91
"13","2007-01-22",31.299999
"14","2007-01-23",31.52
"15","2007-01-24",31.719999
"16","2007-01-25",31.52
"17","2007-01-26",31.870001
"18","2007-01-29",31.75
"19","2007-01-30",31.889999
"20","2007-01-31",31.610001
"21","2007-02-01",31.860001
"22","2007-02-02",32.360001
"23","2007-02-05",31.700001
"24","2007-02-06",31.98
"25","2007-02-07",32.57
"26","2007-02-08",32.200001
"27","2007-02-09",31.5
"28","2007-02-12",31.280001
"29","2007-02-13",31.83
"30","2007-02-14",31.5
"31","2007-02-15",31.940001
"32","2007-02-16",32
"33","2007-02-20",32.060001
"34","2007-02-21",32.040001
"35","2007-02-22",32.150002
"36","2007-02-23",31.65
"37","2007-02-26",31.530001
"38","2007-02-27",30.77
"39","2007-02-28",30.68
"40","2007-03-01",30.27
"41","2007-03-02",29.969999
"42","2007-03-05",29.700001
"43","2007-03-06",30.5
"44","2007-03-07",30.52
"45","2007-03-08",30.65
"46","2007-03-09",30.77
"47","2007-03-12",31.030001
"48","2007-03-13",30.25
"49","2007-03-14",30.35
"50","2007-03-15",31.25
"51","2007-03-16",30.67
"52","2007-03-19",30.99
"53","2007-03-20",31.5
"54","2007-03-21",32
"55","2007-03-22",32.049999
"56","2007-03-23",31.75
"57","2007-03-26",31.6
"58","2007-03-27",31.059999
"59","2007-03-28",30.709999
"60","2007-03-29",30.700001
"61","2007-03-30",31.02
"62","2007-04-02",31.049999
"63","2007-04-03",30.959999
"64","2007-04-04",30.84
"65","2007-04-05",30.73
"66","2007-04-09",30.879999
"67","2007-04-10",31.01
"68","2007-04-11",30.290001
"69","2007-04-12",30.290001
"70","2007-04-13",30.35
"71","2007-04-16",30.629999
"72","2007-04-17",30.870001
"73","2007-04-18",30.35
"74","2007-04-19",30.040001
"75","2007-04-20",30.4
"76","2007-04-23",30.76
"77","2007-04-24",30.639999
"78","2007-04-25",30.48
"79","2007-04-26",30.32
"80","2007-04-27",30.24
"81","2007-04-30",29.76
"82","2007-05-01",29.719999
"83","2007-05-02",29.959999
"84","2007-05-03",30.030001
"85","2007-05-04",30.1
"86","2007-05-07",30.1
"87","2007-05-08",29.73
"88","2007-05-09",30.16
"89","2007-05-10",30.5
"90","2007-05-11",30.9
"91","2007-05-14",30.780001
"92","2007-05-15",30.799999
"93","2007-05-16",30.620001
"94","2007-05-17",30.26
"95","2007-05-18",30.059999
"96","2007-05-21",30.049999
"97","2007-05-22",29.940001
"98","2007-05-23",29.91
"99","2007-05-24",29.5
"100","2007-05-25",29.620001
"101","2007-05-29",30.190001
"102","2007-05-30",30.719999
"103","2007-05-31",30.950001
"104","2007-06-01",31
"105","2007-06-04",31.280001
"106","2007-06-05",30.59
"107","2007-06-06",30.469999
"108","2007-06-07",29.790001
"109","2007-06-08",30.200001
"110","2007-06-11",29.75
"111","2007-06-12",29.440001
"112","2007-06-13",29.75
"113","2007-06-14",29.459999
"114","2007-06-15",29.75
"115","2007-06-18",29.549999
"116","2007-06-19",29.68
"117","2007-06-20",29.5
"118","2007-06-21",29.360001
"119","2007-06-22",29.92
"120","2007-06-25",29.709999
"121","2007-06-26",29.65
"122","2007-06-27",29.969999
"123","2007-06-28",29.49
"124","2007-06-29",29.77
"125","2007-07-02",30.75
"126","2007-07-03",30.799999
"127","2007-07-05",30.950001
"128","2007-07-06",31.25
"129","2007-07-09",30.950001
"130","2007-07-10",30.66
"131","2007-07-11",29.85
"132","2007-07-12",29.93
"133","2007-07-13",30.040001
"134","2007-07-16",29.83
"135","2007-07-17",29.709999
"136","2007-07-18",29.809999
"137","2007-07-19",29.950001
"138","2007-07-20",29.440001
"139","2007-07-23",29.17
"140","2007-07-24",28.93
"141","2007-07-25",28.84
"142","2007-07-26",28.360001
"143","2007-07-27",27.59
"144","2007-07-30",27.389999
"145","2007-07-31",27.219999
"146","2007-08-01",27.58
"147","2007-08-02",27.85
"148","2007-08-03",26.83
"149","2007-08-06",26.790001
"150","2007-08-07",26.959999
"151","2007-08-08",28.040001
"152","2007-08-09",27.549999
"153","2007-08-10",27.139999
"154","2007-08-13",27.25
"155","2007-08-14",26.85
"156","2007-08-15",26.379999
"157","2007-08-16",26.9
"158","2007-08-17",27.68
"159","2007-08-20",27.950001
"160","2007-08-21",27.780001
"161","2007-08-22",27.870001
"162","2007-08-23",28.370001
"163","2007-08-24",28.629999
"164","2007-08-27",28.18
"165","2007-08-28",27.530001
"166","2007-08-29",28
"167","2007-08-30",28
"168","2007-08-31",28.51
"169","2007-09-04",28.43
"170","2007-09-05",27.73
"171","2007-09-06",27.5
"172","2007-09-07",27.59
"173","2007-09-10",27.58
"174","2007-09-11",28.129999
"175","2007-09-12",27.940001
"176","2007-09-13",28.83
"177","2007-09-14",28.809999
"178","2007-09-17",28.66
"179","2007-09-18",29.67
"180","2007-09-19",29.959999
"181","2007-09-20",29.24
"182","2007-09-21",29.780001
"183","2007-09-24",29.790001
"184","2007-09-25",29.469999
"185","2007-09-26",29.959999
"186","2007-09-27",30.549999
"187","2007-09-28",30.08
"188","2007-10-01",30.5
"189","2007-10-02",30.379999
"190","2007-10-03",30.16
"191","2007-10-04",30.48
"192","2007-10-05",31.389999
"193","2007-10-08",31.389999
"194","2007-10-09",31.65
"195","2007-10-10",31.18
"196","2007-10-11",31.5
"197","2007-10-12",31
"198","2007-10-15",30.52
"199","2007-10-16",30.35
"200","2007-10-17",30.5
"201","2007-10-18",30.41
"202","2007-10-19",29.780001
"203","2007-10-22",29.57
"204","2007-10-23",29.799999
"205","2007-10-24",29.870001
"206","2007-10-25",30.17
"207","2007-10-26",30.440001
"208","2007-10-29",30.110001
"209","2007-10-30",30.15
"210","2007-10-31",30.5
"211","2007-11-01",30.129999
"212","2007-11-02",29
"213","2007-11-05",28.209999
"214","2007-11-06",28.68
"215","2007-11-07",28.26
"216","2007-11-08",27.35
"217","2007-11-09",25.9
"218","2007-11-12",25.299999
"219","2007-11-13",26.48
"220","2007-11-14",26.41
"221","2007-11-15",26.059999
