"","date","CIM"
"1","2007-11-29",74.25
"2","2007-11-30",77.550003
"3","2007-12-03",76.550003
"4","2007-12-04",75.800003
"5","2007-12-05",76.150002
"6","2007-12-06",76.5
"7","2007-12-07",76.25
"8","2007-12-10",76.5
"9","2007-12-11",76.5
"10","2007-12-12",76.099998
"11","2007-12-13",76.300003
"12","2007-12-14",76.25
"13","2007-12-17",76.25
"14","2007-12-18",79
"15","2007-12-19",84.199997
"16","2007-12-20",86.25
"17","2007-12-21",86.199997
"18","2007-12-24",88.550003
"19","2007-12-26",87.5
"20","2007-12-27",85.599998
"21","2007-12-28",87.25
"22","2007-12-31",89.400002
"23","2008-01-02",88.599998
"24","2008-01-03",88.949997
"25","2008-01-04",85.400002
"26","2008-01-07",88.300003
"27","2008-01-08",86.800003
"28","2008-01-09",87.75
"29","2008-01-10",87
"30","2008-01-11",86.150002
"31","2008-01-14",87.550003
"32","2008-01-15",87.5
"33","2008-01-16",89.650002
"34","2008-01-17",91.25
"35","2008-01-18",91.349998
"36","2008-01-22",97.949997
"37","2008-01-23",95.5
"38","2008-01-24",94.900002
"39","2008-01-25",94.849998
"40","2008-01-28",95.800003
"41","2008-01-29",95
"42","2008-01-30",95.25
"43","2008-01-31",94.75
"44","2008-02-01",94.849998
"45","2008-02-04",94.900002
"46","2008-02-05",93.800003
"47","2008-02-06",94.099998
"48","2008-02-07",95.400002
"49","2008-02-08",95
"50","2008-02-11",94
"51","2008-02-12",93.050003
"52","2008-02-13",95
"53","2008-02-14",94.150002
"54","2008-02-15",92.949997
"55","2008-02-19",93
"56","2008-02-20",95.099998
"57","2008-02-21",92.300003
"58","2008-02-22",92.5
"59","2008-02-25",91.25
"60","2008-02-26",90
"61","2008-02-27",88.25
"62","2008-02-28",86.349998
"63","2008-02-29",82.849998
"64","2008-03-03",78.099998
"65","2008-03-04",80.949997
"66","2008-03-05",80.050003
"67","2008-03-06",68.349998
"68","2008-03-07",69.650002
"69","2008-03-10",63.900002
"70","2008-03-11",66.699997
"71","2008-03-12",65.25
"72","2008-03-13",65.400002
"73","2008-03-14",64.400002
"74","2008-03-17",60
"75","2008-03-18",63.349998
"76","2008-03-19",64
"77","2008-03-20",67.099998
"78","2008-03-24",67.25
"79","2008-03-25",66.400002
"80","2008-03-26",64.050003
"81","2008-03-27",63.25
