"","date","NJR"
"1","2007-01-03",16.106667
"2","2007-01-04",16.183332
"3","2007-01-05",15.773334
"4","2007-01-08",15.606667
"5","2007-01-09",15.676666
"6","2007-01-10",15.526667
"7","2007-01-11",15.783334
"8","2007-01-12",15.82
"9","2007-01-16",15.81
"10","2007-01-17",15.723333
"11","2007-01-18",15.643333
"12","2007-01-19",15.763333
"13","2007-01-22",15.74
"14","2007-01-23",15.846666
"15","2007-01-24",15.97
"16","2007-01-25",15.553333
"17","2007-01-26",15.61
"18","2007-01-29",15.64
"19","2007-01-30",15.623333
"20","2007-01-31",15.533334
"21","2007-02-01",15.673333
"22","2007-02-02",15.62
"23","2007-02-05",15.783334
"24","2007-02-06",15.726666
"25","2007-02-07",16.026667
"26","2007-02-08",16.016666
"27","2007-02-09",16.103333
"28","2007-02-12",15.98
"29","2007-02-13",16.163334
"30","2007-02-14",16.313334
"31","2007-02-15",16.426666
"32","2007-02-16",16.51
"33","2007-02-20",16.763334
"34","2007-02-21",16.790001
"35","2007-02-22",16.906666
"36","2007-02-23",16.85
"37","2007-02-26",16.85
"38","2007-02-27",16.516666
"39","2007-02-28",16.463333
"40","2007-03-01",16.549999
"41","2007-03-02",16.373333
"42","2007-03-05",16.066668
"43","2007-03-06",16.496666
"44","2007-03-07",16.453333
"45","2007-03-08",16.413334
"46","2007-03-09",16.49
"47","2007-03-12",16.703333
"48","2007-03-13",16.280001
"49","2007-03-14",16.373333
"50","2007-03-15",16.530001
"51","2007-03-16",16.26
"52","2007-03-19",16.363333
"53","2007-03-20",16.466667
"54","2007-03-21",16.566668
"55","2007-03-22",16.566668
"56","2007-03-23",16.566668
"57","2007-03-26",16.633333
"58","2007-03-27",16.683332
"59","2007-03-28",16.67
"60","2007-03-29",16.733334
"61","2007-03-30",16.683332
"62","2007-04-02",16.746666
"63","2007-04-03",16.860001
"64","2007-04-04",16.809999
"65","2007-04-05",16.766666
"66","2007-04-09",16.823334
"67","2007-04-10",17
"68","2007-04-11",16.809999
