"","date","DYAI"
"1","2008-01-16",0.8
"2","2008-01-17",0.5
"3","2008-01-18",0.5
"4","2008-01-22",0.4
"5","2008-01-23",0.4
"6","2008-01-24",0.43
"7","2008-01-25",0.44
"8","2008-01-28",0.45
"9","2008-01-29",0.45
"10","2008-01-30",0.45
"11","2008-01-31",0.4
"12","2008-02-01",0.39
"13","2008-02-04",0.4
"14","2008-02-05",0.41
"15","2008-02-06",0.4
"16","2008-02-07",0.3
"17","2008-02-08",0.27
"18","2008-02-11",0.28
"19","2008-02-12",0.28
"20","2008-02-13",0.25
"21","2008-02-14",0.21
"22","2008-02-15",0.25
"23","2008-02-19",0.25
"24","2008-02-20",0.27
"25","2008-02-21",0.34
"26","2008-02-22",0.35
"27","2008-02-25",0.35
"28","2008-02-26",0.4
"29","2008-02-27",0.3
"30","2008-02-28",0.3
"31","2008-02-29",0.28
"32","2008-03-03",0.28
"33","2008-03-04",0.33
"34","2008-03-05",0.4
"35","2008-03-06",0.4
"36","2008-03-07",0.37
"37","2008-03-10",0.3
"38","2008-03-11",0.27
"39","2008-03-12",0.25
"40","2008-03-13",0.3
"41","2008-03-14",0.25
"42","2008-03-17",0.3
"43","2008-03-18",0.3
"44","2008-03-19",0.38
"45","2008-03-20",0.25
"46","2008-03-24",0.3
"47","2008-03-25",0.3
"48","2008-03-26",0.25
"49","2008-03-27",0.3
"50","2008-03-28",0.26
"51","2008-03-31",0.26
"52","2008-04-01",0.25
"53","2008-04-02",0.27
"54","2008-04-03",0.26
"55","2008-04-04",0.25
"56","2008-04-07",0.26
"57","2008-04-08",0.26
"58","2008-04-09",0.36
"59","2008-04-10",0.29
"60","2008-04-11",0.4
"61","2008-04-14",0.39
"62","2008-04-15",0.38
"63","2008-04-16",0.35
"64","2008-04-17",0.3
"65","2008-04-18",0.3
"66","2008-04-21",0.35
"67","2008-04-22",0.35
"68","2008-04-23",0.3
"69","2008-04-24",0.3
"70","2008-04-25",0.31
"71","2008-04-28",0.37
"72","2008-04-29",0.75
"73","2008-04-30",0.75
"74","2008-05-01",0.6
"75","2008-05-02",0.65
"76","2008-05-05",0.55
"77","2008-05-06",0.45
"78","2008-05-07",0.75
"79","2008-05-08",0.4
"80","2008-05-09",0.4
"81","2008-05-12",0.69
"82","2008-05-13",0.75
"83","2008-05-14",0.75
"84","2008-05-15",0.45
"85","2008-05-16",0.55
"86","2008-05-19",0.7
"87","2008-05-20",0.7
"88","2008-05-21",0.7
"89","2008-05-22",0.45
"90","2008-05-23",0.63
"91","2008-05-27",0.55
"92","2008-05-28",0.68
"93","2008-05-29",0.65
"94","2008-05-30",0.65
"95","2008-06-02",0.67
"96","2008-06-03",0.7
"97","2008-06-04",0.75
"98","2008-06-05",0.8
"99","2008-06-06",0.67
"100","2008-06-09",0.65
"101","2008-06-10",0.6
"102","2008-06-11",0.6
"103","2008-06-12",0.57
"104","2008-06-13",0.55
"105","2008-06-16",0.95
