"","date","MCHX"
"1","2007-01-03",12.79
"2","2007-01-04",12.72
"3","2007-01-05",12.51
"4","2007-01-08",12.28
"5","2007-01-09",12
"6","2007-01-10",11.8
"7","2007-01-11",12.06
"8","2007-01-12",12.41
"9","2007-01-16",11.7
"10","2007-01-17",11.33
"11","2007-01-18",11.35
"12","2007-01-19",11.35
"13","2007-01-22",11.11
"14","2007-01-23",11.25
"15","2007-01-24",12.35
"16","2007-01-25",11.8
"17","2007-01-26",12
"18","2007-01-29",12.25
"19","2007-01-30",12.46
"20","2007-01-31",12.17
"21","2007-02-01",12.02
"22","2007-02-02",12.5
"23","2007-02-05",12.41
"24","2007-02-06",12.77
"25","2007-02-07",13.23
"26","2007-02-08",13.41
"27","2007-02-09",13.32
"28","2007-02-12",13.54
"29","2007-02-13",13.56
"30","2007-02-14",13.89
"31","2007-02-15",13.75
"32","2007-02-16",13.55
"33","2007-02-20",13.66
"34","2007-02-21",13.8
"35","2007-02-22",14.39
"36","2007-02-23",13.56
"37","2007-02-26",13.86
"38","2007-02-27",13.32
"39","2007-02-28",13.48
"40","2007-03-01",12.97
"41","2007-03-02",13.41
"42","2007-03-05",13.34
"43","2007-03-06",13.55
"44","2007-03-07",13.65
"45","2007-03-08",14.4
"46","2007-03-09",14.27
"47","2007-03-12",14.16
"48","2007-03-13",13.83
"49","2007-03-14",14.02
"50","2007-03-15",14.02
"51","2007-03-16",14.07
"52","2007-03-19",13.87
"53","2007-03-20",14.13
"54","2007-03-21",15.18
"55","2007-03-22",15.05
"56","2007-03-23",15.12
"57","2007-03-26",15.42
"58","2007-03-27",15.56
"59","2007-03-28",15.5
"60","2007-03-29",14.99
"61","2007-03-30",15.32
"62","2007-04-02",15.24
"63","2007-04-03",15.21
"64","2007-04-04",15.16
"65","2007-04-05",15.23
"66","2007-04-09",15.08
"67","2007-04-10",15.1
"68","2007-04-11",15.1
"69","2007-04-12",15.25
"70","2007-04-13",15.14
"71","2007-04-16",15.65
"72","2007-04-17",15.7
"73","2007-04-18",14.38
"74","2007-04-19",13.81
"75","2007-04-20",13.6
"76","2007-04-23",13.44
"77","2007-04-24",13.5
"78","2007-04-25",13.85
"79","2007-04-26",13.63
"80","2007-04-27",13.31
"81","2007-04-30",12.79
"82","2007-05-01",12.94
"83","2007-05-02",12.83
"84","2007-05-03",13.16
"85","2007-05-04",13.28
"86","2007-05-07",13.25
"87","2007-05-08",13.34
"88","2007-05-09",13.01
"89","2007-05-10",12.9
"90","2007-05-11",13.45
"91","2007-05-14",12.94
"92","2007-05-15",12.87
"93","2007-05-16",12.98
"94","2007-05-17",12.66
"95","2007-05-18",13.44
"96","2007-05-21",13.41
"97","2007-05-22",14.4
"98","2007-05-23",15.54
"99","2007-05-24",15.73
"100","2007-05-25",15.51
"101","2007-05-29",15.91
"102","2007-05-30",15.93
"103","2007-05-31",15.49
"104","2007-06-01",15.26
