"","date","LACQU"
"1","2017-12-01",9.96
"2","2017-12-04",9.93
"3","2017-12-05",9.91
"4","2017-12-06",9.9
"5","2017-12-07",9.881
"6","2017-12-08",9.88
"7","2017-12-11",9.88
"8","2017-12-12",9.88
"9","2017-12-13",9.91
"10","2017-12-14",9.91
"11","2017-12-15",9.9
"12","2017-12-18",9.9
"13","2017-12-19",9.9
"14","2017-12-20",9.95
"15","2017-12-21",9.91
"16","2017-12-22",9.91
"17","2017-12-26",9.91
"18","2017-12-27",9.91
"19","2017-12-28",9.91
"20","2017-12-29",9.91
"21","2018-01-02",9.91
"22","2018-01-03",9.95
"23","2018-01-04",9.927
"24","2018-01-05",9.97
"25","2018-01-08",9.97
"26","2018-01-09",9.97
"27","2018-01-10",9.98
"28","2018-01-11",9.93
"29","2018-01-12",9.93
"30","2018-01-16",9.93
"31","2018-01-17",10
"32","2018-01-18",10
"33","2018-01-19",9.99
"34","2018-01-22",9.95
"35","2018-01-23",9.95
"36","2018-01-24",9.95
"37","2018-01-25",9.94
"38","2018-01-26",9.94
"39","2018-01-29",9.97
"40","2018-01-30",9.97
"41","2018-01-31",9.95
"42","2018-02-01",9.96
"43","2018-02-02",9.96
"44","2018-02-05",9.96
"45","2018-02-06",9.97
"46","2018-02-07",9.97
"47","2018-02-08",9.97
"48","2018-02-09",9.97
"49","2018-02-12",9.97
"50","2018-02-13",9.97
"51","2018-02-14",9.97
"52","2018-02-15",9.95
"53","2018-02-16",9.95
"54","2018-02-20",9.95
"55","2018-02-21",9.95
"56","2018-02-22",9.95
"57","2018-02-23",9.966
"58","2018-02-26",9.966
"59","2018-02-27",9.966
"60","2018-02-28",9.966
"61","2018-03-01",9.95
"62","2018-03-02",9.9
"63","2018-03-05",9.9
"64","2018-03-06",9.9
"65","2018-03-07",9.9
"66","2018-03-08",9.89
"67","2018-03-09",9.9
"68","2018-03-12",9.9
"69","2018-03-13",9.9
"70","2018-03-14",9.9
"71","2018-03-15",9.9
"72","2018-03-16",9.9
"73","2018-03-19",9.897
"74","2018-03-20",9.897
"75","2018-03-21",9.897
"76","2018-03-22",9.88
"77","2018-03-23",9.88
"78","2018-03-26",9.88
"79","2018-03-27",9.95
"80","2018-03-28",9.935
"81","2018-03-29",9.897
"82","2018-04-02",9.93
"83","2018-04-03",9.93
"84","2018-04-04",9.9
"85","2018-04-05",9.96
"86","2018-04-06",9.94
"87","2018-04-09",9.94
"88","2018-04-10",9.94
"89","2018-04-11",9.94
"90","2018-04-12",9.94
"91","2018-04-13",9.94
"92","2018-04-16",9.94
"93","2018-04-17",9.91
"94","2018-04-18",9.91
"95","2018-04-19",9.87
"96","2018-04-20",9.89
"97","2018-04-23",9.89
"98","2018-04-24",9.88
"99","2018-04-25",9.88
"100","2018-04-26",9.91
"101","2018-04-27",9.91
"102","2018-04-30",9.9
"103","2018-05-01",9.9
"104","2018-05-02",9.9
"105","2018-05-03",9.89
"106","2018-05-04",9.89
"107","2018-05-07",9.89
"108","2018-05-08",9.9
"109","2018-05-09",9.91
"110","2018-05-10",9.95
"111","2018-05-11",9.98
"112","2018-05-14",9.95
"113","2018-05-15",9.95
"114","2018-05-16",9.95
"115","2018-05-17",9.95
"116","2018-05-18",9.95
"117","2018-05-21",10.01
"118","2018-05-22",10.01
"119","2018-05-23",10.01
"120","2018-05-24",10
"121","2018-05-25",10
"122","2018-05-29",10
"123","2018-05-30",10
"124","2018-05-31",10
"125","2018-06-01",10
"126","2018-06-04",9.976
"127","2018-06-05",9.976
"128","2018-06-06",9.976
"129","2018-06-07",9.976
"130","2018-06-08",10.014
"131","2018-06-11",10.014
"132","2018-06-12",10.02
"133","2018-06-13",10.03
"134","2018-06-14",10.035
"135","2018-06-15",10.035
"136","2018-06-18",10.03
"137","2018-06-19",10.07
"138","2018-06-20",10.03
