"","date","GNFT"
"1","2019-03-27",22.17
"2","2019-03-28",23.09
"3","2019-03-29",24
"4","2019-04-01",24.110001
"5","2019-04-02",23.809999
"6","2019-04-03",23.700001
"7","2019-04-04",23.620001
"8","2019-04-05",23.940001
"9","2019-04-08",25.65
"10","2019-04-09",25.309999
"11","2019-04-10",25.32
"12","2019-04-11",24.9
"13","2019-04-12",24.799999
"14","2019-04-15",25.219999
"15","2019-04-16",25
"16","2019-04-17",24.860001
"17","2019-04-18",24.98
"18","2019-04-22",25.120001
"19","2019-04-23",25.469999
"20","2019-04-24",25.6
"21","2019-04-25",25.02
"22","2019-04-26",25.200001
"23","2019-04-29",24.950001
"24","2019-04-30",25.08
"25","2019-05-01",24.9
"26","2019-05-02",23.790001
"27","2019-05-03",23.65
"28","2019-05-06",24.469999
"29","2019-05-07",24.299999
"30","2019-05-08",23.92
"31","2019-05-09",23.41
"32","2019-05-10",23.540001
"33","2019-05-13",22.469999
"34","2019-05-14",23.049999
"35","2019-05-15",23.1
"36","2019-05-16",23.870001
"37","2019-05-17",23.549999
"38","2019-05-20",23.34
"39","2019-05-21",23.6
"40","2019-05-22",23.9
"41","2019-05-23",23.559999
"42","2019-05-24",24.1
"43","2019-05-28",23.940001
"44","2019-05-29",23.879999
"45","2019-05-30",23.91
"46","2019-05-31",23.9
"47","2019-06-03",24.09
"48","2019-06-04",24.34
"49","2019-06-05",24.219999
"50","2019-06-06",24.190001
"51","2019-06-07",24.01
"52","2019-06-10",23.870001
"53","2019-06-11",20.58
"54","2019-06-12",21.059999
"55","2019-06-13",21.530001
"56","2019-06-14",20.58
"57","2019-06-17",20.370001
"58","2019-06-18",20.24
"59","2019-06-19",20.450001
"60","2019-06-20",20.139999
"61","2019-06-21",20.200001
"62","2019-06-24",20.219999
"63","2019-06-25",19.950001
"64","2019-06-26",19.74
"65","2019-06-27",19.98
"66","2019-06-28",19.75
"67","2019-07-01",19.91
"68","2019-07-02",19.790001
"69","2019-07-03",19.940001
"70","2019-07-05",19.34
"71","2019-07-08",18.690001
"72","2019-07-09",18.870001
"73","2019-07-10",19.049999
"74","2019-07-11",18.780001
"75","2019-07-12",18.709999
"76","2019-07-15",18.700001
"77","2019-07-16",18.85
"78","2019-07-17",18.76
"79","2019-07-18",19.110001
"80","2019-07-19",18.34
"81","2019-07-22",18.200001
"82","2019-07-23",17.870001
"83","2019-07-24",17.6
"84","2019-07-25",17.59
"85","2019-07-26",17.58
"86","2019-07-29",17.969999
"87","2019-07-30",17.610001
"88","2019-07-31",17.52
"89","2019-08-01",17.42
"90","2019-08-02",17.200001
"91","2019-08-05",16.299999
"92","2019-08-06",16.43
"93","2019-08-07",16.450001
"94","2019-08-08",17.07
"95","2019-08-09",16.52
"96","2019-08-12",16.040001
"97","2019-08-13",16.49
"98","2019-08-14",15.64
"99","2019-08-15",14.92
"100","2019-08-16",15.79
"101","2019-08-19",16.84
"102","2019-08-20",16.280001
"103","2019-08-21",17.200001
"104","2019-08-22",17
"105","2019-08-23",16.690001
"106","2019-08-26",17.110001
"107","2019-08-27",17.290001
"108","2019-08-28",17.75
"109","2019-08-29",17.75
"110","2019-08-30",17.299999
"111","2019-09-03",16.42
"112","2019-09-04",17.280001
"113","2019-09-05",17.5
"114","2019-09-06",16.959999
"115","2019-09-09",17.09
"116","2019-09-10",16.67
"117","2019-09-11",17.27
"118","2019-09-12",17.26
"119","2019-09-13",17.209999
"120","2019-09-16",17.969999
"121","2019-09-17",17.459999
"122","2019-09-18",17.459999
"123","2019-09-19",17.98
"124","2019-09-20",17.549999
"125","2019-09-23",17.4
"126","2019-09-24",17.209999
"127","2019-09-25",16.5
"128","2019-09-26",16.030001
"129","2019-09-27",15.99
"130","2019-09-30",17.41
"131","2019-10-01",15.25
"132","2019-10-02",14.44
"133","2019-10-03",14.79
"134","2019-10-04",14.45
"135","2019-10-07",13.6
"136","2019-10-08",13.55
"137","2019-10-09",14
"138","2019-10-10",13.67
"139","2019-10-11",14
"140","2019-10-14",14.55
"141","2019-10-15",14.41
"142","2019-10-16",14.96
"143","2019-10-17",14.8
"144","2019-10-18",14.92
"145","2019-10-21",14.21
"146","2019-10-22",14.5
"147","2019-10-23",14.5
"148","2019-10-24",14.78
"149","2019-10-25",15.17
"150","2019-10-28",15.51
"151","2019-10-29",14.65
"152","2019-10-30",14.5
"153","2019-10-31",14.25
"154","2019-11-01",13.75
"155","2019-11-04",14.6
"156","2019-11-05",14.43
"157","2019-11-06",14.51
"158","2019-11-07",14.61
"159","2019-11-08",15.53
"160","2019-11-11",16.66
"161","2019-11-12",16.02
"162","2019-11-13",15.44
"163","2019-11-14",15.31
"164","2019-11-15",15.01
"165","2019-11-18",15.32
"166","2019-11-19",15.45
"167","2019-11-20",15.47
"168","2019-11-21",15.19
"169","2019-11-22",15.23
"170","2019-11-25",15.3
"171","2019-11-26",15.9
"172","2019-11-27",15.61
"173","2019-11-29",15.55
"174","2019-12-02",15.415
"175","2019-12-03",16.030001
"176","2019-12-04",15.7
"177","2019-12-05",15.65
"178","2019-12-06",15.75
"179","2019-12-09",15.42
"180","2019-12-10",16
"181","2019-12-11",15.64
"182","2019-12-12",16.5
"183","2019-12-13",16.6
"184","2019-12-16",17.15
"185","2019-12-17",17
"186","2019-12-18",16.790001
"187","2019-12-19",18.25
"188","2019-12-20",18
"189","2019-12-23",18.200001
"190","2019-12-24",18.85
"191","2019-12-26",18.9
"192","2019-12-27",20.139999
"193","2019-12-30",19.99
"194","2019-12-31",19.9
"195","2020-01-02",20.66
"196","2020-01-03",20.5
"197","2020-01-06",20.16
"198","2020-01-07",20
"199","2020-01-08",19.549999
"200","2020-01-09",19.74
"201","2020-01-10",20.74
"202","2020-01-13",20.5
"203","2020-01-14",20.76
"204","2020-01-15",20.49
"205","2020-01-16",20.530001
"206","2020-01-17",20.42
"207","2020-01-21",20.52
"208","2020-01-22",20.18
"209","2020-01-23",19.4
"210","2020-01-24",19.280001
"211","2020-01-27",18.09
"212","2020-01-28",17.719999
"213","2020-01-29",18.09
"214","2020-01-30",17.690001
"215","2020-01-31",17.01
"216","2020-02-03",17.52
"217","2020-02-04",17.66
"218","2020-02-05",17.5
"219","2020-02-06",17.93
"220","2020-02-07",17
"221","2020-02-10",17.1
"222","2020-02-11",17.73
"223","2020-02-12",18
"224","2020-02-13",18.209999
"225","2020-02-14",18.34
"226","2020-02-18",17.59
"227","2020-02-19",18.01
"228","2020-02-20",17.9
"229","2020-02-21",17.860001
"230","2020-02-24",16.85
"231","2020-02-25",15.63
"232","2020-02-26",15.74
"233","2020-02-27",15.74
"234","2020-02-28",15.32
"235","2020-03-02",15.92
"236","2020-03-03",16.610001
"237","2020-03-04",16.700001
"238","2020-03-05",16.139999
"239","2020-03-06",15.62
"240","2020-03-09",14.61
"241","2020-03-10",15.05
"242","2020-03-11",14.23
"243","2020-03-12",12.4
"244","2020-03-13",12.95
"245","2020-03-16",10.95
"246","2020-03-17",11.2
"247","2020-03-18",13.5
"248","2020-03-19",14.05
"249","2020-03-20",13.63
"250","2020-03-23",15.21
"251","2020-03-24",13.64
"252","2020-03-25",14.46
"253","2020-03-26",14.53
