"","date","SPLP"
"1","2012-04-10",11.9
"2","2012-04-11",11.9
"3","2012-04-12",12.1
"4","2012-04-13",12
"5","2012-04-16",12.04
"6","2012-04-17",12.35
"7","2012-04-18",13.4
"8","2012-04-19",12.91
"9","2012-04-20",12.7
"10","2012-04-23",12.8
"11","2012-04-24",12.6
"12","2012-04-25",12.6
"13","2012-04-26",12.55
"14","2012-04-27",12.52
"15","2012-04-30",12.48
"16","2012-05-01",12.52
"17","2012-05-02",12.25
"18","2012-05-03",12.25
"19","2012-05-04",12.25
"20","2012-05-07",12.1
"21","2012-05-08",12.15
"22","2012-05-09",12.15
"23","2012-05-10",12.1
"24","2012-05-11",12.2
"25","2012-05-14",12.17
"26","2012-05-15",12.2
"27","2012-05-16",12.24
"28","2012-05-17",12.22
"29","2012-05-18",12.2
"30","2012-05-21",12.25
"31","2012-05-22",12.25
"32","2012-05-23",12.22
"33","2012-05-24",12.2
"34","2012-05-25",12.15
"35","2012-05-29",12.16
"36","2012-05-30",12.17
"37","2012-05-31",12.15
"38","2012-06-01",12.15
"39","2012-06-04",12
"40","2012-06-05",12.05
"41","2012-06-06",12.1
"42","2012-06-07",12.05
"43","2012-06-08",12.1
"44","2012-06-11",12.05
"45","2012-06-12",12.05
"46","2012-06-13",12
"47","2012-06-14",12
"48","2012-06-15",12.2
"49","2012-06-18",11.95
"50","2012-06-19",12
"51","2012-06-20",11.96
"52","2012-06-21",12
"53","2012-06-22",11.92
"54","2012-06-25",11.93
"55","2012-06-26",11.8
"56","2012-06-27",11.75
"57","2012-06-28",11.5
"58","2012-06-29",10.9
"59","2012-07-02",10.9
"60","2012-07-03",11.11
"61","2012-07-05",10.96
"62","2012-07-06",11.05
"63","2012-07-09",10.96
"64","2012-07-10",10.96
"65","2012-07-11",10.95
"66","2012-07-12",10.8
"67","2012-07-13",10.8
"68","2012-07-16",10.8
"69","2012-07-17",10.88
"70","2012-07-18",10.85
"71","2012-07-19",10.89
"72","2012-07-20",10.9
"73","2012-07-23",10.9
"74","2012-07-24",11
"75","2012-07-25",10.85
"76","2012-07-26",10.58
"77","2012-07-27",10.47
"78","2012-07-30",10.5
"79","2012-07-31",10.43
"80","2012-08-01",10.22
"81","2012-08-02",10.25
"82","2012-08-03",10.3
"83","2012-08-06",10.35
"84","2012-08-07",10.5
"85","2012-08-08",10.5
"86","2012-08-09",10.5
"87","2012-08-10",10.5
"88","2012-08-13",10.52
"89","2012-08-14",10.55
"90","2012-08-15",10.5
"91","2012-08-16",10.6
"92","2012-08-17",10.7
"93","2012-08-20",10.85
"94","2012-08-21",10.9
"95","2012-08-22",10.95
"96","2012-08-23",10.95
"97","2012-08-24",10.89
"98","2012-08-27",10.99
"99","2012-08-28",10.94
"100","2012-08-29",10.94
"101","2012-08-30",10.95
"102","2012-08-31",10.88
"103","2012-09-04",10.98
"104","2012-09-05",10.99
"105","2012-09-06",10.93
"106","2012-09-07",10.98
"107","2012-09-10",10.99
"108","2012-09-11",11.02
"109","2012-09-12",11.1
"110","2012-09-13",11
"111","2012-09-14",11.01
"112","2012-09-17",11.01
"113","2012-09-18",11.05
"114","2012-09-19",11.09
"115","2012-09-20",11
"116","2012-09-21",11.06
"117","2012-09-24",11.05
"118","2012-09-25",11.13
"119","2012-09-26",11.15
"120","2012-09-27",11.5
"121","2012-09-28",11.57
"122","2012-10-01",11.69
"123","2012-10-02",11.59
"124","2012-10-03",11.65
"125","2012-10-04",11.56
"126","2012-10-05",11.49
"127","2012-10-08",11.5
"128","2012-10-09",11.3
"129","2012-10-10",11.3
"130","2012-10-11",11.5
"131","2012-10-12",11.98
"132","2012-10-15",11.87
"133","2012-10-16",11.9
"134","2012-10-17",11.9
"135","2012-10-18",11.9
"136","2012-10-19",11.9
"137","2012-10-22",11.48
"138","2012-10-23",11.24
"139","2012-10-24",11.38
"140","2012-10-25",11.33
"141","2012-10-26",11.54
"142","2012-10-31",11.68
"143","2012-11-01",11.92
"144","2012-11-02",12
"145","2012-11-05",11.85
"146","2012-11-06",11.78
"147","2012-11-07",11.71
"148","2012-11-08",11.84
"149","2012-11-09",11.79
"150","2012-11-12",11.93
"151","2012-11-13",11.9
"152","2012-11-14",11.82
"153","2012-11-15",11.76
"154","2012-11-16",11.86
"155","2012-11-19",12
"156","2012-11-20",11.99
"157","2012-11-21",11.97
"158","2012-11-23",12
"159","2012-11-26",11.91
"160","2012-11-27",12
"161","2012-11-28",12
"162","2012-11-29",12.04
"163","2012-11-30",12.05
"164","2012-12-03",12.1
"165","2012-12-04",12.11
"166","2012-12-05",12.1
"167","2012-12-06",12.12
"168","2012-12-07",12.13
"169","2012-12-10",12.23
"170","2012-12-11",12.31
"171","2012-12-12",12.25
"172","2012-12-13",12.17
"173","2012-12-14",12.25
"174","2012-12-17",12.21
"175","2012-12-18",12.21
"176","2012-12-19",12.21
"177","2012-12-20",12.25
"178","2012-12-21",12.24
"179","2012-12-24",12.39
"180","2012-12-26",12.39
"181","2012-12-27",12.39
"182","2012-12-28",12.36
"183","2012-12-31",11.79
"184","2013-01-02",11.7
"185","2013-01-03",11.51
"186","2013-01-04",11.8
"187","2013-01-07",12
"188","2013-01-08",12
"189","2013-01-09",11.83
"190","2013-01-10",12.04
"191","2013-01-11",12.12
"192","2013-01-14",12.11
"193","2013-01-15",12.06
"194","2013-01-16",11.98
"195","2013-01-17",12
"196","2013-01-18",11.98
"197","2013-01-22",12
"198","2013-01-23",12.02
"199","2013-01-24",12.15
"200","2013-01-25",12.16
"201","2013-01-28",12.25
"202","2013-01-29",12.01
"203","2013-01-30",12.21
"204","2013-01-31",12.21
"205","2013-02-01",12.24
"206","2013-02-04",12.5
"207","2013-02-05",12.49
"208","2013-02-06",12.59
