"","date","KC"
"1","2020-05-08",23.84
"2","2020-05-11",25.969999
"3","2020-05-12",24.360001
"4","2020-05-13",24.040001
"5","2020-05-14",22.49
"6","2020-05-15",23.1
"7","2020-05-18",23.02
"8","2020-05-19",22.610001
"9","2020-05-20",20.26
"10","2020-05-21",18.5
"11","2020-05-22",17.18
"12","2020-05-26",19.58
"13","2020-05-27",18.98
"14","2020-05-28",18.5
"15","2020-05-29",20.139999
"16","2020-06-01",21.389999
"17","2020-06-02",22.860001
"18","2020-06-03",22.02
"19","2020-06-04",20.6
"20","2020-06-05",20.200001
"21","2020-06-08",20
"22","2020-06-09",20.66
"23","2020-06-10",20.65
"24","2020-06-11",20.940001
"25","2020-06-12",20.440001
"26","2020-06-15",21.540001
"27","2020-06-16",21.5
"28","2020-06-17",24.290001
"29","2020-06-18",22.700001
"30","2020-06-19",26.190001
"31","2020-06-22",26.780001
"32","2020-06-23",30.790001
"33","2020-06-24",26.67
"34","2020-06-25",28.924999
"35","2020-06-26",27.209999
"36","2020-06-29",27.709999
"37","2020-06-30",31.52
"38","2020-07-01",32.209999
"39","2020-07-02",32.240002
"40","2020-07-06",37.360001
"41","2020-07-07",35.990002
"42","2020-07-08",40.07
"43","2020-07-09",40.560001
"44","2020-07-10",36.639999
"45","2020-07-13",33.150002
"46","2020-07-14",33.009998
"47","2020-07-15",32
"48","2020-07-16",30.5
"49","2020-07-17",35.73
"50","2020-07-20",35.540001
"51","2020-07-21",35.98
"52","2020-07-22",32.299999
"53","2020-07-23",31.139999
"54","2020-07-24",31.08
"55","2020-07-27",31.879999
"56","2020-07-28",33.630001
"57","2020-07-29",35.869999
"58","2020-07-30",34.91
"59","2020-07-31",35.099998
"60","2020-08-03",39.279999
"61","2020-08-04",39.07
"62","2020-08-05",38.200001
"63","2020-08-06",38.259998
"64","2020-08-07",33.459999
"65","2020-08-10",33.009998
"66","2020-08-11",32
"67","2020-08-12",32.360001
"68","2020-08-13",32.860001
"69","2020-08-14",32.16
"70","2020-08-17",34.450001
"71","2020-08-18",31.809999
"72","2020-08-19",33.799999
"73","2020-08-20",35.349998
"74","2020-08-21",34.259998
"75","2020-08-24",33.41
"76","2020-08-25",34.080002
"77","2020-08-26",35.669998
"78","2020-08-27",35.869999
"79","2020-08-28",34.919998
"80","2020-08-31",34.48
"81","2020-09-01",35.599998
"82","2020-09-02",35.130001
"83","2020-09-03",32.84
"84","2020-09-04",33.150002
"85","2020-09-08",31.870001
"86","2020-09-09",31.84
"87","2020-09-10",31.5
"88","2020-09-11",32.119999
"89","2020-09-14",35.459999
"90","2020-09-15",36.889999
"91","2020-09-16",39.02
"92","2020-09-17",38.830002
"93","2020-09-18",38.669998
"94","2020-09-21",36.900002
"95","2020-09-22",32.290001
"96","2020-09-23",32.290001
"97","2020-09-24",29.67
"98","2020-09-25",28.57
"99","2020-09-28",29.9
"100","2020-09-29",29.15
"101","2020-09-30",29.530001
"102","2020-10-01",29.83
"103","2020-10-02",30.030001
"104","2020-10-05",30.9
"105","2020-10-06",30.059999
"106","2020-10-07",30.84
"107","2020-10-08",30.5
"108","2020-10-09",31.24
"109","2020-10-12",31.559999
"110","2020-10-13",31.35
"111","2020-10-14",30.4
"112","2020-10-15",29.700001
"113","2020-10-16",31.200001
"114","2020-10-19",31.030001
"115","2020-10-20",30.75
"116","2020-10-21",30.93
"117","2020-10-22",30.780001
"118","2020-10-23",31.15
"119","2020-10-26",30.889999
"120","2020-10-27",31.15
"121","2020-10-28",29.58
"122","2020-10-29",29.870001
"123","2020-10-30",29.049999
"124","2020-11-02",29.67
"125","2020-11-03",31.27
"126","2020-11-04",35.07
"127","2020-11-05",37.169998
"128","2020-11-06",38.650002
"129","2020-11-09",36.700001
"130","2020-11-10",34.349998
"131","2020-11-11",36.48
"132","2020-11-12",37.73
"133","2020-11-13",38.009998
"134","2020-11-16",38.400002
"135","2020-11-17",37.310001
"136","2020-11-18",34.080002
"137","2020-11-19",35.060001
"138","2020-11-20",35.77
"139","2020-11-23",36.630001
"140","2020-11-24",35.400002
"141","2020-11-25",36.759998
"142","2020-11-27",41.560001
