"","date","XONE"
"1","2013-02-07",26.52
"2","2013-02-08",30.1
"3","2013-02-11",30.07
"4","2013-02-12",27.5
"5","2013-02-13",28.01
"6","2013-02-14",27.18
"7","2013-02-15",25.440001
"8","2013-02-19",27.1
"9","2013-02-20",25.549999
"10","2013-02-21",26.280001
"11","2013-02-22",26.65
"12","2013-02-25",25.68
"13","2013-02-26",25.6
"14","2013-02-27",27.299999
"15","2013-02-28",27.190001
"16","2013-03-01",26.43
"17","2013-03-04",27.23
"18","2013-03-05",26.52
"19","2013-03-06",26.790001
"20","2013-03-07",27.59
"21","2013-03-08",28.09
"22","2013-03-11",28.51
"23","2013-03-12",27.85
"24","2013-03-13",28.15
"25","2013-03-14",30.74
"26","2013-03-15",30.809999
"27","2013-03-18",31.09
"28","2013-03-19",30.5
"29","2013-03-20",30.66
"30","2013-03-21",30.620001
"31","2013-03-22",32
"32","2013-03-25",31.98
"33","2013-03-26",31.6
"34","2013-03-27",30.6
"35","2013-03-28",33.5
"36","2013-04-01",33.529999
"37","2013-04-02",33.040001
"38","2013-04-03",31.51
"39","2013-04-04",30.85
"40","2013-04-05",30.68
"41","2013-04-08",29.77
"42","2013-04-09",31
"43","2013-04-10",35.330002
"44","2013-04-11",36.150002
"45","2013-04-12",37.16
"46","2013-04-15",34.07
"47","2013-04-16",35.099998
"48","2013-04-17",35.220001
"49","2013-04-18",34.349998
"50","2013-04-19",33.23
"51","2013-04-22",31.790001
"52","2013-04-23",33.41
"53","2013-04-24",34.439999
"54","2013-04-25",36.040001
"55","2013-04-26",35.950001
"56","2013-04-29",36.689999
"57","2013-04-30",38.400002
"58","2013-05-01",37.240002
"59","2013-05-02",37.5
"60","2013-05-03",38.330002
"61","2013-05-06",39.580002
"62","2013-05-07",40.98
"63","2013-05-08",40.439999
"64","2013-05-09",40.290001
"65","2013-05-10",42.060001
"66","2013-05-13",44.360001
"67","2013-05-14",48.599998
"68","2013-05-15",41.150002
"69","2013-05-16",37.82
"70","2013-05-17",40.599998
"71","2013-05-20",43.41
"72","2013-05-21",43.630001
"73","2013-05-22",41.41
"74","2013-05-23",44.099998
"75","2013-05-24",45
"76","2013-05-28",46.470001
"77","2013-05-29",47.209999
"78","2013-05-30",49
"79","2013-05-31",49.619999
"80","2013-06-03",44.799999
"81","2013-06-04",44.490002
"82","2013-06-05",42.91
"83","2013-06-06",47.889999
"84","2013-06-07",45.799999
"85","2013-06-10",49.389999
"86","2013-06-11",51.91
"87","2013-06-12",48.970001
"88","2013-06-13",52.009998
"89","2013-06-14",50.48
"90","2013-06-17",52.189999
"91","2013-06-18",51.48
"92","2013-06-19",49.759998
"93","2013-06-20",49.349998
"94","2013-06-21",51.139999
"95","2013-06-24",51.73
"96","2013-06-25",54
"97","2013-06-26",55.299999
"98","2013-06-27",58.970001
"99","2013-06-28",61.720001
"100","2013-07-01",63.990002
"101","2013-07-02",65.489998
"102","2013-07-03",62.200001
"103","2013-07-05",65.690002
"104","2013-07-08",70.32
"105","2013-07-09",71.25
"106","2013-07-10",68.5
"107","2013-07-11",69.480003
"108","2013-07-12",67.540001
"109","2013-07-15",64.220001
"110","2013-07-16",56.349998
"111","2013-07-17",61.830002
"112","2013-07-18",60.66
"113","2013-07-19",63.369999
"114","2013-07-22",65.669998
"115","2013-07-23",63.049999
"116","2013-07-24",61.52
"117","2013-07-25",61.349998
"118","2013-07-26",63.75
"119","2013-07-29",66.470001
"120","2013-07-30",62.43
"121","2013-07-31",61.02
"122","2013-08-01",61.810001
"123","2013-08-02",62.880001
"124","2013-08-05",64.07
"125","2013-08-06",67.980003
"126","2013-08-07",63.66
"127","2013-08-08",66.580002
"128","2013-08-09",65.699997
"129","2013-08-12",70.760002
"130","2013-08-13",75.669998
"131","2013-08-14",67.239998
"132","2013-08-15",63.490002
"133","2013-08-16",66.239998
"134","2013-08-19",68.559998
"135","2013-08-20",69.290001
"136","2013-08-21",68.239998
