"","date","TSHA"
"1","2020-09-24",24.059999
"2","2020-09-25",24.469999
"3","2020-09-28",23.690001
"4","2020-09-29",23
"5","2020-09-30",22.4
"6","2020-10-01",20.35
"7","2020-10-02",20.08
"8","2020-10-05",19.9
"9","2020-10-06",20.379999
"10","2020-10-07",20.200001
"11","2020-10-08",20.75
"12","2020-10-09",20.23
"13","2020-10-12",21.299999
"14","2020-10-13",21.25
"15","2020-10-14",21.379999
"16","2020-10-15",21.049999
"17","2020-10-16",21.799999
"18","2020-10-19",21.280001
"19","2020-10-20",20.790001
"20","2020-10-21",20.280001
"21","2020-10-22",20.549999
"22","2020-10-23",20.02
"23","2020-10-26",20.1
"24","2020-10-27",21.049999
"25","2020-10-28",19.309999
"26","2020-10-29",19.92
"27","2020-10-30",20.799999
"28","2020-11-02",21
"29","2020-11-03",21.190001
"30","2020-11-04",21.34
"31","2020-11-05",20.68
"32","2020-11-06",20.5
"33","2020-11-09",20.559999
"34","2020-11-10",20.290001
"35","2020-11-11",19.959999
"36","2020-11-12",20.1
"37","2020-11-13",20.4
"38","2020-11-16",20.49
"39","2020-11-17",20.76
"40","2020-11-18",21
"41","2020-11-19",21.5
"42","2020-11-20",21.17
"43","2020-11-23",21.77
"44","2020-11-24",21.889999
"45","2020-11-25",22.1
"46","2020-11-27",21.43
