"","date","CBRE"
"1","2007-01-03",33.650002
"2","2007-01-04",33.34
"3","2007-01-05",33.099998
"4","2007-01-08",33.220001
"5","2007-01-09",33.970001
"6","2007-01-10",34.25
"7","2007-01-11",34.939999
"8","2007-01-12",34.16
"9","2007-01-16",35.91
"10","2007-01-17",35.700001
"11","2007-01-18",35.279999
"12","2007-01-19",35.029999
"13","2007-01-22",35.400002
"14","2007-01-23",36.040001
"15","2007-01-24",37.110001
"16","2007-01-25",35.380001
"17","2007-01-26",35.630001
"18","2007-01-29",37.009998
"19","2007-01-30",36.75
"20","2007-01-31",37.610001
"21","2007-02-01",37.73
"22","2007-02-02",38.689999
"23","2007-02-05",38.419998
"24","2007-02-06",38.48
"25","2007-02-07",38.369999
"26","2007-02-08",38.43
"27","2007-02-09",36.66
"28","2007-02-12",35.509998
"29","2007-02-13",36
"30","2007-02-14",37.34
"31","2007-02-15",37.25
"32","2007-02-16",37
"33","2007-02-20",37.02
"34","2007-02-21",37.07
"35","2007-02-22",36.310001
"36","2007-02-23",36.169998
"37","2007-02-26",35.310001
"38","2007-02-27",33.470001
"39","2007-02-28",33.310001
"40","2007-03-01",33.68
"41","2007-03-02",32.560001
"42","2007-03-05",31.459999
"43","2007-03-06",32.490002
"44","2007-03-07",32.279999
"45","2007-03-08",33.610001
"46","2007-03-09",33.93
"47","2007-03-12",33.650002
"48","2007-03-13",31.969999
"49","2007-03-14",32.209999
"50","2007-03-15",32.880001
"51","2007-03-16",33.52
"52","2007-03-19",34.540001
"53","2007-03-20",34.869999
"54","2007-03-21",36.060001
"55","2007-03-22",35.669998
"56","2007-03-23",36.049999
"57","2007-03-26",35.57
"58","2007-03-27",34.73
"59","2007-03-28",34.389999
"60","2007-03-29",34.130001
"61","2007-03-30",34.18
"62","2007-04-02",34.029999
"63","2007-04-03",34.75
"64","2007-04-04",34.599998
"65","2007-04-05",34.48
"66","2007-04-09",34.09
"67","2007-04-10",33.759998
"68","2007-04-11",33.549999
"69","2007-04-12",33.91
"70","2007-04-13",33.419998
"71","2007-04-16",33.709999
"72","2007-04-17",35.68
"73","2007-04-18",36.509998
"74","2007-04-19",35.619999
"75","2007-04-20",36.189999
"76","2007-04-23",35.279999
"77","2007-04-24",35.48
"78","2007-04-25",35.68
"79","2007-04-26",35.52
"80","2007-04-27",35.34
"81","2007-04-30",33.849998
"82","2007-05-01",33.650002
