"","date","TLGT"
"1","2007-01-03",11.7
"2","2007-01-04",12
"3","2007-01-05",12
"4","2007-01-08",11.3
"5","2007-01-09",11.8
"6","2007-01-10",12.5
"7","2007-01-11",11.7
"8","2007-01-12",11.5
"9","2007-01-16",12.2
"10","2007-01-17",12
"11","2007-01-18",12
"12","2007-01-19",11.8
"13","2007-01-22",11.8
"14","2007-01-23",11.6
"15","2007-01-24",11.7
"16","2007-01-25",11.4
"17","2007-01-26",11.6
"18","2007-01-29",11.9
"19","2007-01-30",11.5
"20","2007-01-31",11.2
"21","2007-02-01",11
"22","2007-02-02",11.5
"23","2007-02-05",11.5
"24","2007-02-06",11.9
"25","2007-02-07",12
"26","2007-02-08",11.4
"27","2007-02-09",11.3
"28","2007-02-12",11
"29","2007-02-13",10.9
"30","2007-02-14",11.4
"31","2007-02-15",11.3
"32","2007-02-16",11.3
"33","2007-02-20",11
"34","2007-02-21",10.5
"35","2007-02-22",10.9
"36","2007-02-23",10.3
"37","2007-02-26",10.4
"38","2007-02-27",10.1
"39","2007-02-28",8.7
"40","2007-03-01",11.7
"41","2007-03-02",11.3
"42","2007-03-05",10
"43","2007-03-06",10.5
"44","2007-03-07",10.4
"45","2007-03-08",11
"46","2007-03-09",10.4
"47","2007-03-12",10
"48","2007-03-13",9.4
"49","2007-03-14",9.5
"50","2007-03-15",9.8
"51","2007-03-16",9.7
"52","2007-03-19",10
"53","2007-03-20",9.7
"54","2007-03-21",9.8
"55","2007-03-22",9.3
"56","2007-03-23",8.7
"57","2007-03-26",8.4
"58","2007-03-27",8.6
"59","2007-03-28",9.3
"60","2007-03-29",9
"61","2007-03-30",8.5
"62","2007-04-02",9
"63","2007-04-03",9
"64","2007-04-04",7.9
"65","2007-04-05",9
"66","2007-04-09",8.4
"67","2007-04-10",9.4
"68","2007-04-11",8.6
"69","2007-04-12",8.5
"70","2007-04-13",8.1
"71","2007-04-16",7.6
"72","2007-04-17",7.9
"73","2007-04-18",7.4
"74","2007-04-19",8
"75","2007-04-20",8.1
"76","2007-04-23",8.3
"77","2007-04-24",9
"78","2007-04-25",9
"79","2007-04-26",8.4
"80","2007-04-27",8.4
"81","2007-04-30",8.4
"82","2007-05-01",8
"83","2007-05-02",7.9
"84","2007-05-03",8.5
"85","2007-05-04",8.3
"86","2007-05-07",8.5
"87","2007-05-08",8
"88","2007-05-09",8
"89","2007-05-10",8.1
"90","2007-05-11",8
"91","2007-05-14",7.9
"92","2007-05-15",7.9
"93","2007-05-16",7.8
"94","2007-05-17",7.7
"95","2007-05-18",8
"96","2007-05-21",8
"97","2007-05-22",8
"98","2007-05-23",7.9
"99","2007-05-24",8
"100","2007-05-25",8
"101","2007-05-29",8
"102","2007-05-30",7.8
"103","2007-05-31",8
"104","2007-06-01",7.8
"105","2007-06-04",8.1
"106","2007-06-05",8
"107","2007-06-06",8
"108","2007-06-07",7.7
"109","2007-06-08",7.6
"110","2007-06-11",7.6
"111","2007-06-12",7.5
"112","2007-06-13",7.4
"113","2007-06-14",7.4
"114","2007-06-15",6.6
"115","2007-06-18",6.2
"116","2007-06-19",6.7
"117","2007-06-20",7.1
"118","2007-06-21",7
"119","2007-06-22",7
"120","2007-06-25",7.2
"121","2007-06-26",6.5
"122","2007-06-27",6.2
"123","2007-06-28",7.4
"124","2007-06-29",7.5
"125","2007-07-02",7
"126","2007-07-03",7
"127","2007-07-05",6.9
"128","2007-07-06",7.8
"129","2007-07-09",7
"130","2007-07-10",6.9
"131","2007-07-11",6.9
"132","2007-07-12",8.8
"133","2007-07-13",8.2
"134","2007-07-16",8.4
"135","2007-07-17",7.4
"136","2007-07-18",7.4
"137","2007-07-19",7.9
"138","2007-07-20",7.9
"139","2007-07-23",7.7
"140","2007-07-24",7.6
"141","2007-07-25",7.9
"142","2007-07-26",7.7
"143","2007-07-27",7.3
"144","2007-07-30",7.1
"145","2007-07-31",7.2
"146","2007-08-01",7.2
"147","2007-08-02",8
"148","2007-08-03",6.5
"149","2007-08-06",7
"150","2007-08-07",6.6
"151","2007-08-08",6.6
"152","2007-08-09",7.2
"153","2007-08-10",7
"154","2007-08-13",7
"155","2007-08-14",7.5
"156","2007-08-15",7.4
"157","2007-08-16",8
"158","2007-08-17",8.3
"159","2007-08-20",8
"160","2007-08-21",7.7
"161","2007-08-22",8.4
"162","2007-08-23",8.9
"163","2007-08-24",8.6
"164","2007-08-27",9
"165","2007-08-28",9.3
"166","2007-08-29",9
"167","2007-08-30",10.5
"168","2007-08-31",9.7
"169","2007-09-04",9.5
"170","2007-09-05",9.8
"171","2007-09-06",11
"172","2007-09-07",10.4
"173","2007-09-10",11.3
"174","2007-09-11",11.2
"175","2007-09-12",10.5
"176","2007-09-13",10.5
"177","2007-09-14",10.5
"178","2007-09-17",10.5
"179","2007-09-18",10.5
"180","2007-09-19",10.1
"181","2007-09-20",10
"182","2007-09-21",10.2
"183","2007-09-24",9.9
"184","2007-09-25",9.7
"185","2007-09-26",9.9
"186","2007-09-27",10
"187","2007-09-28",10
"188","2007-10-01",10.1
"189","2007-10-02",10
"190","2007-10-03",10
"191","2007-10-04",9.9
"192","2007-10-05",9.9
"193","2007-10-08",10.6
"194","2007-10-09",10.6
"195","2007-10-10",10.5
"196","2007-10-11",10
"197","2007-10-12",10
"198","2007-10-15",9.8
"199","2007-10-16",9.6
"200","2007-10-17",9.1
"201","2007-10-18",9.3
"202","2007-10-19",10.1
"203","2007-10-22",10.3
"204","2007-10-23",10.1
"205","2007-10-24",10.5
"206","2007-10-25",10.4
"207","2007-10-26",10
"208","2007-10-29",10
"209","2007-10-30",10.5
"210","2007-10-31",11.2
"211","2007-11-01",11.4
"212","2007-11-02",10.8
"213","2007-11-05",10.8
"214","2007-11-06",11
"215","2007-11-07",11
"216","2007-11-08",10.2
"217","2007-11-09",9.7
"218","2007-11-12",9.5
"219","2007-11-13",9.9
"220","2007-11-14",9.5
"221","2007-11-15",10.4
"222","2007-11-16",10.2
"223","2007-11-19",10.6
"224","2007-11-20",10.7
"225","2007-11-21",10.6
"226","2007-11-23",10.6
"227","2007-11-26",10.9
"228","2007-11-27",10.5
"229","2007-11-28",10.6
"230","2007-11-29",10.7
"231","2007-11-30",10.7
"232","2007-12-03",10.6
"233","2007-12-04",10.6
"234","2007-12-05",10.6
"235","2007-12-06",10.5
"236","2007-12-07",10.1
"237","2007-12-10",10.3
"238","2007-12-11",10
"239","2007-12-12",10.7
"240","2007-12-13",10.1
"241","2007-12-14",10
"242","2007-12-17",10.7
"243","2007-12-18",11
"244","2007-12-19",10.7
"245","2007-12-20",10.7
"246","2007-12-21",10.6
"247","2007-12-24",11
"248","2007-12-26",11.3
"249","2007-12-27",11.2
"250","2007-12-28",13
"251","2007-12-31",14.1
"252","2008-01-02",13.7
"253","2008-01-03",13.9
"254","2008-01-04",13.4
"255","2008-01-07",13.5
"256","2008-01-08",13.5
"257","2008-01-09",13.5
"258","2008-01-10",13.2
"259","2008-01-11",13
"260","2008-01-14",13
"261","2008-01-15",13.9
"262","2008-01-16",13.6
"263","2008-01-17",13.9
"264","2008-01-18",14
"265","2008-01-22",13.9
"266","2008-01-23",13.9
"267","2008-01-24",14.8
"268","2008-01-25",15.6
"269","2008-01-28",17
"270","2008-01-29",17.5
"271","2008-01-30",17.5
"272","2008-01-31",17.9
"273","2008-02-01",17.9
"274","2008-02-04",17.5
"275","2008-02-05",17.200001
"276","2008-02-06",17
"277","2008-02-07",17.4
"278","2008-02-08",17.299999
"279","2008-02-11",18
"280","2008-02-12",17.1
"281","2008-02-13",17.299999
"282","2008-02-14",18
"283","2008-02-15",17
