"","date","PRVL"
"1","2019-06-20",13.6
"2","2019-06-21",14.5
"3","2019-06-24",15.71
"4","2019-06-25",15
"5","2019-06-26",15
"6","2019-06-27",15
"7","2019-06-28",13.2
"8","2019-07-01",11.24
"9","2019-07-02",10.62
"10","2019-07-03",10.48
"11","2019-07-05",10.51
"12","2019-07-08",11.24
"13","2019-07-09",11.37
"14","2019-07-10",11.53
"15","2019-07-11",12.13
"16","2019-07-12",11.62
"17","2019-07-15",12.25
"18","2019-07-16",12.27
"19","2019-07-17",12.1
"20","2019-07-18",11.59
"21","2019-07-19",11.64
"22","2019-07-22",12.2
"23","2019-07-23",11.98
"24","2019-07-24",11.54
"25","2019-07-25",11.49
"26","2019-07-26",11.4
"27","2019-07-29",11.37
"28","2019-07-30",11.39
"29","2019-07-31",11.71
"30","2019-08-01",11.67
"31","2019-08-02",11.32
"32","2019-08-05",10.48
"33","2019-08-06",10.5
"34","2019-08-07",9.57
"35","2019-08-08",8.05
"36","2019-08-09",9.7
"37","2019-08-12",9.52
"38","2019-08-13",10.2
"39","2019-08-14",10.36
"40","2019-08-15",10.38
"41","2019-08-16",10.9
"42","2019-08-19",10.92
"43","2019-08-20",11.15
"44","2019-08-21",11.7
"45","2019-08-22",11.57
"46","2019-08-23",11.89
"47","2019-08-26",11.54
"48","2019-08-27",12
"49","2019-08-28",11.8
"50","2019-08-29",11.88
"51","2019-08-30",11.32
"52","2019-09-03",10.99
"53","2019-09-04",10.55
"54","2019-09-05",10.12
"55","2019-09-06",10
"56","2019-09-09",9.09
"57","2019-09-10",9.42
"58","2019-09-11",9.21
"59","2019-09-12",10.77
"60","2019-09-13",11.7
"61","2019-09-16",12
"62","2019-09-17",11.86
"63","2019-09-18",12.14
"64","2019-09-19",12.9
"65","2019-09-20",13.56
"66","2019-09-23",15.21
"67","2019-09-24",14.73
"68","2019-09-25",12.56
"69","2019-09-26",12.32
"70","2019-09-27",11.72
"71","2019-09-30",12.28
"72","2019-10-01",12.32
"73","2019-10-02",11.55
"74","2019-10-03",11.37
"75","2019-10-04",10.41
"76","2019-10-07",10.11
"77","2019-10-08",10.1
"78","2019-10-09",10.14
"79","2019-10-10",9.79
"80","2019-10-11",10.21
"81","2019-10-14",9.89
"82","2019-10-15",10.16
"83","2019-10-16",10.97
"84","2019-10-17",10.91
"85","2019-10-18",10.7
"86","2019-10-21",10.47
"87","2019-10-22",10.68
"88","2019-10-23",10.82
"89","2019-10-24",10.68
"90","2019-10-25",10.94
"91","2019-10-28",10.77
"92","2019-10-29",11.53
"93","2019-10-30",11.52
"94","2019-10-31",11.02
"95","2019-11-01",10.9
"96","2019-11-04",10.59
"97","2019-11-05",11.01
"98","2019-11-06",10.5
"99","2019-11-07",11.18
"100","2019-11-08",12.3
"101","2019-11-11",13.53
"102","2019-11-12",11.07
"103","2019-11-13",9.91
"104","2019-11-14",10.86
"105","2019-11-15",10.62
"106","2019-11-18",11.02
"107","2019-11-19",12.48
"108","2019-11-20",13.47
"109","2019-11-21",13.91
"110","2019-11-22",13.26
"111","2019-11-25",13.81
"112","2019-11-26",13.84
"113","2019-11-27",14.33
"114","2019-11-29",14.39
"115","2019-12-02",14.23
"116","2019-12-03",15
"117","2019-12-04",14.39
"118","2019-12-05",14.03
"119","2019-12-06",15.54
"120","2019-12-09",15.32
"121","2019-12-10",15.53
"122","2019-12-11",15.55
"123","2019-12-12",14.91
"124","2019-12-13",16.01
"125","2019-12-16",15.33
"126","2019-12-17",15.86
"127","2019-12-18",16.059999
"128","2019-12-19",15.79
"129","2019-12-20",16.07
"130","2019-12-23",16.58
"131","2019-12-24",16.24
"132","2019-12-26",16.360001
"133","2019-12-27",15.81
"134","2019-12-30",15.86
"135","2019-12-31",15.83
"136","2020-01-02",16.23
"137","2020-01-03",15.83
"138","2020-01-06",15.56
"139","2020-01-07",17.879999
"140","2020-01-08",16.469999
"141","2020-01-09",16.98
"142","2020-01-10",17.879999
"143","2020-01-13",17.85
"144","2020-01-14",17.639999
"145","2020-01-15",17.040001
"146","2020-01-16",18
"147","2020-01-17",18.530001
"148","2020-01-21",18.290001
"149","2020-01-22",18.5
"150","2020-01-23",18.09
"151","2020-01-24",18.120001
"152","2020-01-27",17.870001
"153","2020-01-28",18.219999
"154","2020-01-29",18.610001
"155","2020-01-30",18.559999
"156","2020-01-31",18.9
"157","2020-02-03",18.6
"158","2020-02-04",18.98
"159","2020-02-05",18.48
"160","2020-02-06",18.450001
"161","2020-02-07",18.469999
"162","2020-02-10",18.49
"163","2020-02-11",18.940001
"164","2020-02-12",18.91
"165","2020-02-13",17.75
"166","2020-02-14",17.4
"167","2020-02-18",16.940001
"168","2020-02-19",16.91
"169","2020-02-20",17.01
"170","2020-02-21",16.98
"171","2020-02-24",16.01
"172","2020-02-25",16.23
"173","2020-02-26",16.200001
"174","2020-02-27",14.98
"175","2020-02-28",12.78
"176","2020-03-02",14.67
"177","2020-03-03",15.7
"178","2020-03-04",16.549999
"179","2020-03-05",16.23
"180","2020-03-06",15.85
"181","2020-03-09",14.76
"182","2020-03-10",13.79
"183","2020-03-11",12.54
"184","2020-03-12",11.19
"185","2020-03-13",14.31
"186","2020-03-16",11.19
"187","2020-03-17",11.14
"188","2020-03-18",10.75
"189","2020-03-19",12.35
"190","2020-03-20",12.3
"191","2020-03-23",11.87
"192","2020-03-24",12.26
"193","2020-03-25",11.74
"194","2020-03-26",12
"195","2020-03-27",11.72
"196","2020-03-30",11.71
"197","2020-03-31",12.19
"198","2020-04-01",11.56
"199","2020-04-02",12.11
"200","2020-04-03",12.35
"201","2020-04-06",12.67
"202","2020-04-07",12.36
"203","2020-04-08",13.73
"204","2020-04-09",13.97
"205","2020-04-13",13.18
"206","2020-04-14",13.8
"207","2020-04-15",13.3
"208","2020-04-16",13.73
"209","2020-04-17",14.28
"210","2020-04-20",14.26
"211","2020-04-21",14.31
"212","2020-04-22",14.06
"213","2020-04-23",14.19
"214","2020-04-24",15
"215","2020-04-27",15.88
"216","2020-04-28",15.4
"217","2020-04-29",15.32
"218","2020-04-30",14.45
"219","2020-05-01",14.77
"220","2020-05-04",15.01
"221","2020-05-05",15.63
"222","2020-05-06",16
"223","2020-05-07",15.89
"224","2020-05-08",15.91
"225","2020-05-11",16.99
"226","2020-05-12",17.559999
"227","2020-05-13",16.42
"228","2020-05-14",14.75
"229","2020-05-15",14.87
"230","2020-05-18",15.58
"231","2020-05-19",16.459999
"232","2020-05-20",16.700001
"233","2020-05-21",17.700001
"234","2020-05-22",18.200001
"235","2020-05-26",17.32
"236","2020-05-27",16.9
"237","2020-05-28",16.889999
"238","2020-05-29",16.68
"239","2020-06-01",16.879999
"240","2020-06-02",16.68
"241","2020-06-03",17.190001
"242","2020-06-04",16.620001
"243","2020-06-05",15.94
"244","2020-06-08",16.98
"245","2020-06-09",16.32
"246","2020-06-10",15.74
