"","date","OXBR"
"1","2014-03-27",7.7
"2","2014-03-28",7.65
"3","2014-03-31",7.5
"4","2014-04-01",7.5
"5","2014-04-02",7.475
"6","2014-04-03",7.689
"7","2014-04-04",7.504
"8","2014-04-07",7.51
"9","2014-04-08",7.41
"10","2014-04-09",7.4
"11","2014-04-10",7.21
"12","2014-04-11",7.73
"13","2014-04-14",7.58
"14","2014-04-15",7.289
"15","2014-04-16",7.28
"16","2014-04-17",7.17
"17","2014-04-21",7.14
"18","2014-04-22",7.1
"19","2014-04-23",7.02
"20","2014-04-24",7.147
"21","2014-04-25",6.86
"22","2014-04-28",6.84
"23","2014-04-29",7.15
"24","2014-04-30",7
"25","2014-05-01",7.09
"26","2014-05-02",7.243
"27","2014-05-05",7.21
"28","2014-05-06",7.04
"29","2014-05-07",7.39
"30","2014-05-08",7.108
"31","2014-05-09",5.85
"32","2014-05-12",6.496
"33","2014-05-13",6.15
"34","2014-05-14",5.99
"35","2014-05-15",5.94
"36","2014-05-16",5.958
"37","2014-05-19",5.85
"38","2014-05-20",5.8
"39","2014-05-21",5.7
"40","2014-05-22",5.6
"41","2014-05-23",6
"42","2014-05-27",5.8
"43","2014-05-28",5.84
"44","2014-05-29",5.79
"45","2014-05-30",5.79
"46","2014-06-02",5.65
"47","2014-06-03",5.73
"48","2014-06-04",5.78
"49","2014-06-05",5.79
"50","2014-06-06",5.73
"51","2014-06-09",5.79
"52","2014-06-10",5.5
"53","2014-06-11",5.56
"54","2014-06-12",5.57
"55","2014-06-13",5.45
"56","2014-06-16",5.49
"57","2014-06-17",5.35
"58","2014-06-18",5.14
"59","2014-06-19",5.39
"60","2014-06-20",5.46
"61","2014-06-23",5.48
"62","2014-06-24",5.45
"63","2014-06-25",5.4
"64","2014-06-26",5.47
"65","2014-06-27",5.28
"66","2014-06-30",5.37
"67","2014-07-01",5.38
"68","2014-07-02",5.3
"69","2014-07-03",5.3
"70","2014-07-07",5.3
"71","2014-07-08",5.35
"72","2014-07-09",5.4
"73","2014-07-10",5.48
"74","2014-07-11",5.474
"75","2014-07-14",5.78
"76","2014-07-15",6
"77","2014-07-16",6.05
"78","2014-07-17",6.05
"79","2014-07-18",6.21
"80","2014-07-21",6.05
"81","2014-07-22",6.178
"82","2014-07-23",6.78
"83","2014-07-24",7.2
"84","2014-07-25",7.07
"85","2014-07-28",7.8
"86","2014-07-29",7.653
"87","2014-07-30",7.76
"88","2014-07-31",7.52
"89","2014-08-01",7.58
"90","2014-08-04",7.76
"91","2014-08-05",7.7
"92","2014-08-06",7.669
"93","2014-08-07",7.1
"94","2014-08-08",7.022
"95","2014-08-11",7.08
"96","2014-08-12",7.01
"97","2014-08-13",6.7
"98","2014-08-14",6.54
"99","2014-08-15",6.399
"100","2014-08-18",6.45
"101","2014-08-19",6.5
"102","2014-08-20",6.68
"103","2014-08-21",6.51
"104","2014-08-22",6.55
"105","2014-08-25",6.535
"106","2014-08-26",5.92
"107","2014-08-27",6.24
"108","2014-08-28",6.357
"109","2014-08-29",6.38
"110","2014-09-02",7.49
"111","2014-09-03",7.19
"112","2014-09-04",7.15
"113","2014-09-05",7.03
"114","2014-09-08",7
"115","2014-09-09",7
"116","2014-09-10",7
"117","2014-09-11",7
"118","2014-09-12",7
"119","2014-09-15",6.99
"120","2014-09-16",6.56
"121","2014-09-17",6.95
"122","2014-09-18",6.75
"123","2014-09-19",6.97
"124","2014-09-22",6.89
"125","2014-09-23",6.75
"126","2014-09-24",6.75
"127","2014-09-25",6.57
"128","2014-09-26",6.16
"129","2014-09-29",6.3
"130","2014-09-30",6.55
"131","2014-10-01",6.28
"132","2014-10-02",6.449
"133","2014-10-03",6.65
"134","2014-10-06",6.43
"135","2014-10-07",6.37
"136","2014-10-08",6.5
"137","2014-10-09",6.65
"138","2014-10-10",6.55
"139","2014-10-13",6.47
"140","2014-10-14",6.545
"141","2014-10-15",6.62
"142","2014-10-16",6.52
"143","2014-10-17",6.73
"144","2014-10-20",6.79
"145","2014-10-21",7
"146","2014-10-22",7.09
"147","2014-10-23",7.01
"148","2014-10-24",7.2
"149","2014-10-27",7.3
"150","2014-10-28",7.1
"151","2014-10-29",7.45
"152","2014-10-30",7.56
"153","2014-10-31",7.49
"154","2014-11-03",7.36
"155","2014-11-04",7.46
"156","2014-11-05",7.62
"157","2014-11-06",7.76
"158","2014-11-07",7.85
"159","2014-11-10",7.61
"160","2014-11-11",7.77
"161","2014-11-12",7.44
"162","2014-11-13",7.05
"163","2014-11-14",7.05
"164","2014-11-17",7.35
"165","2014-11-18",7.4
