"","date","SFE"
"1","2007-01-03",15.54
"2","2007-01-04",14.88
"3","2007-01-05",15
"4","2007-01-08",14.88
"5","2007-01-09",15
"6","2007-01-10",14.76
"7","2007-01-11",14.64
"8","2007-01-12",15.54
"9","2007-01-16",15.54
"10","2007-01-17",15.18
"11","2007-01-18",15.18
"12","2007-01-19",15.06
"13","2007-01-22",14.7
"14","2007-01-23",14.76
"15","2007-01-24",15.3
"16","2007-01-25",15.12
"17","2007-01-26",15.36
"18","2007-01-29",16.02
"19","2007-01-30",16.139999
"20","2007-01-31",15.84
"21","2007-02-01",16.5
"22","2007-02-02",17.219999
"23","2007-02-05",17.4
"24","2007-02-06",17.459999
"25","2007-02-07",17.52
"26","2007-02-08",17.58
"27","2007-02-09",17.34
"28","2007-02-12",17.1
"29","2007-02-13",17.219999
"30","2007-02-14",17.34
"31","2007-02-15",18.24
"32","2007-02-16",17.82
"33","2007-02-20",18.120001
"34","2007-02-21",18.360001
"35","2007-02-22",18.24
"36","2007-02-23",17.879999
"37","2007-02-26",18.719999
"38","2007-02-27",16.799999
"39","2007-02-28",16.860001
"40","2007-03-01",17.16
"41","2007-03-02",16.559999
"42","2007-03-05",16.559999
"43","2007-03-06",17.040001
"44","2007-03-07",17.040001
"45","2007-03-08",16.379999
"46","2007-03-09",16.860001
"47","2007-03-12",17.1
"48","2007-03-13",16.68
"49","2007-03-14",17.219999
"50","2007-03-15",17.219999
"51","2007-03-16",17.639999
"52","2007-03-19",17.76
"53","2007-03-20",17.879999
"54","2007-03-21",18.360001
"55","2007-03-22",18.120001
"56","2007-03-23",17.700001
"57","2007-03-26",17.76
"58","2007-03-27",17.52
"59","2007-03-28",17.280001
"60","2007-03-29",16.92
"61","2007-03-30",17.76
"62","2007-04-02",17.700001
"63","2007-04-03",17.82
"64","2007-04-04",17.639999
"65","2007-04-05",19.08
"66","2007-04-09",18.66
"67","2007-04-10",18.959999
"68","2007-04-11",18.360001
"69","2007-04-12",18.42
"70","2007-04-13",18.42
"71","2007-04-16",18.299999
"72","2007-04-17",18.540001
"73","2007-04-18",18.360001
"74","2007-04-19",18.540001
"75","2007-04-20",18.66
"76","2007-04-23",18.84
"77","2007-04-24",18.84
"78","2007-04-25",18.84
"79","2007-04-26",18.719999
"80","2007-04-27",18.42
"81","2007-04-30",18.059999
"82","2007-05-01",18.059999
"83","2007-05-02",18.18
"84","2007-05-03",16.620001
"85","2007-05-04",16.74
"86","2007-05-07",16.440001
"87","2007-05-08",16.08
"88","2007-05-09",16.32
"89","2007-05-10",15.48
"90","2007-05-11",15.84
"91","2007-05-14",15.18
"92","2007-05-15",15.36
"93","2007-05-16",15.48
"94","2007-05-17",15
"95","2007-05-18",15.42
"96","2007-05-21",15.54
"97","2007-05-22",15.84
"98","2007-05-23",15.78
"99","2007-05-24",15.72
"100","2007-05-25",15.84
"101","2007-05-29",15.84
"102","2007-05-30",15.78
"103","2007-05-31",15.78
"104","2007-06-01",16.379999
"105","2007-06-04",16.379999
"106","2007-06-05",16.799999
"107","2007-06-06",16.08
"108","2007-06-07",15.84
"109","2007-06-08",15.9
"110","2007-06-11",15.84
"111","2007-06-12",14.58
"112","2007-06-13",15.42
"113","2007-06-14",15.6
"114","2007-06-15",16.200001
"115","2007-06-18",16.379999
"116","2007-06-19",16.559999
"117","2007-06-20",16.26
"118","2007-06-21",16.26
"119","2007-06-22",16.08
"120","2007-06-25",15.72
"121","2007-06-26",15.36
"122","2007-06-27",16.08
"123","2007-06-28",15.84
"124","2007-06-29",16.860001
"125","2007-07-02",15.96
"126","2007-07-03",16.08
"127","2007-07-05",15.9
"128","2007-07-06",16.379999
"129","2007-07-09",16.02
"130","2007-07-10",15.6
"131","2007-07-11",15.3
"132","2007-07-12",15.72
"133","2007-07-13",15.78
"134","2007-07-16",15.78
"135","2007-07-17",15.72
"136","2007-07-18",15.9
"137","2007-07-19",15.96
"138","2007-07-20",15.72
"139","2007-07-23",15.48
"140","2007-07-24",14.94
"141","2007-07-25",14.46
"142","2007-07-26",13.8
"143","2007-07-27",13.02
"144","2007-07-30",13.26
"145","2007-07-31",13.8
"146","2007-08-01",13.56
"147","2007-08-02",12.9
"148","2007-08-03",12.78
"149","2007-08-06",11.94
"150","2007-08-07",12.48
"151","2007-08-08",13.38
"152","2007-08-09",12.48
"153","2007-08-10",12.9
"154","2007-08-13",12.24
"155","2007-08-14",12
"156","2007-08-15",11.64
"157","2007-08-16",12.66
"158","2007-08-17",12.72
"159","2007-08-20",12.54
"160","2007-08-21",12.9
"161","2007-08-22",13.08
"162","2007-08-23",12.78
"163","2007-08-24",13.2
"164","2007-08-27",12.54
"165","2007-08-28",11.94
"166","2007-08-29",12
"167","2007-08-30",11.94
"168","2007-08-31",12.9
"169","2007-09-04",12.84
"170","2007-09-05",12.3
"171","2007-09-06",12.96
"172","2007-09-07",12.24
"173","2007-09-10",12.24
"174","2007-09-11",13.32
"175","2007-09-12",12.96
"176","2007-09-13",12.84
"177","2007-09-14",13.02
"178","2007-09-17",13.08
"179","2007-09-18",14.58
"180","2007-09-19",14.52
"181","2007-09-20",14.58
"182","2007-09-21",14.82
"183","2007-09-24",14.16
"184","2007-09-25",14.04
"185","2007-09-26",14.22
"186","2007-09-27",14.64
"187","2007-09-28",13.74
"188","2007-10-01",13.62
"189","2007-10-02",13.74
"190","2007-10-03",13.56
"191","2007-10-04",13.62
"192","2007-10-05",14.7
"193","2007-10-08",15
"194","2007-10-09",15.3
"195","2007-10-10",14.58
"196","2007-10-11",14.22
"197","2007-10-12",14.88
"198","2007-10-15",14.28
"199","2007-10-16",14.4
"200","2007-10-17",14.4
"201","2007-10-18",14.16
"202","2007-10-19",13.26
"203","2007-10-22",13.26
"204","2007-10-23",13.74
"205","2007-10-24",13.5
"206","2007-10-25",13.08
"207","2007-10-26",13.56
"208","2007-10-29",13.56
"209","2007-10-30",13.32
"210","2007-10-31",14.1
"211","2007-11-01",12.72
"212","2007-11-02",12.6
"213","2007-11-05",12.72
"214","2007-11-06",12.48
"215","2007-11-07",11.82
"216","2007-11-08",12.36
"217","2007-11-09",12.06
"218","2007-11-12",12.06
"219","2007-11-13",12.6
"220","2007-11-14",12.12
"221","2007-11-15",11.7
"222","2007-11-16",11.76
"223","2007-11-19",11.58
"224","2007-11-20",11.7
"225","2007-11-21",11.76
"226","2007-11-23",11.88
"227","2007-11-26",11.46
"228","2007-11-27",11.58
"229","2007-11-28",12.6
"230","2007-11-29",12
"231","2007-11-30",11.82
"232","2007-12-03",11.4
"233","2007-12-04",11.82
"234","2007-12-05",11.58
"235","2007-12-06",12.18
"236","2007-12-07",11.7
"237","2007-12-10",11.58
"238","2007-12-11",11.1
"239","2007-12-12",11.22
"240","2007-12-13",10.92
"241","2007-12-14",10.56
"242","2007-12-17",10.44
"243","2007-12-18",11.22
"244","2007-12-19",10.8
"245","2007-12-20",11.16
"246","2007-12-21",11.46
"247","2007-12-24",11.52
"248","2007-12-26",11.76
"249","2007-12-27",11.22
"250","2007-12-28",11.28
"251","2007-12-31",10.8
"252","2008-01-02",10.74
"253","2008-01-03",10.5
"254","2008-01-04",10.2
"255","2008-01-07",10.56
"256","2008-01-08",10.5
"257","2008-01-09",11.04
"258","2008-01-10",11.22
"259","2008-01-11",10.56
"260","2008-01-14",11.04
"261","2008-01-15",10.56
"262","2008-01-16",11.04
"263","2008-01-17",10.26
"264","2008-01-18",9.84
"265","2008-01-22",9.84
"266","2008-01-23",10.86
"267","2008-01-24",10.68
"268","2008-01-25",10.56
"269","2008-01-28",10.86
"270","2008-01-29",11.04
"271","2008-01-30",10.62
"272","2008-01-31",11.52
"273","2008-02-01",11.46
"274","2008-02-04",10.74
"275","2008-02-05",10.62
"276","2008-02-06",10.92
"277","2008-02-07",10.86
"278","2008-02-08",10.56
"279","2008-02-11",10.62
"280","2008-02-12",10.2
"281","2008-02-13",10.38
"282","2008-02-14",10.08
"283","2008-02-15",9.96
"284","2008-02-19",9.9
"285","2008-02-20",10.14
"286","2008-02-21",10.02
"287","2008-02-22",9.78
"288","2008-02-25",9.96
"289","2008-02-26",10.5
"290","2008-02-27",10.2
"291","2008-02-28",9.66
"292","2008-02-29",9.24
"293","2008-03-03",9.3
