"","date","TRMD"
"1","2018-02-23",7.6
"2","2018-02-26",7.6
"3","2018-02-27",7.6
"4","2018-02-28",7.6
"5","2018-03-01",7.6
"6","2018-03-02",7.6
"7","2018-03-05",7.6
"8","2018-03-06",7.6
"9","2018-03-07",7.4
"10","2018-03-08",7.75
"11","2018-03-09",7.7
"12","2018-03-12",8.1
"13","2018-03-13",8.1
"14","2018-03-14",8.05
"15","2018-03-15",8.05
"16","2018-03-16",7.5
"17","2018-03-19",7.85
"18","2018-03-20",7.85
"19","2018-03-21",7.445
"20","2018-03-22",7.4
"21","2018-03-23",7.485
"22","2018-03-26",7.53
"23","2018-03-27",7.4
"24","2018-03-28",7.4
"25","2018-03-29",7.4
"26","2018-04-02",7.4
"27","2018-04-03",7.45
"28","2018-04-04",7.1
"29","2018-04-05",7.3
"30","2018-04-06",7.3
"31","2018-04-09",7.3
"32","2018-04-10",7.449
"33","2018-04-11",7.45
"34","2018-04-12",7.415
"35","2018-04-13",7.415
"36","2018-04-16",7.45
"37","2018-04-17",7.47
"38","2018-04-18",7.63
"39","2018-04-19",7.63
"40","2018-04-20",8.08
"41","2018-04-23",8.05
"42","2018-04-24",8.2
"43","2018-04-25",7.701
"44","2018-04-26",7.8
"45","2018-04-27",7.8
"46","2018-04-30",8
"47","2018-05-01",8
"48","2018-05-02",8
"49","2018-05-03",8
"50","2018-05-04",7.75
"51","2018-05-07",7.75
"52","2018-05-08",7.75
"53","2018-05-09",7.75
"54","2018-05-10",7.75
"55","2018-05-11",7.75
"56","2018-05-14",7.909
"57","2018-05-15",7.93
"58","2018-05-16",7.93
"59","2018-05-17",7.93
"60","2018-05-18",7.6
"61","2018-05-21",8
"62","2018-05-22",8
"63","2018-05-23",7.128
"64","2018-05-24",7.57
"65","2018-05-25",7.58
"66","2018-05-29",7.58
"67","2018-05-30",7.32
"68","2018-05-31",7.32
"69","2018-06-01",7.69
"70","2018-06-04",7.85
"71","2018-06-05",7.86
"72","2018-06-06",7.86
"73","2018-06-07",7.986
"74","2018-06-08",7.986
"75","2018-06-11",7.986
"76","2018-06-12",7.986
"77","2018-06-13",7.986
"78","2018-06-14",7.986
"79","2018-06-15",8.05
"80","2018-06-18",8.05
"81","2018-06-19",7.715
"82","2018-06-20",7.715
"83","2018-06-21",7.8
"84","2018-06-22",7.8
"85","2018-06-25",7.8
"86","2018-06-26",7.8
"87","2018-06-27",7.8
"88","2018-06-28",7.8
"89","2018-06-29",7.8
"90","2018-07-02",7.8
"91","2018-07-03",7.8
"92","2018-07-05",7.8
"93","2018-07-06",7.25
"94","2018-07-09",7.25
"95","2018-07-10",7.25
"96","2018-07-11",7.25
"97","2018-07-12",7.25
"98","2018-07-13",7.25
"99","2018-07-16",7.25
"100","2018-07-17",7.25
"101","2018-07-18",7.25
"102","2018-07-19",7.25
"103","2018-07-20",7.25
"104","2018-07-23",7.25
"105","2018-07-24",7.25
"106","2018-07-25",7.25
"107","2018-07-26",7.678
"108","2018-07-27",7.678
"109","2018-07-30",7.678
"110","2018-07-31",7.75
"111","2018-08-01",7.85
"112","2018-08-02",7.85
"113","2018-08-03",7.85
"114","2018-08-06",7.64
"115","2018-08-07",7.58
"116","2018-08-08",7.48
"117","2018-08-09",7.22
"118","2018-08-10",7
"119","2018-08-13",6.79
"120","2018-08-14",6.57
"121","2018-08-15",6.62
"122","2018-08-16",6.6
"123","2018-08-17",6.6
"124","2018-08-20",6.6
"125","2018-08-21",6.619
"126","2018-08-22",6.6
"127","2018-08-23",6.6
"128","2018-08-24",6.6
"129","2018-08-27",6.63
"130","2018-08-28",6.63
"131","2018-08-29",6.77
"132","2018-08-30",6.52
"133","2018-08-31",6.57
"134","2018-09-04",6.49
"135","2018-09-05",6.49
"136","2018-09-06",6.49
"137","2018-09-07",6.49
"138","2018-09-10",6.49
"139","2018-09-11",7.09
"140","2018-09-12",7.09
"141","2018-09-13",7
"142","2018-09-14",7
"143","2018-09-17",5.939
"144","2018-09-18",5.939
"145","2018-09-19",5.939
"146","2018-09-20",5.939
"147","2018-09-21",5.939
"148","2018-09-24",5.939
"149","2018-09-25",5.939
"150","2018-09-26",6.471
"151","2018-09-27",6.471
"152","2018-09-28",6.6
"153","2018-10-01",6.534
"154","2018-10-02",6.6
"155","2018-10-03",6.6
"156","2018-10-04",6.52
"157","2018-10-05",6.52
"158","2018-10-08",6.6
"159","2018-10-09",6.6
"160","2018-10-10",6.52
"161","2018-10-11",6.44
"162","2018-10-12",6.37
"163","2018-10-15",6.2
"164","2018-10-16",5.84
"165","2018-10-17",5.84
"166","2018-10-18",5.84
"167","2018-10-19",5.84
"168","2018-10-22",6.12
"169","2018-10-23",6.12
"170","2018-10-24",6.12
"171","2018-10-25",6.12
"172","2018-10-26",6
"173","2018-10-29",6
"174","2018-10-30",6.05
"175","2018-10-31",5.575
"176","2018-11-01",5.575
"177","2018-11-02",5.575
"178","2018-11-05",5.575
"179","2018-11-06",5.575
"180","2018-11-07",6.55
"181","2018-11-08",6.55
"182","2018-11-09",6.65
"183","2018-11-12",6.65
"184","2018-11-13",6.65
"185","2018-11-14",6.65
"186","2018-11-15",6.65
"187","2018-11-16",7.281
"188","2018-11-19",7
"189","2018-11-20",5.91
"190","2018-11-21",6.205
"191","2018-11-23",6.4
"192","2018-11-26",6.48
"193","2018-11-27",5.87
"194","2018-11-28",5.87
"195","2018-11-29",6.7
"196","2018-11-30",6.8
"197","2018-12-03",7.15
"198","2018-12-04",7.305
"199","2018-12-06",7.305
"200","2018-12-07",7.305
"201","2018-12-10",7.15
"202","2018-12-11",6.79
"203","2018-12-12",6.08
"204","2018-12-13",6.32
"205","2018-12-14",6.151
"206","2018-12-17",6.151
"207","2018-12-18",6.151
"208","2018-12-19",6.151
"209","2018-12-20",6.151
"210","2018-12-21",5.645
"211","2018-12-24",5.645
"212","2018-12-26",5.645
"213","2018-12-27",5.645
"214","2018-12-28",5.95
"215","2018-12-31",5.883
"216","2019-01-02",5.95
"217","2019-01-03",5.95
"218","2019-01-04",5.95
"219","2019-01-07",5.95
"220","2019-01-08",5.95
"221","2019-01-09",5.95
"222","2019-01-10",5.95
"223","2019-01-11",5.95
"224","2019-01-14",5.95
"225","2019-01-15",5.95
"226","2019-01-16",5.95
"227","2019-01-17",5.95
"228","2019-01-18",5.78
"229","2019-01-22",5.78
"230","2019-01-23",5.78
"231","2019-01-24",5.78
"232","2019-01-25",5.78
"233","2019-01-28",5.78
"234","2019-01-29",5.78
"235","2019-01-30",5.78
"236","2019-01-31",6.21
"237","2019-02-01",5.85
"238","2019-02-04",5.99
"239","2019-02-05",5.99
"240","2019-02-06",5.99
"241","2019-02-07",5.99
"242","2019-02-08",5.99
"243","2019-02-11",5.99
"244","2019-02-12",5.99
"245","2019-02-13",5.99
"246","2019-02-14",5.99
"247","2019-02-15",5.99
"248","2019-02-19",5.99
