"","date","SONA"
"1","2007-01-03",15
"2","2007-01-04",14.809091
"3","2007-01-05",15
"4","2007-01-08",15.090909
"5","2007-01-09",15.027273
"6","2007-01-10",15.045455
"7","2007-01-11",15.045455
"8","2007-01-12",15.181818
"9","2007-01-16",15.2
"10","2007-01-17",14.909091
"11","2007-01-18",14.909091
"12","2007-01-19",14.863636
"13","2007-01-22",14.818182
"14","2007-01-23",14.781818
"15","2007-01-24",14.727273
"16","2007-01-25",14.727273
"17","2007-01-26",14.727273
"18","2007-01-29",14.681818
"19","2007-01-30",14.772727
"20","2007-01-31",14.727273
"21","2007-02-01",14.645454
"22","2007-02-02",14.618182
"23","2007-02-05",14.472727
"24","2007-02-06",14.545455
"25","2007-02-07",14.545455
"26","2007-02-08",14.427273
"27","2007-02-09",14.181818
"28","2007-02-12",14.490909
"29","2007-02-13",14.336364
"30","2007-02-14",14.554545
"31","2007-02-15",14.545455
"32","2007-02-16",14.545455
"33","2007-02-20",14.363636
"34","2007-02-21",14.545455
"35","2007-02-22",14.363636
"36","2007-02-23",14.290909
"37","2007-02-26",14.336364
"38","2007-02-27",14.581819
"39","2007-02-28",14.436363
"40","2007-03-01",14.318182
"41","2007-03-02",14.318182
"42","2007-03-05",14.318182
"43","2007-03-06",14.5
"44","2007-03-07",14.318182
"45","2007-03-08",14.318182
"46","2007-03-09",14.272727
"47","2007-03-12",14.318182
"48","2007-03-13",14.363636
"49","2007-03-14",14.363636
"50","2007-03-15",14.290909
"51","2007-03-16",14.072727
"52","2007-03-19",14.254545
"53","2007-03-20",14.209091
"54","2007-03-21",14.318182
"55","2007-03-22",13.954545
"56","2007-03-23",14.090909
"57","2007-03-26",14.090909
"58","2007-03-27",14.181818
"59","2007-03-28",14.263637
"60","2007-03-29",14.263637
"61","2007-03-30",14.227273
"62","2007-04-02",14.118182
"63","2007-04-03",14.045455
"64","2007-04-04",14.245455
"65","2007-04-05",14.245455
"66","2007-04-09",14.272727
"67","2007-04-10",14.318182
"68","2007-04-11",14.318182
"69","2007-04-12",14.227273
"70","2007-04-13",14.190909
"71","2007-04-16",14.190909
"72","2007-04-17",14.109091
"73","2007-04-18",14.118182
"74","2007-04-19",14.181818
"75","2007-04-20",14.190909
"76","2007-04-23",14.218182
"77","2007-04-24",14.227273
"78","2007-04-25",14.227273
"79","2007-04-26",14.409091
"80","2007-04-27",14.454545
"81","2007-04-30",14.6
"82","2007-05-01",14.7
"83","2007-05-02",14.75
"84","2007-05-03",14.6
"85","2007-05-04",14.74
"86","2007-05-07",14.73
"87","2007-05-08",14.8
"88","2007-05-09",14.8
"89","2007-05-10",14.82
"90","2007-05-11",14.75
"91","2007-05-14",14.53
"92","2007-05-15",14.46
"93","2007-05-16",14.42
"94","2007-05-17",14.35
"95","2007-05-18",14.4
"96","2007-05-21",14.38
"97","2007-05-22",14.39
"98","2007-05-23",14.31
"99","2007-05-24",14.3
"100","2007-05-25",14.34
"101","2007-05-29",14.34
"102","2007-05-30",14.54
"103","2007-05-31",14.54
"104","2007-06-01",14.47
"105","2007-06-04",14.33
"106","2007-06-05",14.38
"107","2007-06-06",14.3
"108","2007-06-07",14.33
"109","2007-06-08",14.3
"110","2007-06-11",13.73
"111","2007-06-12",13.51
"112","2007-06-13",13.5
"113","2007-06-14",13.48
"114","2007-06-15",13.25
"115","2007-06-18",13.5
"116","2007-06-19",13.72
"117","2007-06-20",14
"118","2007-06-21",14.23
"119","2007-06-22",14.21
"120","2007-06-25",14.24
"121","2007-06-26",14.22
"122","2007-06-27",13.97
"123","2007-06-28",14
"124","2007-06-29",14.09
"125","2007-07-02",13.4
"126","2007-07-03",13.4
"127","2007-07-05",13.44
"128","2007-07-06",13.78
"129","2007-07-09",13.84
"130","2007-07-10",13.86
"131","2007-07-11",13.91
"132","2007-07-12",13.95
"133","2007-07-13",13.76
"134","2007-07-16",13.73
"135","2007-07-17",13.64
"136","2007-07-18",13.62
"137","2007-07-19",13.7
"138","2007-07-20",13.69
"139","2007-07-23",13.6
"140","2007-07-24",13.16
"141","2007-07-25",13.41
"142","2007-07-26",12.93
"143","2007-07-27",13.18
"144","2007-07-30",13
"145","2007-07-31",13.25
"146","2007-08-01",13.79
"147","2007-08-02",13.26
"148","2007-08-03",13.15
"149","2007-08-06",12.58
"150","2007-08-07",12.75
"151","2007-08-08",12.82
"152","2007-08-09",13.11
"153","2007-08-10",12.92
"154","2007-08-13",13.11
"155","2007-08-14",12.62
"156","2007-08-15",12.62
"157","2007-08-16",13.11
"158","2007-08-17",12.44
"159","2007-08-20",12.49
"160","2007-08-21",12.05
"161","2007-08-22",12.25
"162","2007-08-23",12.49
"163","2007-08-24",12.43
"164","2007-08-27",12.5
"165","2007-08-28",12.5
"166","2007-08-29",12.44
"167","2007-08-30",12.49
"168","2007-08-31",12.5
"169","2007-09-04",12.5
"170","2007-09-05",12.5
"171","2007-09-06",12.6
"172","2007-09-07",12.45
"173","2007-09-10",12.5
"174","2007-09-11",12.5
"175","2007-09-12",12.5
"176","2007-09-13",12.5
"177","2007-09-14",12.47
"178","2007-09-17",12.5
"179","2007-09-18",12.5
"180","2007-09-19",12.44
"181","2007-09-20",12.45
"182","2007-09-21",12.5
"183","2007-09-24",12.46
"184","2007-09-25",12.46
"185","2007-09-26",12.25
"186","2007-09-27",12.46
"187","2007-09-28",12.46
"188","2007-10-01",12.31
"189","2007-10-02",12.44
"190","2007-10-03",12.44
"191","2007-10-04",12.4
"192","2007-10-05",12.39
"193","2007-10-08",12.39
"194","2007-10-09",12.39
"195","2007-10-10",12.24
"196","2007-10-11",12.39
"197","2007-10-12",12.31
"198","2007-10-15",12.3
"199","2007-10-16",12.3
"200","2007-10-17",12
"201","2007-10-18",12
"202","2007-10-19",12.32
"203","2007-10-22",12.06
"204","2007-10-23",12.43
"205","2007-10-24",12.36
"206","2007-10-25",11.99
"207","2007-10-26",11.9
"208","2007-10-29",12.38
"209","2007-10-30",12.35
"210","2007-10-31",12.34
"211","2007-11-01",11.83
"212","2007-11-02",12.14
"213","2007-11-05",11.98
"214","2007-11-06",11.99
"215","2007-11-07",11.86
"216","2007-11-08",11.63
"217","2007-11-09",11.63
"218","2007-11-12",11.48
"219","2007-11-13",11.48
"220","2007-11-14",11.97
"221","2007-11-15",11.97
"222","2007-11-16",12.15
"223","2007-11-19",12.15
"224","2007-11-20",12.15
"225","2007-11-21",12.15
"226","2007-11-23",10.17
"227","2007-11-26",10.46
"228","2007-11-27",10.48
"229","2007-11-28",10.4
"230","2007-11-29",10.4
"231","2007-11-30",11.54
"232","2007-12-03",10.86
"233","2007-12-04",10.5
"234","2007-12-05",10.5
"235","2007-12-06",10.5
"236","2007-12-07",10.52
"237","2007-12-10",10.5
"238","2007-12-11",10
"239","2007-12-12",10.01
"240","2007-12-13",9.9
"241","2007-12-14",10
"242","2007-12-17",10
"243","2007-12-18",10
"244","2007-12-19",9.95
"245","2007-12-20",9.8
"246","2007-12-21",9.65
"247","2007-12-24",9.65
"248","2007-12-26",9.65
"249","2007-12-27",9.65
"250","2007-12-28",9.45
"251","2007-12-31",9
"252","2008-01-02",9
"253","2008-01-03",8.95
"254","2008-01-04",8.98
"255","2008-01-07",8.85
"256","2008-01-08",8.12
"257","2008-01-09",9.81
"258","2008-01-10",9.6
"259","2008-01-11",9.99
"260","2008-01-14",9.99
"261","2008-01-15",9.85
"262","2008-01-16",9.5
"263","2008-01-17",9.5
"264","2008-01-18",9.2
"265","2008-01-22",9.2
"266","2008-01-23",9.85
"267","2008-01-24",10.75
"268","2008-01-25",10.75
"269","2008-01-28",10.75
