"","date","TOTAU"
"1","2018-08-02",10.13
"2","2018-08-03",10.12
"3","2018-08-06",10.13
"4","2018-08-07",10.16
"5","2018-08-08",10.21
"6","2018-08-09",10.21
"7","2018-08-10",10.17
"8","2018-08-13",10.17
"9","2018-08-14",10.14
"10","2018-08-15",10.14
"11","2018-08-16",10.14
"12","2018-08-17",10.14
"13","2018-08-20",10.18
"14","2018-08-21",10.18
"15","2018-08-22",10.23
"16","2018-08-23",10.23
"17","2018-08-24",10.23
"18","2018-08-27",10.2
"19","2018-08-28",10.21
"20","2018-08-29",10.21
"21","2018-08-30",10.22
"22","2018-08-31",10.21
"23","2018-09-04",10.23
"24","2018-09-05",10.23
"25","2018-09-06",10.23
"26","2018-09-07",10.23
"27","2018-09-10",10.23
"28","2018-09-11",10.23
"29","2018-09-12",10.28
"30","2018-09-13",10.35
"31","2018-09-14",10.4
"32","2018-09-17",10.4
"33","2018-09-18",10.4
"34","2018-09-19",10.4
"35","2018-09-20",10.45
"36","2018-09-21",11.51
"37","2018-09-24",10.75
"38","2018-09-25",10.75
"39","2018-09-26",10.35
"40","2018-09-27",10.31
"41","2018-09-28",10.38
"42","2018-10-01",10.38
"43","2018-10-02",10.38
"44","2018-10-03",10.38
"45","2018-10-04",10.33
"46","2018-10-05",10.33
"47","2018-10-08",10.31
"48","2018-10-09",10.31
"49","2018-10-10",10.31
"50","2018-10-11",10.34
"51","2018-10-12",10.34
"52","2018-10-15",10.32
"53","2018-10-16",10.35
"54","2018-10-17",10.35
"55","2018-10-18",10.35
"56","2018-10-19",10.31
"57","2018-10-22",10.28
"58","2018-10-23",10.28
"59","2018-10-24",10.28
"60","2018-10-25",10.28
"61","2018-10-26",10.28
"62","2018-10-29",10.29
"63","2018-10-30",10.25
"64","2018-10-31",10.25
"65","2018-11-01",10.28
"66","2018-11-02",10.29
"67","2018-11-05",10.29
"68","2018-11-06",10.27
"69","2018-11-07",10.18
"70","2018-11-08",10.18
"71","2018-11-09",10.18
"72","2018-11-12",10.18
"73","2018-11-13",10.18
"74","2018-11-14",10.18
"75","2018-11-15",10.2
"76","2018-11-16",10.2
"77","2018-11-19",10.2
"78","2018-11-20",10.2
"79","2018-11-21",10.2
"80","2018-11-23",10.2
"81","2018-11-26",10.28
"82","2018-11-27",10.28
"83","2018-11-28",10.28
"84","2018-11-29",10.28
"85","2018-11-30",10.21
"86","2018-12-03",10.21
"87","2018-12-04",10.2
"88","2018-12-06",10.45
"89","2018-12-07",10.45
"90","2018-12-10",10.45
"91","2018-12-11",10.45
"92","2018-12-12",10.45
"93","2018-12-13",10.03
"94","2018-12-14",10.03
"95","2018-12-17",10.03
