"","date","DIS"
"1","2007-01-03",33.7383
"2","2007-01-04",34.004654
"3","2007-01-05",33.728436
"4","2007-01-08",34.034248
"5","2007-01-09",33.984924
"6","2007-01-10",34.024384
"7","2007-01-11",34.517635
"8","2007-01-12",34.734665
"9","2007-01-16",34.557095
"10","2007-01-17",34.774124
"11","2007-01-18",35.366024
"12","2007-01-19",35.020748
"13","2007-01-22",34.675476
"14","2007-01-23",35.09967
"15","2007-01-24",34.872776
"16","2007-01-25",34.468311
"17","2007-01-26",34.083576
"18","2007-01-29",34.211819
"19","2007-01-30",34.566959
"20","2007-01-31",34.695206
"21","2007-02-01",34.537365
"22","2007-02-02",34.70507
"23","2007-02-05",34.783989
"24","2007-02-06",34.714935
"25","2007-02-07",35.001019
"26","2007-02-08",34.813583
"27","2007-02-09",33.896141
"28","2007-02-12",33.462078
"29","2007-02-13",34.123035
"30","2007-02-14",34.280876
"31","2007-02-15",34.201954
"32","2007-02-16",34.418983
"33","2007-02-20",34.576824
"34","2007-02-21",34.665611
"35","2007-02-22",34.685341
"36","2007-02-23",34.665611
"37","2007-02-26",34.636017
"38","2007-02-27",32.653149
"39","2007-02-28",33.787624
"40","2007-03-01",33.925735
"41","2007-03-02",33.491676
"42","2007-03-05",33.264778
"43","2007-03-06",33.906006
"44","2007-03-07",33.965195
"45","2007-03-08",34.221684
"46","2007-03-09",33.906006
"47","2007-03-12",33.7383
"48","2007-03-13",33.16613
"49","2007-03-14",33.274647
"50","2007-03-15",33.333836
"51","2007-03-16",33.156265
"52","2007-03-19",33.629784
"53","2007-03-20",33.915871
"54","2007-03-21",34.695206
"55","2007-03-22",34.853046
"56","2007-03-23",34.517635
"57","2007-03-26",34.74453
"58","2007-03-27",34.192089
"59","2007-03-28",33.767895
"60","2007-03-29",33.925735
"61","2007-03-30",33.965195
"62","2007-04-02",34.004654
"63","2007-04-03",34.448582
"64","2007-04-04",34.172359
"65","2007-04-05",34.438717
"66","2007-04-09",34.438717
"67","2007-04-10",34.517635
"68","2007-04-11",34.123035
"69","2007-04-12",34.201954
"70","2007-04-13",34.251282
"71","2007-04-16",34.54723
"72","2007-04-17",34.675476
"73","2007-04-18",34.448582
"74","2007-04-19",34.448582
"75","2007-04-20",34.803719
"76","2007-04-23",34.606419
"77","2007-04-24",34.438717
"78","2007-04-25",34.843182
"79","2007-04-26",34.695206
"80","2007-04-27",34.507771
"81","2007-04-30",34.507771
"82","2007-05-01",34.991154
"83","2007-05-02",35.218048
"84","2007-05-03",35.208183
"85","2007-05-04",35.366024
"86","2007-05-07",35.573189
"87","2007-05-08",36.056576
"88","2007-05-09",35.632381
"89","2007-05-10",35.208183
"90","2007-05-11",35.583054
"91","2007-05-14",35.49427
"92","2007-05-15",35.454811
"93","2007-05-16",35.523865
"94","2007-05-17",35.504135
"95","2007-05-18",35.53373
"96","2007-05-21",35.948059
"97","2007-05-22",35.780354
"98","2007-05-23",35.987518
"99","2007-05-24",35.356159
"100","2007-05-25",35.543594
