"","date","STND"
"1","2010-10-07",11.9
"2","2010-10-08",11.89
"3","2010-10-11",11.9
"4","2010-10-12",11.85
"5","2010-10-13",11.85
"6","2010-10-14",11.89
"7","2010-10-15",11.95
"8","2010-10-18",12.15
"9","2010-10-19",12.19
"10","2010-10-20",12.25
"11","2010-10-21",12.18
"12","2010-10-22",12.35
"13","2010-10-25",12.25
"14","2010-10-26",12.19
"15","2010-10-27",12.21
"16","2010-10-28",12.44
"17","2010-10-29",12.44
"18","2010-11-01",12.6
"19","2010-11-02",12.61
"20","2010-11-03",12.7
"21","2010-11-04",12.91
"22","2010-11-05",12.95
"23","2010-11-08",13.3
"24","2010-11-09",13.5
"25","2010-11-10",13.7
"26","2010-11-11",13.7
"27","2010-11-12",13.73
"28","2010-11-15",13.73
"29","2010-11-16",13.85
"30","2010-11-17",13.8
"31","2010-11-18",13.75
"32","2010-11-19",13.32
"33","2010-11-22",13.55
"34","2010-11-23",13.56
"35","2010-11-24",13.56
"36","2010-11-26",13.56
"37","2010-11-29",13.59
"38","2010-11-30",13.65
"39","2010-12-01",13.68
"40","2010-12-02",13.68
"41","2010-12-03",13.63
"42","2010-12-06",13.64
"43","2010-12-07",13.6
"44","2010-12-08",13.51
"45","2010-12-09",13.37
"46","2010-12-10",13.51
"47","2010-12-13",13.39
"48","2010-12-14",13.31
"49","2010-12-15",13.3
"50","2010-12-16",13.13
"51","2010-12-17",13
"52","2010-12-20",12.92
"53","2010-12-21",13.25
"54","2010-12-22",13.4
"55","2010-12-23",13.6
"56","2010-12-27",13.75
"57","2010-12-28",13.8
"58","2010-12-29",13.94
"59","2010-12-30",13.94
"60","2010-12-31",13.85
"61","2011-01-03",13.9
"62","2011-01-04",13.9
"63","2011-01-05",14.25
"64","2011-01-06",14.1
"65","2011-01-07",14.1
"66","2011-01-10",14.15
"67","2011-01-11",14.03
"68","2011-01-12",14.13
"69","2011-01-13",14.13
"70","2011-01-14",13.95
"71","2011-01-18",13.81
"72","2011-01-19",14.2
"73","2011-01-20",13.95
"74","2011-01-21",14.2
"75","2011-01-24",14.22
"76","2011-01-25",14.02
"77","2011-01-26",14.26
"78","2011-01-27",14.26
"79","2011-01-28",14.13
"80","2011-01-31",14.21
"81","2011-02-01",14.21
