"","date","FORTY"
"1","2007-01-03",12.72
"2","2007-01-04",12.54
"3","2007-01-05",12.02
"4","2007-01-08",11.9
"5","2007-01-09",12.1
"6","2007-01-10",11.99
"7","2007-01-11",11.65
"8","2007-01-12",11.43
"9","2007-01-16",11.58
"10","2007-01-17",11.58
"11","2007-01-18",11.45
"12","2007-01-19",11.45
"13","2007-01-22",12.15
"14","2007-01-23",12.32
"15","2007-01-24",12.32
"16","2007-01-25",12.32
"17","2007-01-26",12.25
"18","2007-01-29",12.25
"19","2007-01-30",12.25
"20","2007-01-31",12.1
"21","2007-02-01",12.1
"22","2007-02-02",12.15
"23","2007-02-05",12.15
"24","2007-02-06",12.35
"25","2007-02-07",12.5
"26","2007-02-08",12.55
"27","2007-02-09",12.2
"28","2007-02-12",12.5
"29","2007-02-13",12.6
"30","2007-02-14",12.6
"31","2007-02-15",13.12
"32","2007-02-16",13.1
"33","2007-02-20",12.95
"34","2007-02-21",13
"35","2007-02-22",13.08
"36","2007-02-23",13.08
"37","2007-02-26",12.96
"38","2007-02-27",12.73
"39","2007-02-28",13
"40","2007-03-01",12.31
"41","2007-03-02",12.72
"42","2007-03-05",12.49
"43","2007-03-06",12.23
"44","2007-03-07",12.21
"45","2007-03-08",12.21
"46","2007-03-09",12.3
"47","2007-03-12",12.61
"48","2007-03-13",12.52
"49","2007-03-14",12.5
"50","2007-03-15",12.2
"51","2007-03-16",12.21
"52","2007-03-19",12.46
"53","2007-03-20",12.46
"54","2007-03-21",12.7
"55","2007-03-22",12.64
"56","2007-03-23",12.8
"57","2007-03-26",12.5
"58","2007-03-27",12.71
"59","2007-03-28",12.71
"60","2007-03-29",12.62
"61","2007-03-30",12.62
"62","2007-04-02",12.84
"63","2007-04-03",12.84
"64","2007-04-04",13.13
"65","2007-04-05",13.05
"66","2007-04-09",13.2
"67","2007-04-10",13.4
"68","2007-04-11",13.4
"69","2007-04-12",13.46
"70","2007-04-13",13.55
"71","2007-04-16",13.66
"72","2007-04-17",13.51
"73","2007-04-18",13.2
"74","2007-04-19",12.96
"75","2007-04-20",13.34
"76","2007-04-23",13.5
"77","2007-04-24",13.65
"78","2007-04-25",13.75
"79","2007-04-26",13.95
"80","2007-04-27",13.95
"81","2007-04-30",13.98
"82","2007-05-01",14.59
"83","2007-05-02",14
"84","2007-05-03",13.9
"85","2007-05-04",13.9
"86","2007-05-07",14.25
"87","2007-05-08",14.25
"88","2007-05-09",14.22
"89","2007-05-10",14.4
"90","2007-05-11",14.5
"91","2007-05-14",14.7
"92","2007-05-15",15
"93","2007-05-16",15.27
"94","2007-05-17",14.8
"95","2007-05-18",14.9
"96","2007-05-21",14.97
"97","2007-05-22",14.99
"98","2007-05-23",15.15
"99","2007-05-24",14.75
"100","2007-05-25",14.69
"101","2007-05-29",14.4
"102","2007-05-30",14.04
"103","2007-05-31",14.04
"104","2007-06-01",14.3
"105","2007-06-04",14.42
"106","2007-06-05",14.11
"107","2007-06-06",14.04
"108","2007-06-07",13.6
"109","2007-06-08",13.79
"110","2007-06-11",14.1
"111","2007-06-12",13.54
"112","2007-06-13",13.57
"113","2007-06-14",13.55
"114","2007-06-15",13.56
"115","2007-06-18",14.25
"116","2007-06-19",13.9
"117","2007-06-20",13.9
"118","2007-06-21",13.55
"119","2007-06-22",13.4
"120","2007-06-25",13.7
"121","2007-06-26",14.65
"122","2007-06-27",14.86
"123","2007-06-28",13.81
"124","2007-06-29",14.35
"125","2007-07-02",14.45
"126","2007-07-03",14.45
"127","2007-07-05",14.64
"128","2007-07-06",14.58
"129","2007-07-09",14.58
"130","2007-07-10",14
"131","2007-07-11",14.55
"132","2007-07-12",14.58
"133","2007-07-13",14.58
"134","2007-07-16",14.59
"135","2007-07-17",14.59
"136","2007-07-18",14.42
"137","2007-07-19",14.62
"138","2007-07-20",14.62
"139","2007-07-23",14.75
"140","2007-07-24",14.35
"141","2007-07-25",14.35
"142","2007-07-26",13.73
"143","2007-07-27",13.73
"144","2007-07-30",12.25
"145","2007-07-31",12.73
"146","2007-08-01",12
"147","2007-08-02",12
"148","2007-08-03",12
"149","2007-08-06",11.78
"150","2007-08-07",12.12
"151","2007-08-08",12.7
"152","2007-08-09",12.44
"153","2007-08-10",12.44
"154","2007-08-13",12.65
"155","2007-08-14",12.65
"156","2007-08-15",12.42
"157","2007-08-16",11.83
"158","2007-08-17",12.3
"159","2007-08-20",12.55
"160","2007-08-21",12.55
"161","2007-08-22",12.64
"162","2007-08-23",12.27
"163","2007-08-24",12.29
"164","2007-08-27",12.52
"165","2007-08-28",12.52
"166","2007-08-29",13
"167","2007-08-30",13.25
"168","2007-08-31",13.06
"169","2007-09-04",13.34
"170","2007-09-05",13.34
"171","2007-09-06",13.13
"172","2007-09-07",13.13
"173","2007-09-10",13
"174","2007-09-11",12.98
"175","2007-09-12",12.98
"176","2007-09-13",12.98
"177","2007-09-14",13
"178","2007-09-17",13
"179","2007-09-18",12.93
"180","2007-09-19",12.9
"181","2007-09-20",13
"182","2007-09-21",13
"183","2007-09-24",13
"184","2007-09-25",13.65
"185","2007-09-26",13.65
"186","2007-09-27",13.66
"187","2007-09-28",13.66
"188","2007-10-01",14.1
"189","2007-10-02",14.08
"190","2007-10-03",14.08
"191","2007-10-04",13.7
"192","2007-10-05",13.7
"193","2007-10-08",14
"194","2007-10-09",13.79
"195","2007-10-10",14.6
"196","2007-10-11",15.42
"197","2007-10-12",15.41
"198","2007-10-15",14.47
"199","2007-10-16",14.47
"200","2007-10-17",14.33
"201","2007-10-18",14.15
"202","2007-10-19",14
"203","2007-10-22",13.85
"204","2007-10-23",13.7
"205","2007-10-24",13.7
"206","2007-10-25",13.7
"207","2007-10-26",13.66
"208","2007-10-29",14
"209","2007-10-30",14.02
"210","2007-10-31",14.12
"211","2007-11-01",14.19
"212","2007-11-02",14.55
"213","2007-11-05",14.55
"214","2007-11-06",14.55
"215","2007-11-07",14.55
"216","2007-11-08",14.55
"217","2007-11-09",13.36
"218","2007-11-12",13.39
"219","2007-11-13",13.57
"220","2007-11-14",13.2
"221","2007-11-15",13
"222","2007-11-16",13
"223","2007-11-19",12.85
"224","2007-11-20",12.85
"225","2007-11-21",12.85
"226","2007-11-23",13.12
"227","2007-11-26",13.12
"228","2007-11-27",12.68
"229","2007-11-28",13.4
"230","2007-11-29",14.16
"231","2007-11-30",13.96
"232","2007-12-03",13.36
"233","2007-12-04",14.07
"234","2007-12-05",14.07
"235","2007-12-06",14.25
"236","2007-12-07",14.25
"237","2007-12-10",14.25
"238","2007-12-11",13.76
"239","2007-12-12",13.4
"240","2007-12-13",13.6
"241","2007-12-14",13.6
"242","2007-12-17",13.6
"243","2007-12-18",13.6
"244","2007-12-19",12.5
"245","2007-12-20",12.2
"246","2007-12-21",12.54
"247","2007-12-24",12.95
"248","2007-12-26",12.95
"249","2007-12-27",12.56
"250","2007-12-28",12.56
"251","2007-12-31",12.35
"252","2008-01-02",12.86
"253","2008-01-03",12.86
"254","2008-01-04",13.04
"255","2008-01-07",13.04
"256","2008-01-08",12.68
"257","2008-01-09",12.84
"258","2008-01-10",12.84
"259","2008-01-11",11.75
"260","2008-01-14",11.75
"261","2008-01-15",11.45
"262","2008-01-16",11.81
"263","2008-01-17",11.05
"264","2008-01-18",11
"265","2008-01-22",10.94
"266","2008-01-23",11
"267","2008-01-24",10.9
"268","2008-01-25",10.9
"269","2008-01-28",11.5
"270","2008-01-29",12.1
"271","2008-01-30",12.26
"272","2008-01-31",12.19
"273","2008-02-01",12.35
"274","2008-02-04",12.1
"275","2008-02-05",12.12
"276","2008-02-06",12
"277","2008-02-07",12
"278","2008-02-08",12
"279","2008-02-11",12
"280","2008-02-12",12.25
"281","2008-02-13",12.2
"282","2008-02-14",12.36
"283","2008-02-15",12.36
"284","2008-02-19",12.85
"285","2008-02-20",12.85
"286","2008-02-21",12.77
"287","2008-02-22",12.77
"288","2008-02-25",12.77
"289","2008-02-26",12.77
"290","2008-02-27",12.77
"291","2008-02-28",12.77
"292","2008-02-29",12.77
"293","2008-03-03",12.25
"294","2008-03-04",11.7
"295","2008-03-05",11.65
"296","2008-03-06",12
"297","2008-03-07",12
"298","2008-03-10",11.16
"299","2008-03-11",11.9
"300","2008-03-12",12.15
"301","2008-03-13",12.15
"302","2008-03-14",12.15
"303","2008-03-17",12
"304","2008-03-18",11.4
"305","2008-03-19",12.45
"306","2008-03-20",12.75
"307","2008-03-24",13.56
"308","2008-03-25",13.91
"309","2008-03-26",14.14
"310","2008-03-27",13.6
"311","2008-03-28",13.6
"312","2008-03-31",13.6
"313","2008-04-01",13.6
