"","date","CHCT"
"1","2015-05-20",19
"2","2015-05-21",19.75
"3","2015-05-22",20.049999
"4","2015-05-26",20.15
"5","2015-05-27",20.1
"6","2015-05-28",19.65
"7","2015-05-29",19.6
"8","2015-06-01",19.35
"9","2015-06-02",19.91
"10","2015-06-03",19.799999
"11","2015-06-04",19.4
"12","2015-06-05",19.07
"13","2015-06-08",18.629999
"14","2015-06-09",18.66
"15","2015-06-10",18.799999
"16","2015-06-11",18.700001
"17","2015-06-12",19.040001
"18","2015-06-15",19.030001
"19","2015-06-16",18.959999
"20","2015-06-17",19.040001
"21","2015-06-18",18.99
"22","2015-06-19",19.17
"23","2015-06-22",19.07
"24","2015-06-23",19.18
"25","2015-06-24",19.110001
"26","2015-06-25",19.049999
"27","2015-06-26",19.360001
"28","2015-06-29",19.07
"29","2015-06-30",19.25
"30","2015-07-01",19.07
"31","2015-07-02",19.09
"32","2015-07-06",19.120001
"33","2015-07-07",19.07
"34","2015-07-08",19.139999
"35","2015-07-09",19.01
"36","2015-07-10",19.02
"37","2015-07-13",18.99
"38","2015-07-14",19.02
"39","2015-07-15",19.049999
"40","2015-07-16",18.99
"41","2015-07-17",19.01
"42","2015-07-20",19
"43","2015-07-21",19.09
"44","2015-07-22",18.99
"45","2015-07-23",18.99
"46","2015-07-24",19.01
"47","2015-07-27",18.790001
"48","2015-07-28",18.959999
"49","2015-07-29",18.43
"50","2015-07-30",18.49
"51","2015-07-31",18.870001
"52","2015-08-03",18.82
"53","2015-08-04",18.790001
"54","2015-08-05",18.73
"55","2015-08-06",18.35
"56","2015-08-07",18.219999
"57","2015-08-10",18.15
"58","2015-08-11",17.9
"59","2015-08-12",18.09
"60","2015-08-13",18.049999
"61","2015-08-14",18.07
"62","2015-08-17",18
"63","2015-08-18",17.959999
"64","2015-08-19",17.860001
"65","2015-08-20",17.92
"66","2015-08-21",17.969999
"67","2015-08-24",17.879999
"68","2015-08-25",17.959999
"69","2015-08-26",17.84
"70","2015-08-27",18
"71","2015-08-28",18.02
"72","2015-08-31",18.09
"73","2015-09-01",18
"74","2015-09-02",18.02
"75","2015-09-03",18.209999
"76","2015-09-04",18.049999
"77","2015-09-08",18.049999
"78","2015-09-09",17.73
"79","2015-09-10",18.02
"80","2015-09-11",17.82
"81","2015-09-14",17.9
"82","2015-09-15",17.959999
"83","2015-09-16",17.25
"84","2015-09-17",17.290001
"85","2015-09-18",16.93
"86","2015-09-21",16.68
"87","2015-09-22",16.68
"88","2015-09-23",17.02
"89","2015-09-24",17.08
"90","2015-09-25",16.43
"91","2015-09-28",16.450001
"92","2015-09-29",16.190001
"93","2015-09-30",15.9
"94","2015-10-01",16
"95","2015-10-02",15.98
"96","2015-10-05",16.25
"97","2015-10-06",16.52
"98","2015-10-07",17.459999
"99","2015-10-08",17.82
"100","2015-10-09",17.9
"101","2015-10-12",17.959999
"102","2015-10-13",18.049999
"103","2015-10-14",18.110001
"104","2015-10-15",18.6
"105","2015-10-16",18.610001
"106","2015-10-19",18.940001
"107","2015-10-20",18.700001
"108","2015-10-21",18.92
"109","2015-10-22",18.219999
"110","2015-10-23",18.5
"111","2015-10-26",18.49
"112","2015-10-27",18.51
"113","2015-10-28",18.4
"114","2015-10-29",18.209999
"115","2015-10-30",18.309999
"116","2015-11-02",18.51
"117","2015-11-03",18.379999
"118","2015-11-04",18.379999
"119","2015-11-05",18.309999
"120","2015-11-06",18.26
"121","2015-11-09",18.280001
"122","2015-11-10",18.49
"123","2015-11-11",18.25
"124","2015-11-12",18.1
"125","2015-11-13",18
"126","2015-11-16",18.299999
"127","2015-11-17",18.639999
"128","2015-11-18",18.450001
"129","2015-11-19",18.639999
"130","2015-11-20",18.1
"131","2015-11-23",18.1
"132","2015-11-24",18.200001
"133","2015-11-25",18.68
"134","2015-11-27",19
"135","2015-11-30",18.719999
"136","2015-12-01",18.790001
"137","2015-12-02",18.6
"138","2015-12-03",18.35
"139","2015-12-04",18.59
"140","2015-12-07",18.299999
"141","2015-12-08",18.27
"142","2015-12-09",18.15
