"","date","CIDM"
"1","2007-01-03",87
"2","2007-01-04",89.900002
"3","2007-01-05",87
"4","2007-01-08",85.900002
"5","2007-01-09",84.800003
"6","2007-01-10",83
"7","2007-01-11",86.400002
"8","2007-01-12",85
"9","2007-01-16",83.099998
"10","2007-01-17",84.699997
"11","2007-01-18",84
"12","2007-01-19",86.900002
"13","2007-01-22",85.5
"14","2007-01-23",82.300003
"15","2007-01-24",85.599998
"16","2007-01-25",87.400002
"17","2007-01-26",86.599998
"18","2007-01-29",85.300003
"19","2007-01-30",87.699997
"20","2007-01-31",92.300003
"21","2007-02-01",90.099998
"22","2007-02-02",89.599998
"23","2007-02-05",88.300003
"24","2007-02-06",85.699997
"25","2007-02-07",81.400002
"26","2007-02-08",82.400002
"27","2007-02-09",80.800003
"28","2007-02-12",76.699997
"29","2007-02-13",75.400002
"30","2007-02-14",73.400002
"31","2007-02-15",73.5
"32","2007-02-16",74.900002
"33","2007-02-20",78.800003
"34","2007-02-21",73.099998
"35","2007-02-22",73.099998
"36","2007-02-23",73.099998
"37","2007-02-26",72.900002
"38","2007-02-27",70
"39","2007-02-28",66.5
"40","2007-03-01",63.900002
"41","2007-03-02",62.400002
"42","2007-03-05",61.400002
"43","2007-03-06",63.200001
"44","2007-03-07",60.799999
"45","2007-03-08",59.5
"46","2007-03-09",58.099998
"47","2007-03-12",58.299999
"48","2007-03-13",59.400002
"49","2007-03-14",64.099998
"50","2007-03-15",62.900002
"51","2007-03-16",66.900002
"52","2007-03-19",61.200001
"53","2007-03-20",59
"54","2007-03-21",61.900002
"55","2007-03-22",61.200001
"56","2007-03-23",59.299999
"57","2007-03-26",55.599998
"58","2007-03-27",54.700001
"59","2007-03-28",54.400002
"60","2007-03-29",53.599998
"61","2007-03-30",54.299999
"62","2007-04-02",55
"63","2007-04-03",57
"64","2007-04-04",58.900002
"65","2007-04-05",59.099998
"66","2007-04-09",63
"67","2007-04-10",65.199997
"68","2007-04-11",62.599998
"69","2007-04-12",64.199997
"70","2007-04-13",64.900002
"71","2007-04-16",67.5
"72","2007-04-17",66.400002
"73","2007-04-18",64.900002
"74","2007-04-19",65.599998
"75","2007-04-20",67.099998
"76","2007-04-23",65.199997
"77","2007-04-24",64.800003
"78","2007-04-25",63.700001
"79","2007-04-26",62.799999
"80","2007-04-27",62.5
"81","2007-04-30",62
"82","2007-05-01",64.900002
"83","2007-05-02",66.099998
"84","2007-05-03",63.5
"85","2007-05-04",63.599998
"86","2007-05-07",62.700001
"87","2007-05-08",62.700001
"88","2007-05-09",62.599998
"89","2007-05-10",61
"90","2007-05-11",60.599998
"91","2007-05-14",59.5
"92","2007-05-15",56.5
"93","2007-05-16",58.599998
"94","2007-05-17",60.200001
"95","2007-05-18",60.099998
"96","2007-05-21",61
"97","2007-05-22",61
"98","2007-05-23",62.200001
"99","2007-05-24",65.099998
"100","2007-05-25",68.199997
"101","2007-05-29",72.300003
"102","2007-05-30",70.5
"103","2007-05-31",71.699997
"104","2007-06-01",69.900002
"105","2007-06-04",68.5
"106","2007-06-05",67
"107","2007-06-06",67.300003
"108","2007-06-07",66.599998
"109","2007-06-08",68.400002
"110","2007-06-11",68.800003
"111","2007-06-12",66.300003
"112","2007-06-13",66.5
"113","2007-06-14",68.5
"114","2007-06-15",68.5
"115","2007-06-18",68.5
"116","2007-06-19",68.5
"117","2007-06-20",70
"118","2007-06-21",75.5
"119","2007-06-22",76
"120","2007-06-25",75.5
"121","2007-06-26",79.900002
"122","2007-06-27",85.099998
"123","2007-06-28",82.199997
"124","2007-06-29",80.900002
"125","2007-07-02",81.199997
"126","2007-07-03",86.599998
"127","2007-07-05",83.5
"128","2007-07-06",85
"129","2007-07-09",84.400002
"130","2007-07-10",85.400002
"131","2007-07-11",90.400002
"132","2007-07-12",90
"133","2007-07-13",90.199997
"134","2007-07-16",93.699997
"135","2007-07-17",94.400002
