"","date","SWX"
"1","2007-01-03",38.650002
"2","2007-01-04",38.970001
"3","2007-01-05",37.73
"4","2007-01-08",37.740002
"5","2007-01-09",37.950001
"6","2007-01-10",37.630001
"7","2007-01-11",38.610001
"8","2007-01-12",38.939999
"9","2007-01-16",38.57
"10","2007-01-17",38.18
"11","2007-01-18",37.860001
"12","2007-01-19",37.919998
"13","2007-01-22",37.889999
"14","2007-01-23",38.82
"15","2007-01-24",38.860001
"16","2007-01-25",38.32
"17","2007-01-26",38.369999
"18","2007-01-29",38.580002
"19","2007-01-30",39.189999
"20","2007-01-31",39.25
"21","2007-02-01",39.68
"22","2007-02-02",39.139999
"23","2007-02-05",38.970001
"24","2007-02-06",39.27
"25","2007-02-07",39.580002
"26","2007-02-08",39.419998
"27","2007-02-09",39.200001
"28","2007-02-12",39.279999
"29","2007-02-13",39.619999
"30","2007-02-14",39.049999
"31","2007-02-15",38.799999
"32","2007-02-16",38.639999
"33","2007-02-20",38.900002
"34","2007-02-21",38.84
"35","2007-02-22",39.099998
"36","2007-02-23",38.52
"37","2007-02-26",38.799999
"38","2007-02-27",37.360001
"39","2007-02-28",37.119999
"40","2007-03-01",37.029999
"41","2007-03-02",36.299999
"42","2007-03-05",35.599998
"43","2007-03-06",36.490002
"44","2007-03-07",36.529999
"45","2007-03-08",36.529999
"46","2007-03-09",36.790001
"47","2007-03-12",37.720001
"48","2007-03-13",36.869999
"49","2007-03-14",37.34
"50","2007-03-15",38
"51","2007-03-16",37.540001
"52","2007-03-19",38.43
"53","2007-03-20",38.650002
"54","2007-03-21",39.25
"55","2007-03-22",39.049999
"56","2007-03-23",38.959999
"57","2007-03-26",38.959999
"58","2007-03-27",38.759998
"59","2007-03-28",38.790001
"60","2007-03-29",39.09
"61","2007-03-30",38.869999
"62","2007-04-02",39.299999
"63","2007-04-03",39.139999
"64","2007-04-04",39.009998
"65","2007-04-05",38.98
"66","2007-04-09",38.810001
"67","2007-04-10",39.27
"68","2007-04-11",38.93
"69","2007-04-12",39.130001
"70","2007-04-13",38.970001
"71","2007-04-16",38.799999
"72","2007-04-17",38.779999
"73","2007-04-18",38.349998
"74","2007-04-19",38.130001
"75","2007-04-20",38.860001
"76","2007-04-23",39.040001
"77","2007-04-24",38.959999
"78","2007-04-25",39.630001
"79","2007-04-26",39.43
"80","2007-04-27",39.290001
"81","2007-04-30",37.889999
"82","2007-05-01",37.990002
"83","2007-05-02",39.02
"84","2007-05-03",38.48
"85","2007-05-04",39.009998
"86","2007-05-07",39.09
"87","2007-05-08",38.560001
"88","2007-05-09",38.540001
"89","2007-05-10",37.459999
"90","2007-05-11",37.93
"91","2007-05-14",37.619999
"92","2007-05-15",38.490002
"93","2007-05-16",39.049999
"94","2007-05-17",38.560001
"95","2007-05-18",39.110001
"96","2007-05-21",39.240002
"97","2007-05-22",39.049999
"98","2007-05-23",38.869999
"99","2007-05-24",37.799999
"100","2007-05-25",37.669998
"101","2007-05-29",38.630001
"102","2007-05-30",38.91
"103","2007-05-31",38.16
"104","2007-06-01",38.080002
"105","2007-06-04",38.419998
"106","2007-06-05",37.290001
"107","2007-06-06",37.080002
"108","2007-06-07",35.52
"109","2007-06-08",35.849998
