"","date","CBPO"
"1","2008-01-29",5.5
"2","2008-01-30",5.5
"3","2008-01-31",4.5
"4","2008-02-01",4.5
"5","2008-02-04",4.5
"6","2008-02-05",3.75
"7","2008-02-06",4.01
"8","2008-02-07",5.26
"9","2008-02-08",5
"10","2008-02-11",5
"11","2008-02-12",4.75
"12","2008-02-13",5.2
"13","2008-02-14",5.18
"14","2008-02-15",5
"15","2008-02-19",5.25
"16","2008-02-20",5.05
"17","2008-02-21",5
"18","2008-02-22",4.99
"19","2008-02-25",4.99
"20","2008-02-26",4.95
"21","2008-02-27",5
"22","2008-02-28",4.9
"23","2008-02-29",5.85
"24","2008-03-03",5.85
"25","2008-03-04",5.15
"26","2008-03-05",5.15
"27","2008-03-06",5.15
"28","2008-03-07",5.15
"29","2008-03-10",5.15
"30","2008-03-11",4.9
"31","2008-03-12",4.9
"32","2008-03-13",4.9
"33","2008-03-14",4.9
"34","2008-03-17",4.9
"35","2008-03-18",4.9
"36","2008-03-19",4.7
"37","2008-03-20",4.7
"38","2008-03-24",4.5
"39","2008-03-25",4.15
"40","2008-03-26",4.25
"41","2008-03-27",4.2
"42","2008-03-28",3.5
"43","2008-03-31",3.3
"44","2008-04-01",3.4
"45","2008-04-02",3.5
"46","2008-04-03",3.85
"47","2008-04-04",3.99
"48","2008-04-07",4.32
"49","2008-04-08",4.2
"50","2008-04-09",4.3
"51","2008-04-10",4.3
"52","2008-04-11",4.3
"53","2008-04-14",4.3
"54","2008-04-15",4.22
"55","2008-04-16",3.9
"56","2008-04-17",3.9
"57","2008-04-18",3.9
"58","2008-04-21",3.9
"59","2008-04-22",3.9
"60","2008-04-23",3.9
"61","2008-04-24",3.9
"62","2008-04-25",3.9
"63","2008-04-28",3.39
"64","2008-04-29",3.39
"65","2008-04-30",3.4
"66","2008-05-01",3.4
"67","2008-05-02",3.4
"68","2008-05-05",3.4
"69","2008-05-06",3.38
"70","2008-05-07",3.38
"71","2008-05-08",3.38
"72","2008-05-09",3
"73","2008-05-12",3
"74","2008-05-13",2.95
"75","2008-05-14",3.05
"76","2008-05-15",3.1
"77","2008-05-16",3.1
"78","2008-05-19",3.25
"79","2008-05-20",3.25
"80","2008-05-21",3.25
"81","2008-05-22",3.3
"82","2008-05-23",3
"83","2008-05-27",3
"84","2008-05-28",3
"85","2008-05-29",2.9
"86","2008-05-30",2.76
