"","date","IIVI"
"1","2007-01-03",14.62
"2","2007-01-04",14.7
"3","2007-01-05",14.38
"4","2007-01-08",14.645
"5","2007-01-09",14.5
"6","2007-01-10",14.555
"7","2007-01-11",14.63
"8","2007-01-12",14.605
"9","2007-01-16",14.39
"10","2007-01-17",14.57
"11","2007-01-18",14.41
"12","2007-01-19",14.42
"13","2007-01-22",14.275
"14","2007-01-23",14.695
"15","2007-01-24",15.38
"16","2007-01-25",14.81
"17","2007-01-26",14.79
"18","2007-01-29",15.035
"19","2007-01-30",15.475
"20","2007-01-31",15.02
"21","2007-02-01",15.245
"22","2007-02-02",15.18
"23","2007-02-05",15.595
"24","2007-02-06",15.735
"25","2007-02-07",16.059999
"26","2007-02-08",16.315001
"27","2007-02-09",15.98
"28","2007-02-12",16.305
"29","2007-02-13",16.370001
"30","2007-02-14",15.985
"31","2007-02-15",16.485001
"32","2007-02-16",16.495001
"33","2007-02-20",16.639999
"34","2007-02-21",16.690001
"35","2007-02-22",16.620001
"36","2007-02-23",16.695
"37","2007-02-26",16.875
"38","2007-02-27",15.645
"39","2007-02-28",15.46
"40","2007-03-01",15.425
"41","2007-03-02",14.935
"42","2007-03-05",14.6
"43","2007-03-06",15.18
"44","2007-03-07",15.315
"45","2007-03-08",15.52
"46","2007-03-09",15.735
"47","2007-03-12",15.975
"48","2007-03-13",15.705
"49","2007-03-14",15.93
"50","2007-03-15",15.98
"51","2007-03-16",16.025
"52","2007-03-19",16.33
"53","2007-03-20",16.155001
"54","2007-03-21",16.385
"55","2007-03-22",16.57
"56","2007-03-23",16.549999
"57","2007-03-26",16.74
"58","2007-03-27",16.66
"59","2007-03-28",16.639999
"60","2007-03-29",16.690001
"61","2007-03-30",16.924999
"62","2007-04-02",16.885
"63","2007-04-03",16.875
"64","2007-04-04",16.950001
"65","2007-04-05",17.155001
"66","2007-04-09",17.040001
"67","2007-04-10",17.115
"68","2007-04-11",17.105
"69","2007-04-12",17.205
"70","2007-04-13",17.495001
"71","2007-04-16",17.705
"72","2007-04-17",17.690001
"73","2007-04-18",17.530001
"74","2007-04-19",17.549999
"75","2007-04-20",18.004999
"76","2007-04-23",18.040001
"77","2007-04-24",14.53
"78","2007-04-25",14.535
"79","2007-04-26",14.99
"80","2007-04-27",14.88
"81","2007-04-30",13.545
"82","2007-05-01",13.565
"83","2007-05-02",13.96
"84","2007-05-03",13.675
"85","2007-05-04",14.155
"86","2007-05-07",14.45
"87","2007-05-08",14.555
"88","2007-05-09",14.855
"89","2007-05-10",14.34
"90","2007-05-11",14.605
"91","2007-05-14",14.255
"92","2007-05-15",13.985
"93","2007-05-16",14.15
"94","2007-05-17",13.93
"95","2007-05-18",14.205
"96","2007-05-21",14.19
"97","2007-05-22",14.205
"98","2007-05-23",14.175
"99","2007-05-24",13.74
"100","2007-05-25",13.85
"101","2007-05-29",13.945
"102","2007-05-30",13.945
"103","2007-05-31",13.875
"104","2007-06-01",14.155
"105","2007-06-04",14.185
"106","2007-06-05",14.065
"107","2007-06-06",13.89
"108","2007-06-07",13.605
"109","2007-06-08",13.91
"110","2007-06-11",13.64
"111","2007-06-12",13.48
"112","2007-06-13",13.415
"113","2007-06-14",13.65
"114","2007-06-15",13.945
"115","2007-06-18",13.94
"116","2007-06-19",13.805
"117","2007-06-20",13.595
"118","2007-06-21",13.555
"119","2007-06-22",13.34
"120","2007-06-25",13.11
"121","2007-06-26",13.125
"122","2007-06-27",13.24
"123","2007-06-28",13.44
"124","2007-06-29",13.585
"125","2007-07-02",13.87
"126","2007-07-03",13.83
"127","2007-07-05",13.85
"128","2007-07-06",13.87
