"","date","TSQ"
"1","2014-07-24",10.25
"2","2014-07-25",10.5
"3","2014-07-28",10.7
"4","2014-07-29",10.7
"5","2014-07-30",10.85
"6","2014-07-31",10.95
"7","2014-08-01",10.93
"8","2014-08-04",10.93
"9","2014-08-05",10.97
"10","2014-08-06",10.98
"11","2014-08-07",10.91
"12","2014-08-08",10.9
"13","2014-08-11",10.9
"14","2014-08-12",10.9
"15","2014-08-13",10.87
"16","2014-08-14",10.92
"17","2014-08-15",11.19
"18","2014-08-18",11.26
"19","2014-08-19",11.31
"20","2014-08-20",11.4
"21","2014-08-21",11.4
"22","2014-08-22",11.33
"23","2014-08-25",11.35
"24","2014-08-26",11.39
"25","2014-08-27",11.29
"26","2014-08-28",11.25
"27","2014-08-29",11.35
"28","2014-09-02",11.36
"29","2014-09-03",11.39
"30","2014-09-04",11.16
"31","2014-09-05",10.99
"32","2014-09-08",11.12
"33","2014-09-09",11.48
"34","2014-09-10",11.29
"35","2014-09-11",11.49
"36","2014-09-12",11.12
"37","2014-09-15",11.17
"38","2014-09-16",11.34
"39","2014-09-17",11.43
"40","2014-09-18",11.66
"41","2014-09-19",11.44
"42","2014-09-22",11.62
"43","2014-09-23",11.75
"44","2014-09-24",12.3
"45","2014-09-25",12.1
"46","2014-09-26",12
"47","2014-09-29",12.04
"48","2014-09-30",12.02
"49","2014-10-01",11.93
"50","2014-10-02",12.23
"51","2014-10-03",12.48
"52","2014-10-06",12.21
"53","2014-10-07",12.47
"54","2014-10-08",12.3
"55","2014-10-09",12.21
"56","2014-10-10",12.35
"57","2014-10-13",12.22
"58","2014-10-14",12.41
"59","2014-10-15",12.3
"60","2014-10-16",12.33
"61","2014-10-17",12.33
"62","2014-10-20",12.55
"63","2014-10-21",12.68
"64","2014-10-22",12.48
"65","2014-10-23",12.55
"66","2014-10-24",12.47
"67","2014-10-27",12.35
"68","2014-10-28",12.39
"69","2014-10-29",12.3
"70","2014-10-30",12.49
"71","2014-10-31",12.61
"72","2014-11-03",12.57
"73","2014-11-04",12.59
"74","2014-11-05",12.73
"75","2014-11-06",12.49
"76","2014-11-07",12.58
"77","2014-11-10",12.5
"78","2014-11-11",12.4
"79","2014-11-12",12.32
"80","2014-11-13",12.52
"81","2014-11-14",12.42
"82","2014-11-17",12.33
"83","2014-11-18",12.34
"84","2014-11-19",12.3
"85","2014-11-20",12.32
"86","2014-11-21",12.31
"87","2014-11-24",12.25
"88","2014-11-25",12.3
"89","2014-11-26",12.49
"90","2014-11-28",12.48
"91","2014-12-01",12.41
"92","2014-12-02",12.42
"93","2014-12-03",12.42
"94","2014-12-04",12.31
"95","2014-12-05",12.32
"96","2014-12-08",12.29
"97","2014-12-09",12.49
"98","2014-12-10",12.41
"99","2014-12-11",12.26
"100","2014-12-12",12.19
"101","2014-12-15",11.94
"102","2014-12-16",12.07
"103","2014-12-17",12.77
"104","2014-12-18",13.01
"105","2014-12-19",13.21
"106","2014-12-22",13.61
"107","2014-12-23",13.6
"108","2014-12-24",13.71
"109","2014-12-26",13.39
"110","2014-12-29",13.07
"111","2014-12-30",12.99
"112","2014-12-31",13.2
"113","2015-01-02",13.12
"114","2015-01-05",12.74
"115","2015-01-06",12.75
"116","2015-01-07",12.69
"117","2015-01-08",12.99
"118","2015-01-09",12.76
"119","2015-01-12",12.62
"120","2015-01-13",12.71
"121","2015-01-14",12.68
"122","2015-01-15",12.52
"123","2015-01-16",12.67
"124","2015-01-20",13.05
"125","2015-01-21",13.4
"126","2015-01-22",13.4
"127","2015-01-23",13.13
"128","2015-01-26",12.76
"129","2015-01-27",12.63
"130","2015-01-28",12.33
"131","2015-01-29",12.02
"132","2015-01-30",12.14
"133","2015-02-02",12.4
"134","2015-02-03",12.77
"135","2015-02-04",12.67
"136","2015-02-05",12.69
"137","2015-02-06",12.55
"138","2015-02-09",12.56
"139","2015-02-10",12.19
"140","2015-02-11",12.25
"141","2015-02-12",12.49
"142","2015-02-13",12.82
"143","2015-02-17",13.11
"144","2015-02-18",13.05
"145","2015-02-19",12.95
"146","2015-02-20",12.73
"147","2015-02-23",13.01
"148","2015-02-24",13.45
"149","2015-02-25",13.1
"150","2015-02-26",12.92
"151","2015-02-27",13.23
"152","2015-03-02",13.7
"153","2015-03-03",13.58
"154","2015-03-04",13.7
"155","2015-03-05",14.26
"156","2015-03-06",14.09
"157","2015-03-09",13.77
"158","2015-03-10",13.44
"159","2015-03-11",13.05
"160","2015-03-12",13.37
"161","2015-03-13",13.55
"162","2015-03-16",13.46
"163","2015-03-17",13.48
"164","2015-03-18",13.42
"165","2015-03-19",13.39
"166","2015-03-20",13.94
"167","2015-03-23",13.84
"168","2015-03-24",13.8
"169","2015-03-25",13.47
"170","2015-03-26",12.96
"171","2015-03-27",12.98
"172","2015-03-30",13.03
"173","2015-03-31",12.85
"174","2015-04-01",13.04
"175","2015-04-02",13.26
"176","2015-04-06",13.71
"177","2015-04-07",13.83
"178","2015-04-08",13.58
"179","2015-04-09",13.3
"180","2015-04-10",13.42
"181","2015-04-13",13.54
"182","2015-04-14",13.7
"183","2015-04-15",13.7
"184","2015-04-16",13.69
"185","2015-04-17",13.87
"186","2015-04-20",14.01
"187","2015-04-21",13.86
"188","2015-04-22",13.85
"189","2015-04-23",14.01
"190","2015-04-24",14.12
"191","2015-04-27",14.21
"192","2015-04-28",13.55
"193","2015-04-29",13.91
"194","2015-04-30",13.66
"195","2015-05-01",13.54
"196","2015-05-04",13.44
"197","2015-05-05",13.01
"198","2015-05-06",12.88
"199","2015-05-07",13.26
"200","2015-05-08",12.93
"201","2015-05-11",12.4
"202","2015-05-12",12.59
"203","2015-05-13",12.57
"204","2015-05-14",12.73
"205","2015-05-15",12.43
"206","2015-05-18",12.4
"207","2015-05-19",12.53
"208","2015-05-20",12.51
"209","2015-05-21",12.53
"210","2015-05-22",12.62
"211","2015-05-26",13.04
"212","2015-05-27",13.37
"213","2015-05-28",13.05
"214","2015-05-29",13.07
"215","2015-06-01",13.35
"216","2015-06-02",13.39
"217","2015-06-03",13.3
"218","2015-06-04",13.2
"219","2015-06-05",13.38
"220","2015-06-08",13.16
"221","2015-06-09",12.85
"222","2015-06-10",13.16
"223","2015-06-11",13.02
"224","2015-06-12",13.06
"225","2015-06-15",12.77
"226","2015-06-16",12.71
"227","2015-06-17",12.8
"228","2015-06-18",13.45
"229","2015-06-19",13.19
"230","2015-06-22",13.12
"231","2015-06-23",13.67
"232","2015-06-24",13.54
"233","2015-06-25",13.49
"234","2015-06-26",13.85
"235","2015-06-29",13.55
"236","2015-06-30",13.58
"237","2015-07-01",13.24
"238","2015-07-02",13.67
"239","2015-07-06",13.35
"240","2015-07-07",13.25
"241","2015-07-08",13.17
"242","2015-07-09",13.1
"243","2015-07-10",13.24
"244","2015-07-13",13.63
"245","2015-07-14",13.85
"246","2015-07-15",13.93
"247","2015-07-16",13.82
"248","2015-07-17",13.98
"249","2015-07-20",13.96
"250","2015-07-21",13.78
"251","2015-07-22",13.77
"252","2015-07-23",13.63
"253","2015-07-24",13.71
"254","2015-07-27",13.08
"255","2015-07-28",13
"256","2015-07-29",12.98
"257","2015-07-30",12.95
