"","date","SMIT"
"1","2007-01-03",7.36
"2","2007-01-04",7.2
"3","2007-01-05",7.25
"4","2007-01-08",7.25
"5","2007-01-09",7.15
"6","2007-01-10",7.16
"7","2007-01-11",7.15
"8","2007-01-12",7.15
"9","2007-01-16",7.23
"10","2007-01-17",7.31
"11","2007-01-18",7.23
"12","2007-01-19",7.25
"13","2007-01-22",7.28
"14","2007-01-23",7.23
"15","2007-01-24",7.08
"16","2007-01-25",7.15
"17","2007-01-26",7.21
"18","2007-01-29",7.4
"19","2007-01-30",7.4
"20","2007-01-31",7.46
"21","2007-02-01",7.5
"22","2007-02-02",7.61
"23","2007-02-05",7.62
"24","2007-02-06",7.52
"25","2007-02-07",7.42
"26","2007-02-08",7.6
"27","2007-02-09",7.56
"28","2007-02-12",7.49
"29","2007-02-13",7.63
"30","2007-02-14",7.63
"31","2007-02-15",7.33
"32","2007-02-16",7.51
"33","2007-02-20",7.47
"34","2007-02-21",7.6
"35","2007-02-22",7.6
"36","2007-02-23",7.6
"37","2007-02-26",7.82
"38","2007-02-27",7.64
"39","2007-02-28",7.66
"40","2007-03-01",7.65
"41","2007-03-02",7.85
"42","2007-03-05",7.75
"43","2007-03-06",7.75
"44","2007-03-07",7.66
"45","2007-03-08",7.65
"46","2007-03-09",7.58
"47","2007-03-12",7.52
"48","2007-03-13",7.57
"49","2007-03-14",7.59
"50","2007-03-15",7.55
"51","2007-03-16",7.59
"52","2007-03-19",7.53
"53","2007-03-20",7.6
"54","2007-03-21",7.6
"55","2007-03-22",7.54
"56","2007-03-23",7.69
"57","2007-03-26",7.62
"58","2007-03-27",7.5
"59","2007-03-28",7.48
"60","2007-03-29",7.5
"61","2007-03-30",7.62
"62","2007-04-02",7.8
"63","2007-04-03",7.66
"64","2007-04-04",7.52
"65","2007-04-05",7.68
"66","2007-04-09",7.85
"67","2007-04-10",7.86
"68","2007-04-11",7.98
"69","2007-04-12",7.99
"70","2007-04-13",7.91
"71","2007-04-16",7.93
"72","2007-04-17",7.99
