"","date","GWRS"
"1","2016-04-28",6.25
"2","2016-04-29",6.4
"3","2016-05-02",6.37
"4","2016-05-03",6.39
"5","2016-05-04",6.49
"6","2016-05-05",7
"7","2016-05-06",7.04
"8","2016-05-09",7.2
"9","2016-05-10",7.1
"10","2016-05-11",7.05
"11","2016-05-12",7.12
"12","2016-05-13",7.1
"13","2016-05-16",7.35
"14","2016-05-17",7.27
"15","2016-05-18",7.5
"16","2016-05-19",7.18
"17","2016-05-20",7.5
"18","2016-05-23",7.44
"19","2016-05-24",7.46
"20","2016-05-25",7.29
"21","2016-05-26",7.45
"22","2016-05-27",7.26
"23","2016-05-31",7.35
"24","2016-06-01",7.08
"25","2016-06-02",7.15
"26","2016-06-03",7.4
"27","2016-06-06",7.15
"28","2016-06-07",7.14
"29","2016-06-08",7.45
"30","2016-06-09",7.15
"31","2016-06-10",7.29
"32","2016-06-13",7.62
"33","2016-06-14",7.5
"34","2016-06-15",7.5
"35","2016-06-16",7.28
"36","2016-06-17",7.23
"37","2016-06-20",7.56
"38","2016-06-21",7.62
"39","2016-06-22",7.88
"40","2016-06-23",7.96
"41","2016-06-24",8.06
"42","2016-06-27",7.99
"43","2016-06-28",8.16
"44","2016-06-29",8.42
"45","2016-06-30",8.8
"46","2016-07-01",8.86
"47","2016-07-05",8.98
"48","2016-07-06",8.97
"49","2016-07-07",8.87
"50","2016-07-08",8.91
"51","2016-07-11",8.86
"52","2016-07-12",8.91
"53","2016-07-13",9
"54","2016-07-14",9.08
"55","2016-07-15",9
"56","2016-07-18",9.06
"57","2016-07-19",8.97
"58","2016-07-20",8.89
"59","2016-07-21",8.81
"60","2016-07-22",8.63
"61","2016-07-25",8.7
"62","2016-07-26",8.42
"63","2016-07-27",8.51
"64","2016-07-28",8.43
"65","2016-07-29",8.46
"66","2016-08-01",8.46
"67","2016-08-02",8.35
"68","2016-08-03",8.17
"69","2016-08-04",7.48
"70","2016-08-05",7.67
"71","2016-08-08",7.75
"72","2016-08-09",7.94
"73","2016-08-10",7.91
"74","2016-08-11",8.09
"75","2016-08-12",8.34
"76","2016-08-15",7.99
"77","2016-08-16",7.99
"78","2016-08-17",8.23
"79","2016-08-18",8.26
"80","2016-08-19",8.21
"81","2016-08-22",8.22
"82","2016-08-23",8.33
"83","2016-08-24",8.1
"84","2016-08-25",8
"85","2016-08-26",7.88
"86","2016-08-29",7.89
"87","2016-08-30",7.98
"88","2016-08-31",7.98
"89","2016-09-01",8
"90","2016-09-02",7.97
"91","2016-09-06",7.95
"92","2016-09-07",7.92
"93","2016-09-08",7.88
"94","2016-09-09",7.69
"95","2016-09-12",7.81
"96","2016-09-13",7.67
"97","2016-09-14",7.85
"98","2016-09-15",7.95
"99","2016-09-16",7.98
"100","2016-09-19",8.01
"101","2016-09-20",8.02
"102","2016-09-21",8.02
"103","2016-09-22",8
"104","2016-09-23",7.89
"105","2016-09-26",7.9
"106","2016-09-27",7.99
"107","2016-09-28",7.96
"108","2016-09-29",7.62
"109","2016-09-30",8.01
"110","2016-10-03",7.95
"111","2016-10-04",7.66
"112","2016-10-05",7.83
"113","2016-10-06",7.72
"114","2016-10-07",7.71
"115","2016-10-10",7.92
"116","2016-10-11",7.79
"117","2016-10-12",7.78
"118","2016-10-13",7.72
"119","2016-10-14",7.84
"120","2016-10-17",7.8
"121","2016-10-18",7.79
"122","2016-10-19",7.76
"123","2016-10-20",7.69
"124","2016-10-21",7.73
"125","2016-10-24",7.73
"126","2016-10-25",7.73
"127","2016-10-26",7.74
"128","2016-10-27",7.67
"129","2016-10-28",7.72
"130","2016-10-31",7.82
"131","2016-11-01",7.77
"132","2016-11-02",7.73
"133","2016-11-03",7.59
"134","2016-11-04",7.63
"135","2016-11-07",7.79
"136","2016-11-08",7.8
"137","2016-11-09",7.82
"138","2016-11-10",7.79
"139","2016-11-11",7.85
"140","2016-11-14",7.8
"141","2016-11-15",7.79
"142","2016-11-16",7.87
"143","2016-11-17",8.02
"144","2016-11-18",8.18
"145","2016-11-21",8.11
"146","2016-11-22",8.14
"147","2016-11-23",8.27
"148","2016-11-25",8.16
"149","2016-11-28",8.19
"150","2016-11-29",8.53
"151","2016-11-30",8.45
"152","2016-12-01",8.44
"153","2016-12-02",8.25
"154","2016-12-05",8.48
"155","2016-12-06",8.66
"156","2016-12-07",8.65
"157","2016-12-08",8.69
"158","2016-12-09",8.72
"159","2016-12-12",8.53
"160","2016-12-13",8.42
"161","2016-12-14",8.39
"162","2016-12-15",8.54
"163","2016-12-16",8.7
"164","2016-12-19",8.99
"165","2016-12-20",9.03
"166","2016-12-21",9.12
"167","2016-12-22",9.06
"168","2016-12-23",9.09
"169","2016-12-27",9.22
"170","2016-12-28",9.09
"171","2016-12-29",9.06
"172","2016-12-30",9.1
"173","2017-01-03",9.08
"174","2017-01-04",9.21
"175","2017-01-05",9.18
"176","2017-01-06",9.17
"177","2017-01-09",9.09
"178","2017-01-10",9.14
"179","2017-01-11",9.17
"180","2017-01-12",9.08
"181","2017-01-13",9.23
"182","2017-01-17",8.91
"183","2017-01-18",8.8
"184","2017-01-19",8.67
"185","2017-01-20",8.47
"186","2017-01-23",8.13
"187","2017-01-24",8.26
"188","2017-01-25",8.08
"189","2017-01-26",8.14
"190","2017-01-27",8.24
"191","2017-01-30",8.17
"192","2017-01-31",8.14
"193","2017-02-01",8.1
"194","2017-02-02",8.27
"195","2017-02-03",8.28
"196","2017-02-06",8.19
"197","2017-02-07",8.11
"198","2017-02-08",8.05
"199","2017-02-09",8.17
"200","2017-02-10",8.36
"201","2017-02-13",8.63
"202","2017-02-14",8.52
"203","2017-02-15",8.53
"204","2017-02-16",8.65
"205","2017-02-17",8.7
"206","2017-02-21",8.84
"207","2017-02-22",8.72
"208","2017-02-23",8.63
"209","2017-02-24",8.59
"210","2017-02-27",8.66
"211","2017-02-28",8.59
"212","2017-03-01",8.85
"213","2017-03-02",8.61
"214","2017-03-03",8.5
"215","2017-03-06",8.28
"216","2017-03-07",8.21
"217","2017-03-08",8.09
"218","2017-03-09",8.03
"219","2017-03-10",8.39
"220","2017-03-13",8.64
"221","2017-03-14",8.61
"222","2017-03-15",8.72
"223","2017-03-16",8.68
"224","2017-03-17",8.99
"225","2017-03-20",8.91
"226","2017-03-21",8.82
"227","2017-03-22",8.78
"228","2017-03-23",8.8
"229","2017-03-24",8.71
"230","2017-03-27",8.71
"231","2017-03-28",8.68
"232","2017-03-29",8.71
"233","2017-03-30",8.67
"234","2017-03-31",8.7
"235","2017-04-03",8.68
"236","2017-04-04",8.7
"237","2017-04-05",8.63
"238","2017-04-06",8.6
"239","2017-04-07",8.62
"240","2017-04-10",8.66
"241","2017-04-11",8.71
"242","2017-04-12",8.86
"243","2017-04-13",8.8
"244","2017-04-17",8.85
"245","2017-04-18",8.83
"246","2017-04-19",8.86
"247","2017-04-20",8.97
"248","2017-04-21",8.9
"249","2017-04-24",8.9
"250","2017-04-25",8.99
"251","2017-04-26",9.17
"252","2017-04-27",9.15
"253","2017-04-28",9.14
"254","2017-05-01",9.16
"255","2017-05-02",9.08
"256","2017-05-03",9.04
"257","2017-05-04",8.99
"258","2017-05-05",9.05
"259","2017-05-08",9.13
"260","2017-05-09",9
"261","2017-05-10",9.04
"262","2017-05-11",9
"263","2017-05-12",8.6
"264","2017-05-15",8.58
"265","2017-05-16",8.54
"266","2017-05-17",8.51
"267","2017-05-18",8.53
"268","2017-05-19",8.65
"269","2017-05-22",8.84
"270","2017-05-23",9.01
"271","2017-05-24",8.99
"272","2017-05-25",8.99
"273","2017-05-26",9.09
"274","2017-05-30",9.48
"275","2017-05-31",9.48
"276","2017-06-01",9.55
"277","2017-06-02",9.24
"278","2017-06-05",9.16
"279","2017-06-06",9.22
"280","2017-06-07",9.18
"281","2017-06-08",9.25
"282","2017-06-09",9.3
"283","2017-06-12",9.54
"284","2017-06-13",9.73
"285","2017-06-14",9.81
"286","2017-06-15",9.79
"287","2017-06-16",9.84
"288","2017-06-19",9.83
"289","2017-06-20",9.77
"290","2017-06-21",9.82
"291","2017-06-22",9.74
"292","2017-06-23",9.94
"293","2017-06-26",9.89
"294","2017-06-27",9.78
"295","2017-06-28",9.86
"296","2017-06-29",9.88
"297","2017-06-30",9.9
"298","2017-07-03",9.97
"299","2017-07-05",9.95
"300","2017-07-06",9.93
"301","2017-07-07",9.99
"302","2017-07-10",9.9
"303","2017-07-11",9.85
"304","2017-07-12",9.92
"305","2017-07-13",9.81
"306","2017-07-14",9.83
"307","2017-07-17",9.82
"308","2017-07-18",9.54
"309","2017-07-19",9.54
"310","2017-07-20",9.3
"311","2017-07-21",9.43
"312","2017-07-24",9.42
"313","2017-07-25",9.46
"314","2017-07-26",9.55
"315","2017-07-27",9.43
"316","2017-07-28",9.52
"317","2017-07-31",9.44
"318","2017-08-01",9.55
"319","2017-08-02",9.45
"320","2017-08-03",9.51
"321","2017-08-04",9.46
"322","2017-08-07",9.59
"323","2017-08-08",9.65
"324","2017-08-09",9.44
"325","2017-08-10",9.4
"326","2017-08-11",9.44
"327","2017-08-14",9.45
"328","2017-08-15",9.25
"329","2017-08-16",9.3
"330","2017-08-17",9.27
"331","2017-08-18",9.4
"332","2017-08-21",9.47
"333","2017-08-22",9.55
"334","2017-08-23",9.59
"335","2017-08-24",9.64
"336","2017-08-25",9.7
"337","2017-08-28",9.75
"338","2017-08-29",9.69
"339","2017-08-30",9.61
"340","2017-08-31",9.58
"341","2017-09-01",9.58
"342","2017-09-05",9.45
"343","2017-09-06",9.67
"344","2017-09-07",9.7
"345","2017-09-08",9.64
"346","2017-09-11",9.72
"347","2017-09-12",9.72
"348","2017-09-13",9.73
"349","2017-09-14",9.8
"350","2017-09-15",9.43
"351","2017-09-18",9.58
"352","2017-09-19",9.67
"353","2017-09-20",9.71
"354","2017-09-21",9.64
"355","2017-09-22",9.49
"356","2017-09-25",9.64
"357","2017-09-26",9.63
"358","2017-09-27",9.64
"359","2017-09-28",9.5
"360","2017-09-29",9.42
"361","2017-10-02",9.59
"362","2017-10-03",9.58
"363","2017-10-04",9.52
"364","2017-10-05",9.53
"365","2017-10-06",9.55
"366","2017-10-09",9.55
"367","2017-10-10",9.62
"368","2017-10-11",9.64
"369","2017-10-12",9.68
"370","2017-10-13",9.61
"371","2017-10-16",9.7
"372","2017-10-17",9.7
"373","2017-10-18",9.64
"374","2017-10-19",9.63
"375","2017-10-20",9.58
"376","2017-10-23",9.54
"377","2017-10-24",9.4
"378","2017-10-25",9.47
"379","2017-10-26",9.47
"380","2017-10-27",9.46
"381","2017-10-30",9.42
"382","2017-10-31",9.41
"383","2017-11-01",9.41
"384","2017-11-02",9.49
"385","2017-11-03",9.41
"386","2017-11-06",9.4
"387","2017-11-07",9.4
"388","2017-11-08",9.42
"389","2017-11-09",9.69
"390","2017-11-10",9.76
"391","2017-11-13",9.82
"392","2017-11-14",9.85
"393","2017-11-15",9.77
"394","2017-11-16",9.82
"395","2017-11-17",9.8
"396","2017-11-20",9.87
"397","2017-11-21",9.74
"398","2017-11-22",9.63
"399","2017-11-24",9.71
"400","2017-11-27",9.64
"401","2017-11-28",9.72
"402","2017-11-29",9.75
"403","2017-11-30",9.68
"404","2017-12-01",9.73
"405","2017-12-04",9.71
"406","2017-12-05",9.63
"407","2017-12-06",9.58
"408","2017-12-07",9.41
"409","2017-12-08",9.39
"410","2017-12-11",9.26
"411","2017-12-12",9.3
"412","2017-12-13",9.45
"413","2017-12-14",9.3
"414","2017-12-15",9.36
"415","2017-12-18",9.46
"416","2017-12-19",9.22
"417","2017-12-20",9.28
"418","2017-12-21",9.43
"419","2017-12-22",9.21
"420","2017-12-26",9.03
"421","2017-12-27",9.06
"422","2017-12-28",9.28
"423","2017-12-29",9.34
"424","2018-01-02",9.15
"425","2018-01-03",9.17
"426","2018-01-04",9.08
"427","2018-01-05",9.16
"428","2018-01-08",9.17
"429","2018-01-09",9.12
"430","2018-01-10",9.04
"431","2018-01-11",8.97
"432","2018-01-12",8.78
"433","2018-01-16",8.8
"434","2018-01-17",8.91
"435","2018-01-18",8.95
"436","2018-01-19",9.15
"437","2018-01-22",9.08
"438","2018-01-23",9.16
"439","2018-01-24",9.05
"440","2018-01-25",8.89
"441","2018-01-26",8.92
"442","2018-01-29",8.91
"443","2018-01-30",8.91
"444","2018-01-31",8.9
"445","2018-02-01",8.9
"446","2018-02-02",8.79
"447","2018-02-05",8.61
"448","2018-02-06",8.78
"449","2018-02-07",8.67
"450","2018-02-08",8.96
"451","2018-02-09",9.12
"452","2018-02-12",8.88
"453","2018-02-13",8.9
"454","2018-02-14",8.9
"455","2018-02-15",8.98
"456","2018-02-16",8.97
"457","2018-02-20",8.86
"458","2018-02-21",8.84
