"","date","MFG"
"1","2007-01-03",14.4
"2","2007-01-04",14.37
"3","2007-01-05",14.46
"4","2007-01-08",14.54
"5","2007-01-09",14.8
"6","2007-01-10",14.69
"7","2007-01-11",14.58
"8","2007-01-12",14.99
"9","2007-01-16",15
"10","2007-01-17",14.9
"11","2007-01-18",14.82
"12","2007-01-19",14.83
"13","2007-01-22",15.1
"14","2007-01-23",15.02
"15","2007-01-24",14.99
"16","2007-01-25",14.84
"17","2007-01-26",14.75
"18","2007-01-29",14.59
"19","2007-01-30",14.51
"20","2007-01-31",14.54
"21","2007-02-01",14.42
"22","2007-02-02",14.16
"23","2007-02-05",14.03
"24","2007-02-06",13.9
"25","2007-02-07",13.94
"26","2007-02-08",13.79
"27","2007-02-09",14.31
"28","2007-02-12",14.22
"29","2007-02-13",14.4
"30","2007-02-14",14.53
"31","2007-02-15",14.55
"32","2007-02-16",14.69
"33","2007-02-20",14.64
"34","2007-02-21",14.72
"35","2007-02-22",14.69
"36","2007-02-23",14.45
"37","2007-02-26",14.34
"38","2007-02-27",14.01
"39","2007-02-28",14.02
"40","2007-03-01",13.99
"41","2007-03-02",13.94
"42","2007-03-05",13.8
"43","2007-03-06",13.85
"44","2007-03-07",13.83
"45","2007-03-08",13.95
"46","2007-03-09",13.91
"47","2007-03-12",13.85
"48","2007-03-13",13.7
"49","2007-03-14",13.35
"50","2007-03-15",13.24
"51","2007-03-16",13.29
"52","2007-03-19",13.01
"53","2007-03-20",12.86
"54","2007-03-21",13.15
"55","2007-03-22",13.29
"56","2007-03-23",13.45
"57","2007-03-26",13.28
"58","2007-03-27",13.28
"59","2007-03-28",12.8
"60","2007-03-29",12.81
"61","2007-03-30",12.96
"62","2007-04-02",12.88
"63","2007-04-03",13.07
"64","2007-04-04",13.26
"65","2007-04-05",13.22
"66","2007-04-09",13.16
"67","2007-04-10",13.25
"68","2007-04-11",13.13
"69","2007-04-12",13.17
"70","2007-04-13",12.97
"71","2007-04-16",13.01
"72","2007-04-17",12.78
"73","2007-04-18",12.81
"74","2007-04-19",12.76
"75","2007-04-20",12.65
"76","2007-04-23",12.31
"77","2007-04-24",12.25
"78","2007-04-25",12.2
"79","2007-04-26",12.01
"80","2007-04-27",12.19
"81","2007-04-30",12.16
"82","2007-05-01",12.05
"83","2007-05-02",12.39
"84","2007-05-03",12.31
"85","2007-05-04",12.36
"86","2007-05-07",12.63
"87","2007-05-08",12.87
"88","2007-05-09",13.1
"89","2007-05-10",12.75
"90","2007-05-11",13.06
"91","2007-05-14",13.02
"92","2007-05-15",12.92
"93","2007-05-16",12.76
"94","2007-05-17",12.44
"95","2007-05-18",12.61
"96","2007-05-21",12.77
"97","2007-05-22",13.76
"98","2007-05-23",14.02
"99","2007-05-24",13.95
"100","2007-05-25",13.97
"101","2007-05-29",14.31
"102","2007-05-30",14.27
"103","2007-05-31",14.21
"104","2007-06-01",14.29
"105","2007-06-04",14.28
"106","2007-06-05",14.18
"107","2007-06-06",14.24
"108","2007-06-07",14.32
"109","2007-06-08",14.95
"110","2007-06-11",14.75
"111","2007-06-12",14.54
"112","2007-06-13",14.63
"113","2007-06-14",14.53
"114","2007-06-15",14.8
"115","2007-06-18",14.65
"116","2007-06-19",14.49
"117","2007-06-20",14.45
"118","2007-06-21",14.4
"119","2007-06-22",14.01
"120","2007-06-25",13.94
"121","2007-06-26",14
"122","2007-06-27",13.94
"123","2007-06-28",13.77
"124","2007-06-29",13.89
"125","2007-07-02",14.09
"126","2007-07-03",14.14
"127","2007-07-05",13.98
"128","2007-07-06",13.94
"129","2007-07-09",14.15
"130","2007-07-10",14.01
"131","2007-07-11",14.25
"132","2007-07-12",14.16
"133","2007-07-13",14.11
"134","2007-07-16",14.07
"135","2007-07-17",14.04
"136","2007-07-18",13.81
"137","2007-07-19",13.86
"138","2007-07-20",13.78
"139","2007-07-23",13.87
"140","2007-07-24",13.99
"141","2007-07-25",14.44
"142","2007-07-26",14.2
"143","2007-07-27",14.11
"144","2007-07-30",14.19
"145","2007-07-31",14.1
"146","2007-08-01",13.03
"147","2007-08-02",12.29
"148","2007-08-03",11.98
"149","2007-08-06",11.97
"150","2007-08-07",11.68
"151","2007-08-08",12.01
"152","2007-08-09",11.9
"153","2007-08-10",11.96
"154","2007-08-13",11.91
"155","2007-08-14",11.75
"156","2007-08-15",11.46
"157","2007-08-16",11.71
"158","2007-08-17",11.78
"159","2007-08-20",11.72
"160","2007-08-21",11.97
"161","2007-08-22",12.05
"162","2007-08-23",12.36
"163","2007-08-24",12.69
"164","2007-08-27",12.43
"165","2007-08-28",12.16
"166","2007-08-29",12.53
"167","2007-08-30",12.39
"168","2007-08-31",12.58
"169","2007-09-04",12.56
"170","2007-09-05",12.14
"171","2007-09-06",12.18
"172","2007-09-07",11.8
"173","2007-09-10",11.54
"174","2007-09-11",11.73
"175","2007-09-12",11.44
"176","2007-09-13",11.1
"177","2007-09-14",11.44
"178","2007-09-17",11.28
"179","2007-09-18",10.85
"180","2007-09-19",11.02
"181","2007-09-20",10.83
"182","2007-09-21",10.64
"183","2007-09-24",10.7
"184","2007-09-25",11.07
"185","2007-09-26",11
"186","2007-09-27",11.6
"187","2007-09-28",11.33
"188","2007-10-01",11.27
"189","2007-10-02",11.49
"190","2007-10-03",11.71
"191","2007-10-04",12.13
"192","2007-10-05",12.32
"193","2007-10-08",12.24
"194","2007-10-09",12.26
"195","2007-10-10",11.95
"196","2007-10-11",11.87
"197","2007-10-12",11.6
"198","2007-10-15",11.25
"199","2007-10-16",10.65
"200","2007-10-17",10.47
"201","2007-10-18",10.88
"202","2007-10-19",10.4
"203","2007-10-22",10.88
"204","2007-10-23",10.86
"205","2007-10-24",10.61
"206","2007-10-25",10.39
"207","2007-10-26",10.8
"208","2007-10-29",11.12
"209","2007-10-30",11.07
"210","2007-10-31",11.23
"211","2007-11-01",10.87
"212","2007-11-02",10.5
"213","2007-11-05",10.22
"214","2007-11-06",10.4
"215","2007-11-07",10.05
"216","2007-11-08",9.92
"217","2007-11-09",9.28
"218","2007-11-12",9.39
"219","2007-11-13",9.62
"220","2007-11-14",9.92
"221","2007-11-15",9.65
"222","2007-11-16",9.57
"223","2007-11-19",9.34
"224","2007-11-20",9.69
"225","2007-11-21",9.37
"226","2007-11-23",9.73
"227","2007-11-26",9.93
"228","2007-11-27",10.44
"229","2007-11-28",10.38
"230","2007-11-29",10.67
"231","2007-11-30",10.8
"232","2007-12-03",10.87
"233","2007-12-04",10.83
"234","2007-12-05",11.18
"235","2007-12-06",11.77
"236","2007-12-07",11.41
"237","2007-12-10",11.43
"238","2007-12-11",10.97
"239","2007-12-12",11.05
"240","2007-12-13",10.4
"241","2007-12-14",9.74
"242","2007-12-17",9.23
"243","2007-12-18",9.41
"244","2007-12-19",9.34
"245","2007-12-20",9.51
"246","2007-12-21",9.37
"247","2007-12-24",9.57
"248","2007-12-26",9.74
"249","2007-12-27",9.45
"250","2007-12-28",9.26
"251","2007-12-31",9.55
"252","2008-01-02",9.45
"253","2008-01-03",9.49
"254","2008-01-04",9.22
"255","2008-01-07",9.21
"256","2008-01-08",9.53
"257","2008-01-09",9.62
"258","2008-01-10",9.53
"259","2008-01-11",9.4
"260","2008-01-14",9.53
"261","2008-01-15",9.13
"262","2008-01-16",8.7
"263","2008-01-17",8.67
"264","2008-01-18",8.93
"265","2008-01-22",8.7
"266","2008-01-23",8.49
"267","2008-01-24",8.88
"268","2008-01-25",9.33
"269","2008-01-28",9.5
"270","2008-01-29",9.61
"271","2008-01-30",9.35
"272","2008-01-31",9.34
"273","2008-02-01",9.1
"274","2008-02-04",9.18
"275","2008-02-05",8.78
"276","2008-02-06",8.54
"277","2008-02-07",8.58
"278","2008-02-08",8.05
"279","2008-02-11",8.1
"280","2008-02-12",8.15
"281","2008-02-13",7.95
"282","2008-02-14",8.04
"283","2008-02-15",8.06
"284","2008-02-19",8.21
