"","date","NUVA"
"1","2007-01-03",22.719999
"2","2007-01-04",22.57
"3","2007-01-05",22.17
"4","2007-01-08",22
"5","2007-01-09",22.15
"6","2007-01-10",22.110001
"7","2007-01-11",22.42
"8","2007-01-12",22.969999
"9","2007-01-16",23.24
"10","2007-01-17",23.43
"11","2007-01-18",22.77
"12","2007-01-19",22.969999
"13","2007-01-22",23.110001
"14","2007-01-23",23.25
"15","2007-01-24",23.51
"16","2007-01-25",23.41
"17","2007-01-26",23.48
"18","2007-01-29",23.73
"19","2007-01-30",23.92
"20","2007-01-31",24.209999
"21","2007-02-01",24.57
"22","2007-02-02",24.16
"23","2007-02-05",24.120001
"24","2007-02-06",24.190001
"25","2007-02-07",24.57
"26","2007-02-08",24.23
"27","2007-02-09",23.969999
"28","2007-02-12",24.299999
"29","2007-02-13",24.440001
"30","2007-02-14",23.84
"31","2007-02-15",23.42
"32","2007-02-16",23.33
"33","2007-02-20",23.940001
"34","2007-02-21",25.32
"35","2007-02-22",25.809999
"36","2007-02-23",25.559999
"37","2007-02-26",25.059999
"38","2007-02-27",23.5
"39","2007-02-28",23.629999
"40","2007-03-01",23.549999
"41","2007-03-02",22.969999
"42","2007-03-05",22.85
"43","2007-03-06",23.25
"44","2007-03-07",23.1
"45","2007-03-08",22.98
"46","2007-03-09",23.24
"47","2007-03-12",23.540001
"48","2007-03-13",23.530001
"49","2007-03-14",23.129999
"50","2007-03-15",23.02
"51","2007-03-16",22.639999
"52","2007-03-19",22.74
"53","2007-03-20",23.09
"54","2007-03-21",23.91
"55","2007-03-22",24.629999
"56","2007-03-23",24.65
"57","2007-03-26",23.860001
"58","2007-03-27",23.540001
"59","2007-03-28",23.51
"60","2007-03-29",23.200001
"61","2007-03-30",23.75
"62","2007-04-02",23.950001
"63","2007-04-03",24.43
"64","2007-04-04",24.200001
"65","2007-04-05",24.41
"66","2007-04-09",23.92
"67","2007-04-10",24.93
"68","2007-04-11",24.6
"69","2007-04-12",24.549999
"70","2007-04-13",24.42
"71","2007-04-16",24.59
"72","2007-04-17",25.43
"73","2007-04-18",25.34
"74","2007-04-19",25.040001
