"","date","BWA"
"1","2007-01-03",14.8925
"2","2007-01-04",14.815
"3","2007-01-05",14.65
"4","2007-01-08",14.675
"5","2007-01-09",14.7175
"6","2007-01-10",14.75
"7","2007-01-11",16.32
"8","2007-01-12",16.0525
"9","2007-01-16",16.217501
"10","2007-01-17",16.235001
"11","2007-01-18",16.184999
"12","2007-01-19",16.355
"13","2007-01-22",16.622499
"14","2007-01-23",16.705
"15","2007-01-24",17.190001
"16","2007-01-25",16.967501
"17","2007-01-26",16.84
"18","2007-01-29",17.0175
"19","2007-01-30",16.987499
"20","2007-01-31",17.135
"21","2007-02-01",17.4375
"22","2007-02-02",17.315001
"23","2007-02-05",17.434999
"24","2007-02-06",17.5
"25","2007-02-07",17.502501
"26","2007-02-08",18.6
"27","2007-02-09",18.735001
"28","2007-02-12",18.6
"29","2007-02-13",18.782499
"30","2007-02-14",18.895
"31","2007-02-15",19.145
"32","2007-02-16",19.155001
"33","2007-02-20",19.4
"34","2007-02-21",19.415001
"35","2007-02-22",19.290001
"36","2007-02-23",19.52
"37","2007-02-26",19.2325
"38","2007-02-27",18.469999
"39","2007-02-28",18.41
"40","2007-03-01",18.445
"41","2007-03-02",18.2425
"42","2007-03-05",18.190001
"43","2007-03-06",18.465
"44","2007-03-07",18.5375
"45","2007-03-08",18.754999
"46","2007-03-09",18.665001
"47","2007-03-12",18.75
"48","2007-03-13",18.252501
"49","2007-03-14",18.217501
"50","2007-03-15",18.327499
"51","2007-03-16",18.282499
"52","2007-03-19",18.625
"53","2007-03-20",18.950001
"54","2007-03-21",19.157499
"55","2007-03-22",19.1425
"56","2007-03-23",19.129999
"57","2007-03-26",19.235001
"58","2007-03-27",19.112499
"59","2007-03-28",18.940001
"60","2007-03-29",18.852501
"61","2007-03-30",18.855
"62","2007-04-02",18.91
"63","2007-04-03",19.02
"64","2007-04-04",18.8375
"65","2007-04-05",18.9125
"66","2007-04-09",19.059999
"67","2007-04-10",19.2225
"68","2007-04-11",18.555
"69","2007-04-12",18.5625
"70","2007-04-13",18.5175
"71","2007-04-16",18.855
"72","2007-04-17",18.844999
"73","2007-04-18",18.719999
"74","2007-04-19",18.717501
"75","2007-04-20",18.764999
"76","2007-04-23",18.91
"77","2007-04-24",18.924999
"78","2007-04-25",19.26
"79","2007-04-26",20.08
"80","2007-04-27",19.7875
"81","2007-04-30",19.477501
"82","2007-05-01",19.407499
"83","2007-05-02",19.9175
"84","2007-05-03",19.8925
"85","2007-05-04",20.014999
