"","date","CANG"
"1","2018-07-26",12.52
"2","2018-07-27",12.08
"3","2018-07-30",10.79
"4","2018-07-31",10.75
"5","2018-08-01",11
"6","2018-08-02",10.75
"7","2018-08-03",10.94
"8","2018-08-06",11
"9","2018-08-07",10.95
"10","2018-08-08",10.97
"11","2018-08-09",11.01
"12","2018-08-10",11
"13","2018-08-13",10.5
"14","2018-08-14",10.18
"15","2018-08-15",8.74
"16","2018-08-16",8.7
"17","2018-08-17",8.6
"18","2018-08-20",8.6
"19","2018-08-21",8.65
"20","2018-08-22",8.21
"21","2018-08-23",9.55
"22","2018-08-24",10.3
"23","2018-08-27",10.24
"24","2018-08-28",9.96
"25","2018-08-29",9.88
"26","2018-08-30",9.9
"27","2018-08-31",10.4
"28","2018-09-04",9.71
"29","2018-09-05",9.15
"30","2018-09-06",9.04
"31","2018-09-07",8.81
"32","2018-09-10",9.02
"33","2018-09-11",8.93
"34","2018-09-12",8.9
"35","2018-09-13",9.12
"36","2018-09-14",9
"37","2018-09-17",9
"38","2018-09-18",8.84
"39","2018-09-19",8.97
"40","2018-09-20",8.79
"41","2018-09-21",8.72
"42","2018-09-24",8.79
"43","2018-09-25",8.7
"44","2018-09-26",9.29
"45","2018-09-27",9.97
"46","2018-09-28",11.33
"47","2018-10-01",11.88
"48","2018-10-02",11.28
"49","2018-10-03",11.47
"50","2018-10-04",11.5
"51","2018-10-05",11.06
"52","2018-10-08",10.42
"53","2018-10-09",9.87
"54","2018-10-10",9.23
"55","2018-10-11",9.44
"56","2018-10-12",9.73
"57","2018-10-15",9.88
"58","2018-10-16",9.7
"59","2018-10-17",9.61
"60","2018-10-18",9.56
"61","2018-10-19",9.75
"62","2018-10-22",9.75
"63","2018-10-23",9.56
"64","2018-10-24",9.35
"65","2018-10-25",9.33
"66","2018-10-26",9.05
"67","2018-10-29",9.09
"68","2018-10-30",9
"69","2018-10-31",9.1
"70","2018-11-01",9.2
"71","2018-11-02",9.13
"72","2018-11-05",9.17
"73","2018-11-06",9.1
"74","2018-11-07",9.43
"75","2018-11-08",9.1
"76","2018-11-09",9.1
"77","2018-11-12",9.1
"78","2018-11-13",9.1
"79","2018-11-14",9.15
"80","2018-11-15",9.14
"81","2018-11-16",8.84
"82","2018-11-19",8.92
"83","2018-11-20",8.8
"84","2018-11-21",8.8
"85","2018-11-23",9
"86","2018-11-26",9.04
"87","2018-11-27",8.92
"88","2018-11-28",8.78
"89","2018-11-29",8.76
"90","2018-11-30",8.75
"91","2018-12-03",8.53
"92","2018-12-04",8.53
