"","date","DENN"
"1","2007-01-03",4.75
"2","2007-01-04",4.88
"3","2007-01-05",4.74
"4","2007-01-08",4.79
"5","2007-01-09",5.03
"6","2007-01-10",5.2
"7","2007-01-11",5.32
"8","2007-01-12",5.31
"9","2007-01-16",5.27
"10","2007-01-17",5.24
"11","2007-01-18",5.18
"12","2007-01-19",5.32
"13","2007-01-22",5.29
"14","2007-01-23",5.39
"15","2007-01-24",5.52
"16","2007-01-25",5.3
"17","2007-01-26",5.33
"18","2007-01-29",5.32
"19","2007-01-30",5.28
"20","2007-01-31",5.34
"21","2007-02-01",5.32
"22","2007-02-02",5.37
"23","2007-02-05",5.33
"24","2007-02-06",5.44
"25","2007-02-07",5.53
"26","2007-02-08",5.45
"27","2007-02-09",5.42
"28","2007-02-12",5.52
"29","2007-02-13",5.45
"30","2007-02-14",5.5
"31","2007-02-15",5.52
"32","2007-02-16",5.06
"33","2007-02-20",4.95
"34","2007-02-21",4.94
"35","2007-02-22",4.88
"36","2007-02-23",4.84
"37","2007-02-26",4.95
"38","2007-02-27",4.75
"39","2007-02-28",4.74
"40","2007-03-01",4.73
"41","2007-03-02",4.7
"42","2007-03-05",4.58
"43","2007-03-06",4.61
"44","2007-03-07",4.6
"45","2007-03-08",4.6
"46","2007-03-09",4.6
"47","2007-03-12",4.56
"48","2007-03-13",4.51
"49","2007-03-14",4.51
"50","2007-03-15",4.58
"51","2007-03-16",4.5
"52","2007-03-19",4.54
"53","2007-03-20",4.53
"54","2007-03-21",4.61
"55","2007-03-22",4.67
"56","2007-03-23",4.68
"57","2007-03-26",4.69
"58","2007-03-27",4.57
"59","2007-03-28",4.76
"60","2007-03-29",4.86
"61","2007-03-30",4.9
"62","2007-04-02",4.9
"63","2007-04-03",4.88
"64","2007-04-04",4.85
"65","2007-04-05",4.82
"66","2007-04-09",4.67
"67","2007-04-10",4.73
"68","2007-04-11",4.59
"69","2007-04-12",4.69
"70","2007-04-13",4.75
"71","2007-04-16",4.79
"72","2007-04-17",4.84
"73","2007-04-18",4.94
"74","2007-04-19",4.88
"75","2007-04-20",4.9
"76","2007-04-23",4.81
"77","2007-04-24",4.82
"78","2007-04-25",4.79
"79","2007-04-26",4.74
"80","2007-04-27",4.75
"81","2007-04-30",4.69
"82","2007-05-01",4.7
"83","2007-05-02",4.77
"84","2007-05-03",4.76
"85","2007-05-04",4.76
"86","2007-05-07",4.67
"87","2007-05-08",4.69
"88","2007-05-09",4.69
"89","2007-05-10",4.53
"90","2007-05-11",4.57
"91","2007-05-14",4.43
"92","2007-05-15",4.35
"93","2007-05-16",4.32
"94","2007-05-17",4.39
"95","2007-05-18",4.42
"96","2007-05-21",4.49
"97","2007-05-22",4.54
"98","2007-05-23",4.49
"99","2007-05-24",4.45
"100","2007-05-25",4.44
"101","2007-05-29",4.54
"102","2007-05-30",4.59
"103","2007-05-31",4.58
"104","2007-06-01",4.58
"105","2007-06-04",4.61
"106","2007-06-05",4.53
"107","2007-06-06",4.51
"108","2007-06-07",4.41
"109","2007-06-08",4.42
"110","2007-06-11",4.34
"111","2007-06-12",4.33
"112","2007-06-13",4.4
"113","2007-06-14",4.37
"114","2007-06-15",4.46
"115","2007-06-18",4.52
"116","2007-06-19",4.49
"117","2007-06-20",4.45
"118","2007-06-21",4.32
"119","2007-06-22",4.26
"120","2007-06-25",4.21
"121","2007-06-26",4.23
"122","2007-06-27",4.43
"123","2007-06-28",4.53
"124","2007-06-29",4.45
"125","2007-07-02",4.45
"126","2007-07-03",4.45
"127","2007-07-05",4.52
"128","2007-07-06",4.56
"129","2007-07-09",4.55
"130","2007-07-10",4.49
"131","2007-07-11",4.62
"132","2007-07-12",4.62
"133","2007-07-13",4.59
"134","2007-07-16",4.52
"135","2007-07-17",4.45
"136","2007-07-18",4.41
"137","2007-07-19",4.45
"138","2007-07-20",4.32
"139","2007-07-23",4.36
"140","2007-07-24",4.36
"141","2007-07-25",4.39
"142","2007-07-26",4.22
"143","2007-07-27",4.1
"144","2007-07-30",4.05
"145","2007-07-31",4
"146","2007-08-01",4.06
"147","2007-08-02",4.11
"148","2007-08-03",3.93
"149","2007-08-06",4.01
"150","2007-08-07",3.89
"151","2007-08-08",3.85
"152","2007-08-09",3.82
"153","2007-08-10",4.07
"154","2007-08-13",4.06
"155","2007-08-14",3.87
"156","2007-08-15",3.79
"157","2007-08-16",3.98
"158","2007-08-17",4.12
"159","2007-08-20",3.98
