"","date","KINS"
"1","2007-01-03",3.04
"2","2007-01-04",3.01
"3","2007-01-05",3.02
"4","2007-01-08",3.01
"5","2007-01-09",3.01
"6","2007-01-10",2.92
"7","2007-01-11",3
"8","2007-01-12",3.01
"9","2007-01-16",3.01
"10","2007-01-17",3
"11","2007-01-18",3
"12","2007-01-19",3
"13","2007-01-22",2.938
"14","2007-01-23",2.938
"15","2007-01-24",3
"16","2007-01-25",3
"17","2007-01-26",3.05
"18","2007-01-29",2.89
"19","2007-01-30",2.98
"20","2007-01-31",2.95
"21","2007-02-01",2.95
"22","2007-02-02",2.95
"23","2007-02-05",3
"24","2007-02-06",2.95
"25","2007-02-07",2.95
"26","2007-02-08",2.95
"27","2007-02-09",2.95
"28","2007-02-12",2.86
"29","2007-02-13",2.8
"30","2007-02-14",2.94
"31","2007-02-15",2.94
"32","2007-02-16",2.95
"33","2007-02-20",2.61
"34","2007-02-21",2.56
"35","2007-02-22",2.56
"36","2007-02-23",2.76
"37","2007-02-26",2.89
"38","2007-02-27",2.85
"39","2007-02-28",2.84
"40","2007-03-01",2.84
"41","2007-03-02",2.84
"42","2007-03-05",2.8
"43","2007-03-06",2.8
"44","2007-03-07",2.8
"45","2007-03-08",2.8
"46","2007-03-09",2.75
"47","2007-03-12",2.75
"48","2007-03-13",2.75
"49","2007-03-14",2.75
"50","2007-03-15",2.65
"51","2007-03-16",2.65
"52","2007-03-19",2.65
"53","2007-03-20",2.65
"54","2007-03-21",2.44
"55","2007-03-22",2.44
"56","2007-03-23",2.44
"57","2007-03-26",2.33
"58","2007-03-27",2.35
"59","2007-03-28",2.35
"60","2007-03-29",2.34
"61","2007-03-30",2.4
"62","2007-04-02",2.496
"63","2007-04-03",2.496
"64","2007-04-04",2.25
"65","2007-04-05",2.37
"66","2007-04-09",2.36
"67","2007-04-10",2.36
"68","2007-04-11",2.39
"69","2007-04-12",2.35
"70","2007-04-13",2.34
"71","2007-04-16",2.39
"72","2007-04-17",2.4
"73","2007-04-18",2.35
"74","2007-04-19",2.35
"75","2007-04-20",2.35
"76","2007-04-23",2.35
"77","2007-04-24",2.35
"78","2007-04-25",2.35
"79","2007-04-26",2.25
"80","2007-04-27",2.2
"81","2007-04-30",2.24
"82","2007-05-01",2.24
"83","2007-05-02",2.24
"84","2007-05-03",2.22
"85","2007-05-04",2.18
"86","2007-05-07",2.23
"87","2007-05-08",2.23
"88","2007-05-09",2.25
"89","2007-05-10",2.25
"90","2007-05-11",2.26
"91","2007-05-14",2.5
"92","2007-05-15",2.5
"93","2007-05-16",2.5
"94","2007-05-17",2.47
"95","2007-05-18",2.28
"96","2007-05-21",2.28
"97","2007-05-22",2.28
"98","2007-05-23",2.45
"99","2007-05-24",2.56
"100","2007-05-25",2.57
"101","2007-05-29",2.57
"102","2007-05-30",2.63
"103","2007-05-31",2.37
"104","2007-06-01",2.7
"105","2007-06-04",2.6
"106","2007-06-05",2.52
"107","2007-06-06",2.56
"108","2007-06-07",2.52
"109","2007-06-08",2.52
"110","2007-06-11",2.55
"111","2007-06-12",2.5
"112","2007-06-13",2.7
"113","2007-06-14",2.7
"114","2007-06-15",2.65
"115","2007-06-18",2.6
"116","2007-06-19",2.6
"117","2007-06-20",2.6
"118","2007-06-21",2.68
"119","2007-06-22",2.52
"120","2007-06-25",2.68
"121","2007-06-26",2.68
"122","2007-06-27",2.68
"123","2007-06-28",2.68
"124","2007-06-29",2.68
"125","2007-07-02",2.68
"126","2007-07-03",2.68
"127","2007-07-05",2.68
"128","2007-07-06",2.68
"129","2007-07-09",2.68
"130","2007-07-10",2.58
"131","2007-07-11",2.41
"132","2007-07-12",2.41
"133","2007-07-13",2.427
"134","2007-07-16",2.427
"135","2007-07-17",2.56
"136","2007-07-18",2.59
"137","2007-07-19",2.7
"138","2007-07-20",2.7
"139","2007-07-23",2.7
"140","2007-07-24",2.75
"141","2007-07-25",2.75
"142","2007-07-26",2.75
"143","2007-07-27",2.75
"144","2007-07-30",2.53
"145","2007-07-31",2.6
"146","2007-08-01",2.6
"147","2007-08-02",2.6
"148","2007-08-03",2.58
"149","2007-08-06",2.4
"150","2007-08-07",2.5
"151","2007-08-08",2.5
"152","2007-08-09",2.5
"153","2007-08-10",2.5
