"","date","TWOU"
"1","2014-03-28",13.98
"2","2014-03-31",13.65
"3","2014-04-01",14.06
"4","2014-04-02",15.61
"5","2014-04-03",14.15
"6","2014-04-04",13.06
"7","2014-04-07",12.99
"8","2014-04-08",13.01
"9","2014-04-09",12.97
"10","2014-04-10",13.08
"11","2014-04-11",12.94
"12","2014-04-14",12.85
"13","2014-04-15",12.6
"14","2014-04-16",12.52
"15","2014-04-17",13.06
"16","2014-04-21",13.1
"17","2014-04-22",14.17
"18","2014-04-23",14.395
"19","2014-04-24",14.7
"20","2014-04-25",14.86
"21","2014-04-28",15.02
"22","2014-04-29",14.98
"23","2014-04-30",14.92
"24","2014-05-01",15.34
"25","2014-05-02",15.18
"26","2014-05-05",15.15
"27","2014-05-06",14.85
"28","2014-05-07",12.5
"29","2014-05-08",12.09
"30","2014-05-09",10.93
"31","2014-05-12",10.77
"32","2014-05-13",13.35
"33","2014-05-14",13.67
"34","2014-05-15",13.46
"35","2014-05-16",13.5
"36","2014-05-19",13.55
"37","2014-05-20",13.4
"38","2014-05-21",13.58
"39","2014-05-22",13.34
"40","2014-05-23",13.28
"41","2014-05-27",13.63
"42","2014-05-28",13.59
"43","2014-05-29",14.24
"44","2014-05-30",14.44
"45","2014-06-02",14.63
"46","2014-06-03",13.85
"47","2014-06-04",13.2
"48","2014-06-05",13.72
"49","2014-06-06",14.04
"50","2014-06-09",13.71
"51","2014-06-10",13.195
"52","2014-06-11",14.09
"53","2014-06-12",13.96
"54","2014-06-13",14.01
"55","2014-06-16",13.95
"56","2014-06-17",14.61
"57","2014-06-18",14.56
"58","2014-06-19",14.79
"59","2014-06-20",15.35
"60","2014-06-23",16.620001
"61","2014-06-24",16.610001
"62","2014-06-25",16.639999
"63","2014-06-26",16.459999
"64","2014-06-27",15.47
"65","2014-06-30",16.809999
"66","2014-07-01",16.08
"67","2014-07-02",16.65
"68","2014-07-03",16.6
"69","2014-07-07",15.64
"70","2014-07-08",14.77
"71","2014-07-09",14.13
"72","2014-07-10",14.31
"73","2014-07-11",14.45
"74","2014-07-14",14.5
"75","2014-07-15",14.13
"76","2014-07-16",13.96
"77","2014-07-17",13.5
"78","2014-07-18",13.5
"79","2014-07-21",13.32
"80","2014-07-22",13.65
"81","2014-07-23",13.72
"82","2014-07-24",13.56
"83","2014-07-25",14.37
"84","2014-07-28",14.28
"85","2014-07-29",14.37
"86","2014-07-30",14.41
"87","2014-07-31",14.06
"88","2014-08-01",13.71
"89","2014-08-04",13.82
"90","2014-08-05",13.64
"91","2014-08-06",14.21
"92","2014-08-07",16.540001
"93","2014-08-08",17.08
"94","2014-08-11",16.82
"95","2014-08-12",16.34
"96","2014-08-13",16.809999
"97","2014-08-14",18.040001
"98","2014-08-15",17.870001
"99","2014-08-18",18.280001
"100","2014-08-19",18.57
"101","2014-08-20",19.209999
"102","2014-08-21",19.4
"103","2014-08-22",19.48
"104","2014-08-25",19.940001
"105","2014-08-26",19.5
"106","2014-08-27",18.75
"107","2014-08-28",18.559999
"108","2014-08-29",18.9
"109","2014-09-02",18.549999
"110","2014-09-03",18.030001
"111","2014-09-04",17.299999
"112","2014-09-05",16.469999
"113","2014-09-08",16.549999
"114","2014-09-09",16.1
"115","2014-09-10",15.79
"116","2014-09-11",15.52
"117","2014-09-12",15.61
"118","2014-09-15",15.79
"119","2014-09-16",15.37
"120","2014-09-17",15.94
"121","2014-09-18",15.4
"122","2014-09-19",15.37
"123","2014-09-22",15.19
"124","2014-09-23",14.93
"125","2014-09-24",14.8
"126","2014-09-25",15.21
"127","2014-09-26",14.92
"128","2014-09-29",15.62
"129","2014-09-30",15.59
"130","2014-10-01",15.16
"131","2014-10-02",15.04
"132","2014-10-03",15.54
"133","2014-10-06",15.37
"134","2014-10-07",15.5
"135","2014-10-08",16.16
"136","2014-10-09",16.059999
"137","2014-10-10",15.81
"138","2014-10-13",15.64
"139","2014-10-14",16.17
