"","date","PSTG"
"1","2015-10-06",17
"2","2015-10-07",16.01
"3","2015-10-08",15.93
"4","2015-10-09",16.6
"5","2015-10-12",18.059999
"6","2015-10-13",18.690001
"7","2015-10-14",19.74
"8","2015-10-15",19.68
"9","2015-10-16",18.84
"10","2015-10-19",19
"11","2015-10-20",19.5
"12","2015-10-21",19.25
"13","2015-10-22",19.49
"14","2015-10-23",19.27
"15","2015-10-26",18.860001
"16","2015-10-27",17.799999
"17","2015-10-28",18.049999
"18","2015-10-29",17.809999
"19","2015-10-30",17.629999
"20","2015-11-02",16.959999
"21","2015-11-03",17.440001
"22","2015-11-04",17.040001
"23","2015-11-05",17.65
"24","2015-11-06",17.620001
"25","2015-11-09",17.610001
"26","2015-11-10",17.4
"27","2015-11-11",17.110001
"28","2015-11-12",17.1
"29","2015-11-13",17.24
"30","2015-11-16",17.25
"31","2015-11-17",17.190001
"32","2015-11-18",17.27
"33","2015-11-19",17.4
"34","2015-11-20",14.74
"35","2015-11-23",14.11
"36","2015-11-24",13.91
"37","2015-11-25",13.08
"38","2015-11-27",12.96
"39","2015-11-30",12.91
"40","2015-12-01",13.73
"41","2015-12-02",13.92
"42","2015-12-03",15.69
"43","2015-12-04",16.76
"44","2015-12-07",17.530001
"45","2015-12-08",17.549999
"46","2015-12-09",17.559999
"47","2015-12-10",17.690001
"48","2015-12-11",17.65
"49","2015-12-14",17.09
"50","2015-12-15",17.27
"51","2015-12-16",17.709999
"52","2015-12-17",16.959999
"53","2015-12-18",16.809999
"54","2015-12-21",16.01
"55","2015-12-22",16.200001
"56","2015-12-23",16.82
"57","2015-12-24",16.540001
"58","2015-12-28",16.58
"59","2015-12-29",16.17
"60","2015-12-30",16.049999
"61","2015-12-31",15.57
"62","2016-01-04",14.34
"63","2016-01-05",14.23
"64","2016-01-06",14.2
"65","2016-01-07",14.05
"66","2016-01-08",13.7
"67","2016-01-11",14.02
"68","2016-01-12",14.02
"69","2016-01-13",13.77
"70","2016-01-14",14.35
"71","2016-01-15",13.94
"72","2016-01-19",14.14
"73","2016-01-20",13.31
"74","2016-01-21",13.27
"75","2016-01-22",13.73
"76","2016-01-25",13.99
"77","2016-01-26",13.72
"78","2016-01-27",13.57
"79","2016-01-28",13.1
"80","2016-01-29",13.01
"81","2016-02-01",13
"82","2016-02-02",12.43
"83","2016-02-03",12.42
"84","2016-02-04",13.09
"85","2016-02-05",12.22
"86","2016-02-08",12.77
"87","2016-02-09",11.99
"88","2016-02-10",12
"89","2016-02-11",11.64
"90","2016-02-12",11.97
"91","2016-02-16",12.61
"92","2016-02-17",13.03
"93","2016-02-18",12.81
"94","2016-02-19",12.8
"95","2016-02-22",12.68
"96","2016-02-23",12.79
"97","2016-02-24",12.35
"98","2016-02-25",13.19
"99","2016-02-26",13.24
"100","2016-02-29",14.38
"101","2016-03-01",14.98
"102","2016-03-02",15.71
"103","2016-03-03",14.37
"104","2016-03-04",13.87
"105","2016-03-07",13.4
"106","2016-03-08",13.15
"107","2016-03-09",13.22
"108","2016-03-10",12.82
"109","2016-03-11",13
"110","2016-03-14",13.01
"111","2016-03-15",12.36
"112","2016-03-16",12.36
"113","2016-03-17",13.02
"114","2016-03-18",12.42
"115","2016-03-21",12.95
"116","2016-03-22",13.84
"117","2016-03-23",13.05
"118","2016-03-24",13.05
"119","2016-03-28",13.4
"120","2016-03-29",13.31
"121","2016-03-30",13.3
"122","2016-03-31",13.69
"123","2016-04-01",14.46
"124","2016-04-04",14.39
"125","2016-04-05",14.67
"126","2016-04-06",15
