"","date","CC"
"1","2015-06-19",20.851
"2","2015-06-22",20.030001
"3","2015-06-23",17.844999
"4","2015-06-24",16.9
"5","2015-06-25",14.99
"6","2015-06-26",14.98
"7","2015-06-29",15.5
"8","2015-06-30",16
"9","2015-07-01",16.51
"10","2015-07-02",16.51
"11","2015-07-06",16.040001
"12","2015-07-07",14.99
"13","2015-07-08",13.02
"14","2015-07-09",11.81
"15","2015-07-10",11.66
"16","2015-07-13",11.4
"17","2015-07-14",12.66
"18","2015-07-15",12.99
"19","2015-07-16",13.11
"20","2015-07-17",13.04
"21","2015-07-20",12.49
"22","2015-07-21",12.38
"23","2015-07-22",12.04
"24","2015-07-23",11.85
"25","2015-07-24",11.31
"26","2015-07-27",10.75
"27","2015-07-28",11.3
"28","2015-07-29",12.19
"29","2015-07-30",11.59
"30","2015-07-31",10.92
"31","2015-08-03",10.64
"32","2015-08-04",9.97
"33","2015-08-05",9.47
"34","2015-08-06",11.1
"35","2015-08-07",11.01
"36","2015-08-10",11.1
"37","2015-08-11",10.69
"38","2015-08-12",10.02
"39","2015-08-13",10.79
"40","2015-08-14",10.61
"41","2015-08-17",10.98
"42","2015-08-18",10.02
"43","2015-08-19",9.76
"44","2015-08-20",9.62
"45","2015-08-21",9.2
"46","2015-08-24",9.2
"47","2015-08-25",8.31
"48","2015-08-26",9.12
"49","2015-08-27",9.57
"50","2015-08-28",9.68
"51","2015-08-31",9.67
"52","2015-09-01",9.37
"53","2015-09-02",8.67
"54","2015-09-03",9.39
"55","2015-09-04",8.97
"56","2015-09-08",9.12
"57","2015-09-09",9.3
"58","2015-09-10",9.16
"59","2015-09-11",9.07
"60","2015-09-14",8.96
"61","2015-09-15",9.4
"62","2015-09-16",9.61
"63","2015-09-17",9.45
"64","2015-09-18",8.76
"65","2015-09-21",9.14
"66","2015-09-22",8.69
"67","2015-09-23",7.98
"68","2015-09-24",7.58
"69","2015-09-25",7.06
"70","2015-09-28",6.48
"71","2015-09-29",6.18
"72","2015-09-30",6.47
"73","2015-10-01",6.57
"74","2015-10-02",7.08
"75","2015-10-05",7.56
"76","2015-10-06",8.21
"77","2015-10-07",7.87
"78","2015-10-08",8.43
"79","2015-10-09",8.03
"80","2015-10-12",8.05
"81","2015-10-13",7.34
"82","2015-10-14",7.21
"83","2015-10-15",7.07
"84","2015-10-16",6.39
"85","2015-10-19",6.08
"86","2015-10-20",6.41
"87","2015-10-21",6.26
"88","2015-10-22",6.35
"89","2015-10-23",6.56
"90","2015-10-26",6.45
"91","2015-10-27",6.56
"92","2015-10-28",6.66
"93","2015-10-29",6.91
"94","2015-10-30",6.93
"95","2015-11-02",7.6
"96","2015-11-03",8.48
"97","2015-11-04",8.13
"98","2015-11-05",7.52
"99","2015-11-06",6.73
"100","2015-11-09",6.43
"101","2015-11-10",6.15
"102","2015-11-11",5.9
"103","2015-11-12",5.85
"104","2015-11-13",5.69
"105","2015-11-16",5.86
"106","2015-11-17",5.62
"107","2015-11-18",5.84
"108","2015-11-19",6.04
"109","2015-11-20",5.99
"110","2015-11-23",5.94
"111","2015-11-24",6.15
"112","2015-11-25",6.31
"113","2015-11-27",6.34
"114","2015-11-30",6.25
"115","2015-12-01",6.05
"116","2015-12-02",6.12
"117","2015-12-03",5.97
"118","2015-12-04",6.21
"119","2015-12-07",6.01
"120","2015-12-08",5.78
"121","2015-12-09",6.04
"122","2015-12-10",6.13
"123","2015-12-11",5.69
"124","2015-12-14",5.26
"125","2015-12-15",5.36
"126","2015-12-16",5.65
"127","2015-12-17",4.72
"128","2015-12-18",5.96
"129","2015-12-21",5.57
"130","2015-12-22",5.73
"131","2015-12-23",5.76
"132","2015-12-24",5.74
"133","2015-12-28",5.4
"134","2015-12-29",5.48
"135","2015-12-30",5.25
"136","2015-12-31",5.36
"137","2016-01-04",5.48
"138","2016-01-05",5.42
"139","2016-01-06",5.12
"140","2016-01-07",4.75
"141","2016-01-08",4.8
"142","2016-01-11",4.38
"143","2016-01-12",3.91
"144","2016-01-13",3.3
"145","2016-01-14",3.51
"146","2016-01-15",3.98
"147","2016-01-19",3.59
"148","2016-01-20",3.65
"149","2016-01-21",3.62
"150","2016-01-22",3.8
"151","2016-01-25",3.49
"152","2016-01-26",3.33
"153","2016-01-27",3.12
"154","2016-01-28",3.14
"155","2016-01-29",3.94
"156","2016-02-01",3.91
"157","2016-02-02",3.66
"158","2016-02-03",4
"159","2016-02-04",4.4
"160","2016-02-05",4.17
"161","2016-02-08",4.14
"162","2016-02-09",3.98
"163","2016-02-10",3.6
"164","2016-02-11",3.87
"165","2016-02-12",3.88
"166","2016-02-16",3.69
"167","2016-02-17",4.16
"168","2016-02-18",4.13
"169","2016-02-19",4.13
"170","2016-02-22",4.19
"171","2016-02-23",4.05
"172","2016-02-24",4.79
"173","2016-02-25",4.91
"174","2016-02-26",4.9
"175","2016-02-29",5.13
"176","2016-03-01",5.4
"177","2016-03-02",5.71
"178","2016-03-03",5.96
"179","2016-03-04",5.79
"180","2016-03-07",6.58
"181","2016-03-08",6.08
"182","2016-03-09",6.31
"183","2016-03-10",6.34
"184","2016-03-11",6.52
"185","2016-03-14",6.87
"186","2016-03-15",6.83
"187","2016-03-16",6.69
"188","2016-03-17",7.22
"189","2016-03-18",7.47
"190","2016-03-21",7.2
"191","2016-03-22",7.2
"192","2016-03-23",6.78
"193","2016-03-24",7.15
"194","2016-03-28",7
"195","2016-03-29",7.18
"196","2016-03-30",7.23
"197","2016-03-31",7
"198","2016-04-01",7.45
"199","2016-04-04",7.2
"200","2016-04-05",7.13
"201","2016-04-06",7.31
"202","2016-04-07",7.04
"203","2016-04-08",7.21
"204","2016-04-11",7.21
"205","2016-04-12",7.45
"206","2016-04-13",7.66
"207","2016-04-14",7.58
"208","2016-04-15",8.13
"209","2016-04-18",8.18
"210","2016-04-19",9.06
"211","2016-04-20",9.23
"212","2016-04-21",9.61
"213","2016-04-22",9.07
"214","2016-04-25",9
"215","2016-04-26",9.43
"216","2016-04-27",9.19
"217","2016-04-28",9.46
"218","2016-04-29",9.12
"219","2016-05-02",9.26
"220","2016-05-03",10
"221","2016-05-04",9.93
"222","2016-05-05",9.87
"223","2016-05-06",10.26
"224","2016-05-09",9.4
"225","2016-05-10",9.94
"226","2016-05-11",10.06
"227","2016-05-12",9.85
"228","2016-05-13",9.81
"229","2016-05-16",10.04
"230","2016-05-17",10.44
"231","2016-05-18",10.41
"232","2016-05-19",10.25
"233","2016-05-20",9.97
"234","2016-05-23",9.56
"235","2016-05-24",9.23
"236","2016-05-25",9.58
"237","2016-05-26",9.36
"238","2016-05-27",9.15
"239","2016-05-31",8.71
"240","2016-06-01",8.8
"241","2016-06-02",8.86
"242","2016-06-03",8.45
"243","2016-06-06",8.48
"244","2016-06-07",8.46
"245","2016-06-08",8.35
"246","2016-06-09",8.45
"247","2016-06-10",8.8
"248","2016-06-13",8.38
"249","2016-06-14",8.6
"250","2016-06-15",8.89
"251","2016-06-16",8.88
"252","2016-06-17",8.92
"253","2016-06-20",9.2
"254","2016-06-21",9.22
"255","2016-06-22",9.07
"256","2016-06-23",9.75
"257","2016-06-24",9.27
"258","2016-06-27",8.44
