"","date","NMCI"
"1","2018-12-10",3.762
"2","2018-12-11",3.755
"3","2018-12-12",3.65
"4","2018-12-13",3.27
"5","2018-12-14",3.15
"6","2018-12-17",2.8
"7","2018-12-18",3.025
"8","2018-12-19",3.1
"9","2018-12-20",3
"10","2018-12-21",2.977
"11","2018-12-24",2.8
"12","2018-12-26",3.05
"13","2018-12-27",2.917
"14","2018-12-28",2.9
"15","2018-12-31",2.83
"16","2019-01-02",3.06
"17","2019-01-03",3.11
"18","2019-01-04",3.17
"19","2019-01-07",3.345
"20","2019-01-08",3.328
"21","2019-01-09",3.28
"22","2019-01-10",3.16
"23","2019-01-11",3.1
"24","2019-01-14",3.1
"25","2019-01-15",3.039
"26","2019-01-16",3.075
"27","2019-01-17",3.15
"28","2019-01-18",2.96
"29","2019-01-22",3.03
"30","2019-01-23",2.88
"31","2019-01-24",2.85
"32","2019-01-25",2.9
"33","2019-01-28",2.99
"34","2019-01-29",3
"35","2019-01-30",2.82
"36","2019-01-31",2.58
"37","2019-02-01",2.567
"38","2019-02-04",2.67
"39","2019-02-05",2.54
"40","2019-02-06",2.56
"41","2019-02-07",2.41
"42","2019-02-08",2.4
"43","2019-02-11",2.4
"44","2019-02-12",2.55
"45","2019-02-13",2.42
"46","2019-02-14",2.42
"47","2019-02-15",2.46
"48","2019-02-19",2.55
"49","2019-02-20",2.55
"50","2019-02-21",2.4
"51","2019-02-22",2.4
"52","2019-02-25",2.467
"53","2019-02-26",2.25
"54","2019-02-27",2.3
"55","2019-02-28",2.236
"56","2019-03-01",1.96
"57","2019-03-04",1.98
"58","2019-03-05",2.16
"59","2019-03-06",2
"60","2019-03-07",2
"61","2019-03-08",2.03
"62","2019-03-11",2.2
"63","2019-03-12",2.2
"64","2019-03-13",2.15
"65","2019-03-14",2.15
"66","2019-03-15",2.11
"67","2019-03-18",2.05
"68","2019-03-19",2.05
"69","2019-03-20",2.06
"70","2019-03-21",2.11
"71","2019-03-22",2.11
"72","2019-03-25",1.97
"73","2019-03-26",1.94
"74","2019-03-27",2.71
"75","2019-03-28",2.3
"76","2019-03-29",2.39
"77","2019-04-01",2.33
"78","2019-04-02",2.24
"79","2019-04-03",2.17
"80","2019-04-04",2.25
"81","2019-04-05",2.2
"82","2019-04-08",2.18
"83","2019-04-09",2.147
"84","2019-04-10",2.17
"85","2019-04-11",2.17
"86","2019-04-12",2.14
"87","2019-04-15",2.46
"88","2019-04-16",2.33
"89","2019-04-17",2.19
"90","2019-04-18",2.23
"91","2019-04-22",2.2
"92","2019-04-23",2.23
"93","2019-04-24",2.24
"94","2019-04-25",2.27
"95","2019-04-26",2.31
"96","2019-04-29",2.4
"97","2019-04-30",2.44
