"","date","SPKEP"
"1","2017-03-10",24.450001
"2","2017-03-13",24.620001
"3","2017-03-14",24.809999
"4","2017-03-15",24.799999
"5","2017-03-16",25.02
"6","2017-03-17",24.950001
"7","2017-03-20",25
"8","2017-03-21",25.1
"9","2017-03-22",25.5
"10","2017-03-23",25.662001
"11","2017-03-24",25.68
"12","2017-03-27",25.809999
"13","2017-03-28",25.709999
"14","2017-03-29",25.83
"15","2017-03-30",25.959999
"16","2017-03-31",25.879999
"17","2017-04-03",25.879999
"18","2017-04-04",25.9
"19","2017-04-05",25.9
"20","2017-04-06",25.9
"21","2017-04-07",25.9
"22","2017-04-10",25.962
"23","2017-04-11",25.85
"24","2017-04-12",26.110001
"25","2017-04-13",26.25
"26","2017-04-17",26.42
"27","2017-04-18",26.4
"28","2017-04-19",26.25
"29","2017-04-20",26.283001
"30","2017-04-21",26.209999
"31","2017-04-24",26.18
"32","2017-04-25",26.24
"33","2017-04-26",26.5
"34","2017-04-27",26.58
"35","2017-04-28",26.337
"36","2017-05-01",26.639999
"37","2017-05-02",26.76
"38","2017-05-03",26.65
"39","2017-05-04",26.549999
"40","2017-05-05",26.469999
"41","2017-05-08",26.67
"42","2017-05-09",26.59
"43","2017-05-10",26.690001
"44","2017-05-11",26.450001
"45","2017-05-12",26.59
"46","2017-05-15",26.495001
"47","2017-05-16",26.495001
"48","2017-05-17",26.440001
"49","2017-05-18",26.382
"50","2017-05-19",26.4
"51","2017-05-22",26.370001
"52","2017-05-23",26.370001
"53","2017-05-24",26.354
"54","2017-05-25",26.33
"55","2017-05-26",26.700001
"56","2017-05-30",26.360001
"57","2017-05-31",26.4
"58","2017-06-01",26.51
"59","2017-06-02",26.74
"60","2017-06-05",26.700001
"61","2017-06-06",26.75
"62","2017-06-07",26.73
"63","2017-06-08",26.780001
"64","2017-06-09",26.889999
"65","2017-06-12",26.799999
"66","2017-06-13",26.9
"67","2017-06-14",27.128
"68","2017-06-15",27.086
"69","2017-06-16",27.205
"70","2017-06-19",27.24
"71","2017-06-20",27.389999
"72","2017-06-21",27.389999
"73","2017-06-22",27.299999
"74","2017-06-23",27.334
"75","2017-06-26",27.43
"76","2017-06-27",27.200001
"77","2017-06-28",26.635
"78","2017-06-29",26.382
"79","2017-06-30",26.49
"80","2017-07-03",26.472
"81","2017-07-05",26.620001
"82","2017-07-06",26.791
"83","2017-07-07",26.799999
"84","2017-07-10",26.812
"85","2017-07-11",26.9
"86","2017-07-12",26.969999
"87","2017-07-13",26.950001
"88","2017-07-14",26.629999
