"","date","SU"
"1","2007-01-03",36.955002
"2","2007-01-04",35.34
"3","2007-01-05",36.325001
"4","2007-01-08",36.525002
"5","2007-01-09",35.865002
"6","2007-01-10",34.849998
"7","2007-01-11",34.855
"8","2007-01-12",36.560001
"9","2007-01-16",35.924999
"10","2007-01-17",36.290001
"11","2007-01-18",36.029999
"12","2007-01-19",36.895
"13","2007-01-22",36.615002
"14","2007-01-23",37.84
"15","2007-01-24",37.884998
"16","2007-01-25",36.709999
"17","2007-01-26",37.264999
"18","2007-01-29",36.785
"19","2007-01-30",37.264999
"20","2007-01-31",37.174999
"21","2007-02-01",37.334999
"22","2007-02-02",36.990002
"23","2007-02-05",37.040001
"24","2007-02-06",36.685001
"25","2007-02-07",36.220001
"26","2007-02-08",36.360001
"27","2007-02-09",36.224998
"28","2007-02-12",35.919998
"29","2007-02-13",37.125
"30","2007-02-14",36.77
"31","2007-02-15",37.154999
"32","2007-02-16",37.505001
"33","2007-02-20",36.384998
"34","2007-02-21",36.695
"35","2007-02-22",36.66
"36","2007-02-23",36.810001
"37","2007-02-26",36.759998
"38","2007-02-27",35.700001
"39","2007-02-28",35.564999
"40","2007-03-01",35.16
"41","2007-03-02",34.605
"42","2007-03-05",34.07
"43","2007-03-06",34.365002
"44","2007-03-07",34.825001
"45","2007-03-08",35.450001
"46","2007-03-09",35.32
"47","2007-03-12",35.494999
"48","2007-03-13",34.674999
"49","2007-03-14",34.555
"50","2007-03-15",34.459999
"51","2007-03-16",33.915001
"52","2007-03-19",34.799999
"53","2007-03-20",35.095001
"54","2007-03-21",35.779999
"55","2007-03-22",36.240002
"56","2007-03-23",36.490002
"57","2007-03-26",36.66
"58","2007-03-27",37.115002
"59","2007-03-28",38.419998
"60","2007-03-29",38.535
"61","2007-03-30",38.174999
"62","2007-04-02",38.525002
"63","2007-04-03",38.400002
"64","2007-04-04",38.845001
"65","2007-04-05",38.75
"66","2007-04-09",38.290001
"67","2007-04-10",38.740002
"68","2007-04-11",39.445
"69","2007-04-12",41.115002
"70","2007-04-13",41.154999
"71","2007-04-16",40.924999
"72","2007-04-17",40.459999
"73","2007-04-18",40.720001
"74","2007-04-19",39.955002
