"","date","AXGN"
"1","2007-01-03",0.85
"2","2007-01-04",0.7
"3","2007-01-05",0.71
"4","2007-01-08",0.85
"5","2007-01-09",0.7
"6","2007-01-10",0.7
"7","2007-01-11",0.7
"8","2007-01-12",0.85
"9","2007-01-16",0.76
"10","2007-01-17",0.72
"11","2007-01-18",0.72
"12","2007-01-19",0.72
"13","2007-01-22",0.72
"14","2007-01-23",0.76
"15","2007-01-24",0.72
"16","2007-01-25",0.72
"17","2007-01-26",0.72
"18","2007-01-29",0.72
"19","2007-01-30",0.72
"20","2007-01-31",0.65
"21","2007-02-01",0.65
"22","2007-02-02",0.65
"23","2007-02-05",0.6
"24","2007-02-06",0.6
"25","2007-02-07",0.6
"26","2007-02-08",0.72
"27","2007-02-09",0.72
"28","2007-02-12",0.72
"29","2007-02-13",0.72
"30","2007-02-14",0.72
"31","2007-02-15",0.7
"32","2007-02-16",0.75
"33","2007-02-20",0.75
"34","2007-02-21",0.75
"35","2007-02-22",0.75
"36","2007-02-23",0.65
"37","2007-02-26",0.65
"38","2007-02-27",0.65
"39","2007-02-28",0.65
"40","2007-03-01",0.65
"41","2007-03-02",0.65
"42","2007-03-05",0.72
"43","2007-03-06",0.6
"44","2007-03-07",0.6
"45","2007-03-08",0.6
"46","2007-03-09",0.6
"47","2007-03-12",0.6
"48","2007-03-13",0.6
"49","2007-03-14",0.7
"50","2007-03-15",0.7
"51","2007-03-16",0.55
"52","2007-03-19",0.55
"53","2007-03-20",0.7
"54","2007-03-21",0.7
"55","2007-03-22",0.68
"56","2007-03-23",0.75
"57","2007-03-26",0.7
"58","2007-03-27",0.7
"59","2007-03-28",0.7
"60","2007-03-29",0.62
"61","2007-03-30",0.7
"62","2007-04-02",0.62
"63","2007-04-03",0.62
"64","2007-04-04",0.62
"65","2007-04-05",0.62
"66","2007-04-09",0.8
"67","2007-04-10",0.85
"68","2007-04-11",0.8
"69","2007-04-12",0.85
"70","2007-04-13",0.85
"71","2007-04-16",0.85
"72","2007-04-17",0.85
"73","2007-04-18",0.81
"74","2007-04-19",0.81
"75","2007-04-20",0.85
"76","2007-04-23",0.85
"77","2007-04-24",0.9
"78","2007-04-25",0.99
"79","2007-04-26",0.92
"80","2007-04-27",1
"81","2007-04-30",1
"82","2007-05-01",1
"83","2007-05-02",1
"84","2007-05-03",0.91
"85","2007-05-04",0.92
"86","2007-05-07",1.9
"87","2007-05-08",1.55
"88","2007-05-09",1.59
"89","2007-05-10",1.65
"90","2007-05-11",1.65
"91","2007-05-14",1.7
"92","2007-05-15",1.67
"93","2007-05-16",1.95
"94","2007-05-17",1.95
"95","2007-05-18",2
"96","2007-05-21",1.9
"97","2007-05-22",1.8
"98","2007-05-23",1.8
"99","2007-05-24",1.8
"100","2007-05-25",2.15
"101","2007-05-29",2.17
"102","2007-05-30",2.4
"103","2007-05-31",3.25
"104","2007-06-01",3.25
"105","2007-06-04",3.05
"106","2007-06-05",3
"107","2007-06-06",2.75
"108","2007-06-07",3
"109","2007-06-08",3.25
"110","2007-06-11",3.25
"111","2007-06-12",3
"112","2007-06-13",3.15
"113","2007-06-14",3.15
"114","2007-06-15",3.05
"115","2007-06-18",3.15
"116","2007-06-19",3.2
"117","2007-06-20",3.25
"118","2007-06-21",3.3
"119","2007-06-22",3.4
"120","2007-06-25",3.49
"121","2007-06-26",3.49
"122","2007-06-27",3.6
"123","2007-06-28",4
"124","2007-06-29",4.8
"125","2007-07-02",5.4
"126","2007-07-03",6.25
"127","2007-07-05",7.5
"128","2007-07-06",5.5
"129","2007-07-09",4
"130","2007-07-10",3.15
"131","2007-07-11",3.7
"132","2007-07-12",3.7
"133","2007-07-13",4.7
"134","2007-07-16",5
"135","2007-07-17",5.5
"136","2007-07-18",4.5
"137","2007-07-19",4.75
"138","2007-07-20",5
"139","2007-07-23",4.25
"140","2007-07-24",4.75
"141","2007-07-25",4.75
"142","2007-07-26",5
"143","2007-07-27",5
"144","2007-07-30",4.6
"145","2007-07-31",4.4
"146","2007-08-01",4.5
"147","2007-08-02",4.6
"148","2007-08-03",4.05
"149","2007-08-06",4.65
"150","2007-08-07",4.75
"151","2007-08-08",4.9
"152","2007-08-09",4.85
"153","2007-08-10",4.8
"154","2007-08-13",4.9
"155","2007-08-14",4.85
"156","2007-08-15",4.35
"157","2007-08-16",3.25
"158","2007-08-17",3.5
"159","2007-08-20",3.9
"160","2007-08-21",3.9
"161","2007-08-22",3.75
"162","2007-08-23",3.25
"163","2007-08-24",3.75
"164","2007-08-27",3.25
"165","2007-08-28",3.5
"166","2007-08-29",4
"167","2007-08-30",3.65
"168","2007-08-31",3.65
"169","2007-09-04",3.59
"170","2007-09-05",3.9
"171","2007-09-06",3.9
"172","2007-09-07",3.9
"173","2007-09-10",3.5
"174","2007-09-11",3.5
"175","2007-09-12",3.5
"176","2007-09-13",3.5
"177","2007-09-14",3.45
"178","2007-09-17",3.4
"179","2007-09-18",3.25
"180","2007-09-19",3.2
"181","2007-09-20",2.6
"182","2007-09-21",2.5
"183","2007-09-24",2.5
"184","2007-09-25",2.5
"185","2007-09-26",3
"186","2007-09-27",2.75
"187","2007-09-28",2.85
"188","2007-10-01",2.4
"189","2007-10-02",1.6
"190","2007-10-03",1.85
"191","2007-10-04",2.1
"192","2007-10-05",2.05
"193","2007-10-08",2.4
"194","2007-10-09",2.6
"195","2007-10-10",2.6
"196","2007-10-11",2.6
"197","2007-10-12",2.6
"198","2007-10-15",2.5
"199","2007-10-16",2.5
"200","2007-10-17",2.5
"201","2007-10-18",2.9
"202","2007-10-19",2.9
"203","2007-10-22",2.2
"204","2007-10-23",2.75
"205","2007-10-24",2.9
"206","2007-10-25",2.5
"207","2007-10-26",2.8
"208","2007-10-29",2.7
"209","2007-10-30",2.61
"210","2007-10-31",2.61
"211","2007-11-01",2.61
"212","2007-11-02",2.9
"213","2007-11-05",2.61
"214","2007-11-06",2.61
"215","2007-11-07",2.61
"216","2007-11-08",2.61
"217","2007-11-09",2.5
"218","2007-11-12",2
"219","2007-11-13",2
"220","2007-11-14",2.25
"221","2007-11-15",2
"222","2007-11-16",2.9
"223","2007-11-19",2.9
"224","2007-11-20",2.9
"225","2007-11-21",3
"226","2007-11-23",3
"227","2007-11-26",2.75
"228","2007-11-27",2.75
"229","2007-11-28",2.95
"230","2007-11-29",2.5
"231","2007-11-30",2.5
"232","2007-12-03",2.25
"233","2007-12-04",2.2
"234","2007-12-05",2.2
"235","2007-12-06",2.2
"236","2007-12-07",2.4
"237","2007-12-10",2.3
"238","2007-12-11",2.3
"239","2007-12-12",2.45
"240","2007-12-13",2.3
"241","2007-12-14",2
"242","2007-12-17",2
"243","2007-12-18",2
"244","2007-12-19",1.85
"245","2007-12-20",1.3
"246","2007-12-21",1.75
"247","2007-12-24",1.75
"248","2007-12-26",2.3
"249","2007-12-27",1.3
"250","2007-12-28",1.3
"251","2007-12-31",1.3
"252","2008-01-02",1.3
"253","2008-01-03",1.3
"254","2008-01-04",1.75
"255","2008-01-07",1.75
"256","2008-01-08",1.75
"257","2008-01-09",1.75
"258","2008-01-10",2
"259","2008-01-11",2
"260","2008-01-14",2.1
"261","2008-01-15",2.1
"262","2008-01-16",1.75
"263","2008-01-17",2.1
"264","2008-01-18",2.09
"265","2008-01-22",1.75
"266","2008-01-23",1.75
"267","2008-01-24",1.75
"268","2008-01-25",2
"269","2008-01-28",2
"270","2008-01-29",2
"271","2008-01-30",2
"272","2008-01-31",1.75
"273","2008-02-01",1.75
"274","2008-02-04",2.1
"275","2008-02-05",2.3
"276","2008-02-06",2.3
"277","2008-02-07",2.3
"278","2008-02-08",2.3
"279","2008-02-11",2.3
"280","2008-02-12",1.75
"281","2008-02-13",1.75
"282","2008-02-14",1.75
"283","2008-02-15",1.75
"284","2008-02-19",2.3
"285","2008-02-20",2.1
"286","2008-02-21",2.3
"287","2008-02-22",2.29
"288","2008-02-25",2.2
"289","2008-02-26",2.3
"290","2008-02-27",2.3
"291","2008-02-28",2.3
"292","2008-02-29",2.1
"293","2008-03-03",2.2
"294","2008-03-04",2.2
"295","2008-03-05",2.2
"296","2008-03-06",2.1
"297","2008-03-07",2.3
"298","2008-03-10",1.95
"299","2008-03-11",1.95
"300","2008-03-12",1.95
"301","2008-03-13",1.95
"302","2008-03-14",2.3
"303","2008-03-17",2.2
"304","2008-03-18",2.2
"305","2008-03-19",2.2
"306","2008-03-20",2.2
"307","2008-03-24",2.2
"308","2008-03-25",2.2
"309","2008-03-26",2.2
"310","2008-03-27",2.2
"311","2008-03-28",2.2
"312","2008-03-31",1.76
"313","2008-04-01",2.2
"314","2008-04-02",2
"315","2008-04-03",2
"316","2008-04-04",2.2
"317","2008-04-07",2.02
"318","2008-04-08",2.02
"319","2008-04-09",2.02
"320","2008-04-10",2.2
"321","2008-04-11",2.3
"322","2008-04-14",2.19
"323","2008-04-15",2.19
"324","2008-04-16",2.3
"325","2008-04-17",2.11
"326","2008-04-18",2.3
"327","2008-04-21",2.13
"328","2008-04-22",2.15
"329","2008-04-23",2.15
"330","2008-04-24",2.3
"331","2008-04-25",2.89
"332","2008-04-28",2.89
"333","2008-04-29",2.89
"334","2008-04-30",2.89
"335","2008-05-01",2.5
"336","2008-05-02",2.5
"337","2008-05-05",2.75
"338","2008-05-06",2.75
"339","2008-05-07",2.65
"340","2008-05-08",2.65
"341","2008-05-09",2.65
"342","2008-05-12",2.65
"343","2008-05-13",2.65
"344","2008-05-14",2.6
"345","2008-05-15",2.75
"346","2008-05-16",2.75
"347","2008-05-19",2.65
"348","2008-05-20",2.65
"349","2008-05-21",2.6
"350","2008-05-22",2.5
"351","2008-05-23",2.25
"352","2008-05-27",2.2
"353","2008-05-28",2.15
"354","2008-05-29",2.6
"355","2008-05-30",2.6
"356","2008-06-02",2.17
"357","2008-06-03",2.17
"358","2008-06-04",2.89
"359","2008-06-05",2.6
"360","2008-06-06",2.6
"361","2008-06-09",2.6
"362","2008-06-10",2.6
"363","2008-06-11",2.3
"364","2008-06-12",2.75
"365","2008-06-13",2.75
"366","2008-06-16",2.4
"367","2008-06-17",2.85
"368","2008-06-18",2.6
"369","2008-06-19",2.95
"370","2008-06-20",2.95
"371","2008-06-23",2.95
"372","2008-06-24",2.95
"373","2008-06-25",2.25
"374","2008-06-26",2.25
"375","2008-06-27",2.25
"376","2008-06-30",2.35
"377","2008-07-01",2.35
"378","2008-07-02",2.3
"379","2008-07-03",2.95
"380","2008-07-07",2.95
"381","2008-07-08",2.55
"382","2008-07-09",2.9
"383","2008-07-10",2.65
"384","2008-07-11",2.65
"385","2008-07-14",2.7
"386","2008-07-15",2.25
"387","2008-07-16",2.9
"388","2008-07-17",2.35
"389","2008-07-18",3
"390","2008-07-21",2.69
"391","2008-07-22",2.75
"392","2008-07-23",2.8
"393","2008-07-24",2.9
"394","2008-07-25",4
"395","2008-07-28",4.5
"396","2008-07-29",4.5
"397","2008-07-30",4.5
"398","2008-07-31",4.1
"399","2008-08-01",4.1
"400","2008-08-04",3.75
"401","2008-08-05",4.2
"402","2008-08-06",4.2
