"","date","VTGN"
"1","2011-06-21",49
"2","2011-06-22",52
"3","2011-06-23",49.599998
"4","2011-06-24",49.599998
"5","2011-06-27",51.200001
"6","2011-06-28",52
"7","2011-06-29",52
"8","2011-06-30",52
"9","2011-07-01",52
"10","2011-07-05",51.799999
"11","2011-07-06",51.799999
"12","2011-07-07",51.799999
"13","2011-07-08",51.799999
"14","2011-07-11",51.799999
"15","2011-07-12",51.799999
"16","2011-07-13",51.799999
"17","2011-07-14",51.799999
"18","2011-07-15",52
"19","2011-07-18",52
"20","2011-07-19",52
"21","2011-07-20",52
"22","2011-07-21",52
"23","2011-07-22",50
"24","2011-07-25",50
"25","2011-07-26",50
"26","2011-07-27",50
"27","2011-07-28",50
"28","2011-07-29",50
"29","2011-08-01",50
"30","2011-08-02",50
"31","2011-08-03",50
"32","2011-08-04",50
"33","2011-08-05",50
"34","2011-08-08",50
"35","2011-08-09",50
"36","2011-08-10",42
"37","2011-08-11",42
"38","2011-08-12",42
"39","2011-08-15",36
"40","2011-08-16",36
"41","2011-08-17",36
"42","2011-08-18",36
"43","2011-08-19",36
"44","2011-08-22",36
"45","2011-08-23",36
"46","2011-08-24",45
"47","2011-08-25",45
"48","2011-08-26",45
"49","2011-08-29",41
"50","2011-08-30",43
"51","2011-08-31",44.799999
"52","2011-09-01",45
"53","2011-09-02",47
"54","2011-09-06",47
"55","2011-09-07",47
"56","2011-09-08",48
"57","2011-09-09",48
"58","2011-09-12",48
"59","2011-09-13",48
"60","2011-09-14",50.799999
"61","2011-09-15",51.599998
"62","2011-09-16",51.599998
"63","2011-09-19",51
"64","2011-09-20",51
"65","2011-09-21",51
"66","2011-09-22",51.599998
"67","2011-09-23",51.799999
"68","2011-09-26",50
"69","2011-09-27",51.599998
"70","2011-09-28",52
"71","2011-09-29",51.799999
"72","2011-09-30",51.799999
"73","2011-10-03",51.799999
"74","2011-10-04",52
"75","2011-10-05",53
"76","2011-10-06",53.799999
"77","2011-10-07",54
"78","2011-10-10",54
"79","2011-10-11",51.400002
"80","2011-10-12",54
"81","2011-10-13",54.400002
"82","2011-10-14",54.799999
"83","2011-10-17",54.799999
"84","2011-10-18",54
"85","2011-10-19",55
"86","2011-10-20",55
"87","2011-10-21",53
"88","2011-10-24",56
"89","2011-10-25",56
"90","2011-10-26",56
"91","2011-10-27",58
"92","2011-10-28",59
"93","2011-10-31",59
"94","2011-11-01",60
"95","2011-11-02",62
"96","2011-11-03",62
"97","2011-11-04",60
"98","2011-11-07",60
"99","2011-11-08",60
"100","2011-11-09",62
"101","2011-11-10",62
"102","2011-11-11",62
"103","2011-11-14",62
"104","2011-11-15",62
"105","2011-11-16",62
"106","2011-11-17",61
"107","2011-11-18",60
"108","2011-11-21",57
"109","2011-11-22",58
"110","2011-11-23",59
"111","2011-11-25",59
"112","2011-11-28",59
