"","date","BVXV"
"1","2015-05-11",5
"2","2015-05-12",3.99
"3","2015-05-13",4.69
"4","2015-05-14",4.24
"5","2015-05-15",4.48
"6","2015-05-18",4.52
"7","2015-05-19",4.71
"8","2015-05-20",4.59
"9","2015-05-21",4.5
"10","2015-05-22",4.5
"11","2015-05-26",4.46
"12","2015-05-27",4.5
"13","2015-05-28",4.3
"14","2015-05-29",4.35
"15","2015-06-01",4.35
"16","2015-06-02",4.27
"17","2015-06-03",4.26
"18","2015-06-04",4.44
"19","2015-06-05",4.5
"20","2015-06-08",4.8
"21","2015-06-09",4.88
"22","2015-06-10",5.16
"23","2015-06-11",4.9
"24","2015-06-12",5
"25","2015-06-15",4.97
"26","2015-06-16",4.94
"27","2015-06-17",5.08
"28","2015-06-18",5.04
"29","2015-06-19",4.96
"30","2015-06-22",5.05
"31","2015-06-23",4.99
"32","2015-06-24",5
"33","2015-06-25",4.97
"34","2015-06-26",5.395
"35","2015-06-29",5.1
"36","2015-06-30",4.95
"37","2015-07-01",4.52
"38","2015-07-02",4.69
"39","2015-07-06",4.67
"40","2015-07-07",4.66
"41","2015-07-08",4.34
"42","2015-07-09",4.57
"43","2015-07-10",4.63
"44","2015-07-13",4.57
"45","2015-07-14",4.56
"46","2015-07-15",4.55
"47","2015-07-16",4.54
"48","2015-07-17",4.55
"49","2015-07-20",4.48
"50","2015-07-21",4.43
"51","2015-07-22",4.38
"52","2015-07-23",4.38
"53","2015-07-24",4.31
"54","2015-07-27",4.24
"55","2015-07-28",4.27
"56","2015-07-29",4.23
"57","2015-07-30",4.13
"58","2015-07-31",4.25
"59","2015-08-03",4.35
"60","2015-08-04",4.25
"61","2015-08-05",4.13
"62","2015-08-06",4.21
"63","2015-08-07",4.2
"64","2015-08-10",4.09
"65","2015-08-11",3.99
"66","2015-08-12",4.05
"67","2015-08-13",4.33
"68","2015-08-14",4.25
"69","2015-08-17",4.173
"70","2015-08-18",4.1
"71","2015-08-19",4.05
"72","2015-08-20",4
"73","2015-08-21",3.86
"74","2015-08-24",3.48
"75","2015-08-25",3.39
"76","2015-08-26",3.68
"77","2015-08-27",3.62
"78","2015-08-28",3.632
"79","2015-08-31",3.5
"80","2015-09-01",3.49
"81","2015-09-02",4.12
"82","2015-09-03",3.74
"83","2015-09-04",4.03
"84","2015-09-08",4.11
"85","2015-09-09",3.88
"86","2015-09-10",3.9
"87","2015-09-11",3.86
"88","2015-09-14",3.81
"89","2015-09-15",3.83
"90","2015-09-16",3.8
"91","2015-09-17",3.96
"92","2015-09-18",3.84
"93","2015-09-21",3.904
"94","2015-09-22",3.69
"95","2015-09-23",3.88
"96","2015-09-24",3.8
"97","2015-09-25",3.7
"98","2015-09-28",3.65
"99","2015-09-29",3.54
"100","2015-09-30",3.67
"101","2015-10-01",3.73
"102","2015-10-02",3.71
"103","2015-10-05",3.8
"104","2015-10-06",3.93
"105","2015-10-07",3.86
"106","2015-10-08",3.78
"107","2015-10-09",3.81
"108","2015-10-12",3.8
"109","2015-10-13",3.74
"110","2015-10-14",3.84
"111","2015-10-15",3.88
"112","2015-10-16",3.922
"113","2015-10-19",3.93
"114","2015-10-20",3.87
"115","2015-10-21",3.916
"116","2015-10-22",3.98
"117","2015-10-23",4.04
"118","2015-10-26",3.905
